,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-08-31
Ordinary Shares Number,2803000000.0,2796000000.0,2771000000.0,2755000000.0,2747000000.0,
Share Issued,2803000000.0,2796000000.0,2771000000.0,2755000000.0,2747000000.0,
Net Debt,78870000000.0,77683000000.0,73899000000.0,76415000000.0,78499000000.0,
Total Debt,96276000000.0,88624000000.0,84515000000.0,86869000000.0,87980000000.0,
Tangible Book Value,-50572000000.0,-54137000000.0,-57703000000.0,-60416000000.0,-64228000000.0,
Invested Capital,113006000000.0,102370000000.0,95331000000.0,95573000000.0,93603000000.0,
Working Capital,493000000.0,-5549000000.0,-8973000000.0,-8990000000.0,-3822000000.0,
Net Tangible Assets,-50572000000.0,-54137000000.0,-57703000000.0,-60416000000.0,-64228000000.0,
Common Stock Equity,16730000000.0,13746000000.0,10816000000.0,8704000000.0,5623000000.0,
Total Capitalization,104839000000.0,94208000000.0,86130000000.0,84968000000.0,88093000000.0,
Total Equity Gross Minority Interest,17261000000.0,14236000000.0,11269000000.0,9239000000.0,6182000000.0,
Minority Interest,531000000.0,490000000.0,453000000.0,535000000.0,559000000.0,
Stockholders Equity,16730000000.0,13746000000.0,10816000000.0,8704000000.0,5623000000.0,
Gains Losses Not Affecting Retained Earnings,-1593000000.0,-1519000000.0,-1328000000.0,-1432000000.0,-1466000000.0,
Other Equity Adjustments,-1593000000.0,-1519000000.0,-1328000000.0,-1432000000.0,-1466000000.0,
Retained Earnings,-17368000000.0,-19045000000.0,-20939000000.0,-22628000000.0,-24533000000.0,
Capital Stock,35691000000.0,34310000000.0,33083000000.0,32764000000.0,31622000000.0,
Common Stock,35691000000.0,34310000000.0,33083000000.0,32764000000.0,31622000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,144117000000.0,134247000000.0,132945000000.0,131737000000.0,130900000000.0,
Total Non Current Liabilities Net Minority Interest,114494000000.0,105195000000.0,100900000000.0,100193000000.0,106015000000.0,
Other Non Current Liabilities,14364000000.0,12316000000.0,11106000000.0,9420000000.0,8611000000.0,
Tradeand Other Payables Non Current,9813000000.0,9553000000.0,11038000000.0,10817000000.0,10451000000.0,
Non Current Deferred Liabilities,2208000000.0,2864000000.0,3442000000.0,3692000000.0,4483000000.0,
Non Current Deferred Taxes Liabilities,2208000000.0,2864000000.0,3442000000.0,3692000000.0,4483000000.0,
Long Term Debt And Capital Lease Obligation,88109000000.0,80462000000.0,75314000000.0,76264000000.0,82470000000.0,
Long Term Debt,88109000000.0,80462000000.0,75314000000.0,76264000000.0,82470000000.0,
Current Liabilities,29623000000.0,29052000000.0,32045000000.0,31544000000.0,24885000000.0,
Other Current Liabilities,8175000000.0,7128000000.0,7410000000.0,7353000000.0,6990000000.0,
Current Deferred Liabilities,9019000000.0,9430000000.0,11455000000.0,9313000000.0,8931000000.0,
Current Deferred Revenue,9019000000.0,9430000000.0,11455000000.0,9313000000.0,8931000000.0,
Current Debt And Capital Lease Obligation,8167000000.0,8162000000.0,9201000000.0,10605000000.0,5510000000.0,
Current Debt,8167000000.0,8162000000.0,9201000000.0,10605000000.0,5510000000.0,
Other Current Borrowings,,,,,,4499000000.0
Pensionand Other Post Retirement Benefit Plans Current,1839000000.0,1653000000.0,1772000000.0,1916000000.0,1796000000.0,
Payables And Accrued Expenses,2423000000.0,2679000000.0,2207000000.0,2357000000.0,1658000000.0,
Payables,2423000000.0,2679000000.0,2207000000.0,2357000000.0,1658000000.0,
Accounts Payable,2423000000.0,2679000000.0,2207000000.0,2357000000.0,1658000000.0,
Total Assets,161378000000.0,148483000000.0,144214000000.0,140976000000.0,137082000000.0,
Total Non Current Assets,131262000000.0,124980000000.0,121142000000.0,118422000000.0,116019000000.0,
Other Non Current Assets,20191000000.0,18681000000.0,17310000000.0,15493000000.0,14363000000.0,
Non Current Deferred Assets,11799000000.0,11984000000.0,12219000000.0,12273000000.0,12688000000.0,
Non Current Deferred Taxes Assets,11799000000.0,11984000000.0,12219000000.0,12273000000.0,12688000000.0,
Goodwill And Other Intangible Assets,67302000000.0,67883000000.0,68519000000.0,69120000000.0,69851000000.0,
Other Intangible Assets,5131000000.0,5679000000.0,6270000000.0,6890000000.0,7629000000.0,
Goodwill,62171000000.0,62204000000.0,62249000000.0,62230000000.0,62222000000.0,
Net PPE,31970000000.0,26432000000.0,23094000000.0,21536000000.0,19117000000.0,
Accumulated Depreciation,,,,-13282000000.0,,
Gross PPE,,,,34818000000.0,,
Construction In Progress,,,,5634000000.0,,
Machinery Furniture Equipment,,,,21452000000.0,,
Buildings And Improvements,,,,6493000000.0,,
Land And Improvements,,,,1239000000.0,,
Properties,,,,0.0,,
Current Assets,30116000000.0,23503000000.0,23072000000.0,22554000000.0,21063000000.0,
Other Current Assets,4242000000.0,4015000000.0,4140000000.0,4019000000.0,3862000000.0,
Receivables,8051000000.0,8177000000.0,8021000000.0,7874000000.0,7297000000.0,
Accounts Receivable,8051000000.0,8177000000.0,8021000000.0,7874000000.0,7297000000.0,
Allowance For Doubtful Accounts Receivable,-556000000.0,-546000000.0,-574000000.0,-485000000.0,-469000000.0,
Gross Accounts Receivable,8607000000.0,8723000000.0,8595000000.0,8359000000.0,7766000000.0,
Cash Cash Equivalents And Short Term Investments,17823000000.0,11311000000.0,10911000000.0,10661000000.0,9904000000.0,
Other Short Term Investments,417000000.0,370000000.0,295000000.0,207000000.0,423000000.0,
Cash And Cash Equivalents,17406000000.0,10941000000.0,10616000000.0,10454000000.0,9481000000.0,
