,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,0.0,0.0,0.0,0.0,0.0
Ordinary Shares Number,2534400000.0,2534400000.0,2534400000.0,2534400000.0,2534400000.0,
Share Issued,2534400000.0,2534400000.0,2534400000.0,2534400000.0,2534400000.0,
Net Debt,35535921000.0,35899582000.0,31859030000.0,30245611000.0,37175306000.0,
Total Debt,44371128000.0,39741882000.0,37732445000.0,34959082000.0,44024914000.0,
Tangible Book Value,57841541000.0,61413654000.0,60847905000.0,56815925000.0,73380887000.0,
Invested Capital,102073495000.0,100943207000.0,98470142000.0,91631329000.0,116840181000.0,
Working Capital,-13517734000.0,-12277788000.0,-8802167000.0,-8377419000.0,-9267079000.0,
Net Tangible Assets,57841541000.0,61413654000.0,60847905000.0,56815925000.0,73380887000.0,
Capital Lease Obligations,666331000.0,667844000.0,541723000.0,487775000.0,1017195000.0,
Common Stock Equity,58368698000.0,61869169000.0,61279420000.0,57160022000.0,73832462000.0,
Total Capitalization,77356036000.0,77212288000.0,76383131000.0,71335107000.0,92721003000.0,
Total Equity Gross Minority Interest,58323706000.0,62282861000.0,61667765000.0,57432609000.0,74193657000.0,
Minority Interest,-44992000.0,413692000.0,388345000.0,272587000.0,361195000.0,
Stockholders Equity,58368698000.0,61869169000.0,61279420000.0,57160022000.0,73832462000.0,
Other Equity Interest,41387934000.0,38796322000.0,35411924000.0,32469856000.0,41387934000.0,
Retained Earnings,21392688000.0,25972296000.0,26598790000.0,22975237000.0,27736351000.0,
Additional Paid In Capital,722906000.0,680251000.0,624548000.0,576125000.0,722906000.0,
Capital Stock,2534400000.0,2534400000.0,2534400000.0,2534400000.0,2534400000.0,
Common Stock,2534400000.0,2534400000.0,2534400000.0,2534400000.0,2534400000.0,
Total Liabilities Net Minority Interest,66228979000.0,56618587000.0,53803287000.0,49668046000.0,64107824000.0,
Total Non Current Liabilities Net Minority Interest,25579004000.0,20444636000.0,20127959000.0,19441249000.0,25482670000.0,
Non Current Pension And Other Postretirement Benefit Plans,1248694000.0,1256643000.0,1093151000.0,1126982000.0,1089660000.0,
Non Current Deferred Revenue,890441000.0,1412670000.0,1374696000.0,1367236000.0,1820427000.0,
Non Current Deferred Taxes Liabilities,3943251000.0,1923391000.0,2143604000.0,2397951000.0,2898506000.0,
Long Term Debt And Capital Lease Obligation,19496618000.0,15851932000.0,15516508000.0,14549080000.0,19674077000.0,
Long Term Capital Lease Obligation,509280000.0,508813000.0,412797000.0,373995000.0,785536000.0,
Long Term Debt,18987338000.0,15343119000.0,15103711000.0,14175085000.0,18888541000.0,
Current Liabilities,40649975000.0,36173951000.0,33675328000.0,30226797000.0,38625154000.0,
Other Current Liabilities,274000.0,239146000.0,156400000.0,145230000.0,4951000.0,
Current Debt And Capital Lease Obligation,24874510000.0,23889950000.0,22215937000.0,20410002000.0,24350837000.0,
Current Capital Lease Obligation,157051000.0,159031000.0,128926000.0,113780000.0,231659000.0,
Current Debt,24717459000.0,23730919000.0,22087011000.0,20296222000.0,24119178000.0,
Pensionand Other Post Retirement Benefit Plans Current,533745000.0,550486000.0,348849000.0,985337000.0,1146772000.0,
