,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,-475879000.0,0.0,0.0,
Tax Rate For Calcs,0.25,0.13073,0.25,0.275945,0.305101,
Normalized EBITDA,561196000.0,-1021284000.0,3731292000.0,3256646000.0,11587679000.0,
Total Unusual Items,,,-1903516000.0,,,
Total Unusual Items Excluding Goodwill,,,-1903516000.0,,,
Net Income From Continuing Operation Net Minority Interest,-6216169000.0,-2998843000.0,1692509000.0,870523000.0,4683122000.0,
Reconciled Depreciation,1277122000.0,1507414000.0,1228234000.0,1171972000.0,3225601000.0,
Reconciled Cost Of Revenue,20789582000.0,18391770000.0,18128331000.0,16681468000.0,31856660000.0,
EBITDA,561196000.0,-1021284000.0,1827776000.0,3256646000.0,11587679000.0,
EBIT,-715926000.0,-2528698000.0,599542000.0,2084674000.0,8362078000.0,
Net Interest Income,-1393455000.0,-813052000.0,-770545000.0,-826199000.0,-1300114000.0,
Interest Expense,1630347000.0,943875000.0,913290000.0,933283000.0,1575279000.0,
Interest Income,272359000.0,152571000.0,143051000.0,112845000.0,345178000.0,
Normalized Income,-6216169000.0,-2998843000.0,3120146000.0,870523000.0,4683122000.0,
Net Income From Continuing And Discontinued Operation,-6216169000.0,-2998843000.0,1692509000.0,870523000.0,4683122000.0,
Total Expenses,22500388000.0,19281167000.0,19293711000.0,17681464000.0,34439359000.0,
Total Operating Income As Reported,-7045192000.0,-2062182000.0,-501587000.0,-1113500000.0,-7236639000.0,
Diluted Average Shares,,2534400000.0,2534400000.0,2534400000.0,,2534400000.0
Basic Average Shares,,2534400000.0,2534400000.0,2534400000.0,,2534400000.0
Diluted EPS,,-1.1833,0.6678,0.3435,,-1.2389
Basic EPS,,-1.1833,0.6678,0.3435,,-1.2389
Diluted NI Availto Com Stockholders,-6216169000.0,-2998843000.0,1692509000.0,870523000.0,4683122000.0,
Net Income Common Stockholders,-6216169000.0,-2998843000.0,1692509000.0,870523000.0,4683122000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-6216169000.0,-2998843000.0,1692509000.0,870523000.0,4683122000.0,
Minority Interests,483567000.0,19761000.0,-88783000.0,36853000.0,-33015000.0,
Net Income Including Noncontrolling Interests,-6699736000.0,-3018604000.0,1781292000.0,833670000.0,4716137000.0,
Net Income Continuous Operations,-6699736000.0,-3018604000.0,1781292000.0,833670000.0,4716137000.0,
Tax Provision,4353463000.0,-453969000.0,-2095040000.0,317721000.0,2070662000.0,
Pretax Income,-2346273000.0,-3472573000.0,-313748000.0,1151391000.0,6786799000.0,
Other Non Operating Income Expenses,3070280000.0,2379740000.0,2353444000.0,3705153000.0,,2036913000.0
Special Income Charges,,,-1903516000.0,,,
Other Special Charges,,,105000.0,,,
Impairment Of Capital Assets,,,1903411000.0,,,
Net Non Operating Interest Income Expense,-1393455000.0,-813052000.0,-770545000.0,-826199000.0,-1300114000.0,
Total Other Finance Cost,35467000.0,21748000.0,306000.0,5761000.0,70013000.0,
Interest Expense Non Operating,1630347000.0,943875000.0,913290000.0,933283000.0,1575279000.0,
Interest Income Non Operating,272359000.0,152571000.0,143051000.0,112845000.0,345178000.0,
Operating Income,-2277597000.0,-2062182000.0,-585998000.0,-1113500000.0,-6997070000.0,
Operating Expense,1710806000.0,889397000.0,1165380000.0,999996000.0,2582699000.0,
Other Operating Expenses,-1008209000.0,395425000.0,84409000.0,642452000.0,-1153793000.0,
Depreciation And Amortization In Income Statement,242144000.0,106900000.0,105609000.0,81375000.0,429684000.0,
Depreciation Income Statement,242144000.0,106900000.0,105609000.0,81375000.0,429684000.0,
Selling General And Administration,459498000.0,650170000.0,704165000.0,551294000.0,524780000.0,
Selling And Marketing Expense,-109445000.0,297518000.0,331778000.0,272951000.0,-25642000.0,
General And Administrative Expense,568943000.0,352652000.0,372387000.0,278343000.0,550422000.0,
Gross Profit,-566791000.0,-1172785000.0,579382000.0,-113504000.0,-4414371000.0,
Cost Of Revenue,20789582000.0,18391770000.0,18128331000.0,16681468000.0,31856660000.0,
Total Revenue,20222791000.0,17218985000.0,18707713000.0,16567964000.0,27442289000.0,
Operating Revenue,20222791000.0,17218985000.0,18707713000.0,16567964000.0,27442289000.0,
