,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,500000000.0,500000000.0,500000000.0,499999996.0,499999996.0,
Share Issued,500000000.0,500000000.0,500000000.0,499999996.0,499999996.0,
Net Debt,,,,,3532150509.0,
Total Debt,166307501632.0,157429293847.0,136780906239.0,130442975021.0,119518239089.0,
Tangible Book Value,74035550279.0,74561325280.0,58904204558.0,54469543440.0,54025682116.0,
Invested Capital,106520146377.0,105543875316.0,83892511968.0,79550794577.0,74279695657.0,
Working Capital,15047897427.0,15522500382.0,5540448755.0,7260857375.0,10817782647.0,
Net Tangible Assets,74035550279.0,74561325280.0,58904204558.0,54469543440.0,54025682116.0,
Capital Lease Obligations,134706448051.0,127272539632.0,112563111618.0,106087858004.0,99907729653.0,
Common Stock Equity,74919092796.0,75387121101.0,59674717347.0,55195677560.0,54669186221.0,
Total Capitalization,92180816992.0,92732300167.0,72492378275.0,67944228397.0,66981203128.0,
Total Equity Gross Minority Interest,74919092796.0,75387121101.0,59674717347.0,55195677560.0,54669186221.0,
Stockholders Equity,74919092796.0,75387121101.0,59674717347.0,55195677560.0,54669186221.0,
Retained Earnings,39590871931.0,37625715258.0,26801621911.0,22804459920.0,26305434254.0,
Additional Paid In Capital,57986732.0,57986732.0,57986732.0,455687025.0,455687025.0,
Capital Stock,500000000.0,500000000.0,500000000.0,102299707.0,102299707.0,
Common Stock,500000000.0,500000000.0,500000000.0,102299707.0,102299707.0,
Total Liabilities Net Minority Interest,208400684045.0,200849002413.0,178976177590.0,167986693155.0,147285893336.0,
Total Non Current Liabilities Net Minority Interest,153937068322.0,145001065825.0,126108296394.0,117913356557.0,110102098656.0,
Derivative Product Liabilities,13387018.0,271863753.0,0.0,0.0,64250780.0,
Non Current Pension And Other Postretirement Benefit Plans,1768183978.0,1868709893.0,1486766814.0,1289896021.0,1201242173.0,
Non Current Deferred Revenue,7457506238.0,7832351036.0,6365703885.0,5193498158.0,3506810209.0,
Non Current Deferred Taxes Liabilities,,,,,0.0,1377073120.0
Long Term Debt And Capital Lease Obligation,137056673716.0,130439916953.0,112797336978.0,106807701133.0,100893663449.0,
Long Term Capital Lease Obligation,119794949520.0,113094737887.0,99979676050.0,94059150296.0,88581646542.0,
Long Term Debt,17261724196.0,17345179066.0,12817660928.0,12748550837.0,12312016907.0,
Long Term Provisions,7641317372.0,4588224190.0,5458488717.0,4622261245.0,4436132045.0,
Current Liabilities,54463615723.0,55847936588.0,52867881196.0,50073336598.0,37183794680.0,
Current Debt And Capital Lease Obligation,29250827916.0,26989376894.0,23983569261.0,23635273888.0,18624575640.0,
Current Capital Lease Obligation,14911498531.0,14177801745.0,12583435568.0,12028707708.0,11326083111.0,
Current Debt,14339329385.0,12811575149.0,11400133693.0,11606566180.0,7298492529.0,
Pensionand Other Post Retirement Benefit Plans Current,2301423398.0,1984809262.0,808068948.0,1683117498.0,1587893487.0,
Current Provisions,57207079.0,1103781993.0,1017656575.0,416029652.0,477058968.0,
Payables,5647895918.0,11308447675.0,2927842751.0,3941930080.0,4363196964.0,
Other Payable,360802052.0,1368603863.0,1041119439.0,1342655380.0,355664673.0,
Total Tax Payable,373700528.0,174196839.0,197203206.0,271480341.0,167648460.0,
Accounts Payable,4913393338.0,9765646973.0,1689520106.0,2327794359.0,3839883831.0,
Total Assets,283319776841.0,276236123514.0,238650894937.0,223182370715.0,201955079557.0,
Total Non Current Assets,213808263691.0,204865686544.0,180242564986.0,165848176742.0,153953502230.0,
Non Current Prepaid Assets,16016262419.0,17182870220.0,14666680335.0,12525208608.0,10846572381.0,
Non Current Deferred Taxes Assets,15684924304.0,14372044984.0,14305991545.0,13529155834.0,12649665328.0,
Financial Assets,,,110095567.0,107805797.0,0.0,0.0
Investmentin Financial Assets,4621164674.0,4578886475.0,4386820260.0,2646919413.0,1674235495.0,
Available For Sale Securities,4621164674.0,,,,1674235495.0,
Long Term Equity Investment,775860767.0,765194831.0,714220201.0,674872216.0,602491387.0,
Investmentsin Joint Venturesat Cost,775860767.0,,,,602491387.0,543819419.0
Goodwill And Other Intangible Assets,883542517.0,825795821.0,770512789.0,726134120.0,643504105.0,
Other Intangible Assets,883542517.0,825795821.0,770512789.0,726134120.0,643504105.0,
Net PPE,172706627815.0,165787630639.0,144329105080.0,133597884697.0,125758155656.0,
Accumulated Depreciation,-51551768395.0,-50437131253.0,-46327071867.0,-43392116864.0,-44512023034.0,
Gross PPE,224258396210.0,216224761892.0,190656176947.0,176990001561.0,170270178690.0,
Construction In Progress,2448522049.0,2133064093.0,1292226363.0,2074101875.0,2134339278.0,
Other Properties,13735002486.0,12737664514.0,10237996180.0,8343338317.0,6690833647.0,
Machinery Furniture Equipment,206122866065.0,199369521869.0,177341991432.0,165325847131.0,160278118953.0,
Buildings And Improvements,1416632831.0,1430559433.0,1272114720.0,739617518.0,692259622.0,
Land And Improvements,535372779.0,553951983.0,511848252.0,507096720.0,474627190.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,69511513150.0,71370436970.0,58408329951.0,57334193973.0,48001577327.0,
Other Current Assets,8913771.0,6842023.0,187274734.0,219834122.0,3548206.0,
Hedging Assets Current,145642867.0,0.0,303691482.0,173497087.0,12607533.0,
Prepaid Assets,7555801573.0,11302993270.0,13544315486.0,12351207047.0,10272184590.0,
Inventory,1525572961.0,1409555102.0,1108592761.0,1326051817.0,1075273755.0,
Other Inventories,288695500.0,,,,222443251.0,
Raw Materials,1236877461.0,,,,852830504.0,
Other Receivables,2278634.0,-79975891.0,-38257720.0,44877404.0,-1913730.0,
Taxes Receivable,191820771.0,74515268.0,138833321.0,126389480.0,320313727.0,
Accounts Receivable,2724797271.0,3179735706.0,3008069261.0,2900752325.0,1706578377.0,
Cash Cash Equivalents And Short Term Investments,57356685302.0,55476771492.0,40155810626.0,40191584691.0,34612984869.0,
Other Short Term Investments,11098130886.0,8436160478.0,9317939199.0,11883811812.0,18534625942.0,
Cash And Cash Equivalents,46258554416.0,47040611014.0,30837871427.0,28307772879.0,16078358927.0,
Cash Equivalents,45399915568.0,46391204315.0,27073955264.0,21873510756.0,15237054927.0,
Cash Financial,858638848.0,649406699.0,3763916163.0,6434262123.0,841304000.0,
