,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,57465790.25,-13522000.061335,11218238.5,3043525.032888,46596450.0,
Tax Rate For Calcs,0.25,0.099381,0.25,0.034652,0.25,
Normalized EBITDA,5539510147.0,17182693000.0,8040794175.0,947198596.0,4779970461.0,
Total Unusual Items,229863161.0,-136062458.0,44872954.0,87831842.0,186385800.0,
Total Unusual Items Excluding Goodwill,229863161.0,-136062458.0,44872954.0,87831842.0,186385800.0,
Net Income From Continuing Operation Net Minority Interest,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Reconciled Depreciation,3285517689.0,3152081274.0,2817080256.0,2767509190.0,2507669865.0,
Reconciled Cost Of Revenue,23020433026.0,25567108341.0,20056594636.0,17952561068.0,16650996893.0,
EBITDA,5769373308.0,17046630542.0,8085667129.0,1035030438.0,4966356261.0,
EBIT,2483855619.0,13894549268.0,5268586873.0,-1732478752.0,2458686396.0,
Net Interest Income,-1653767468.0,-1610614029.0,-1581778261.0,-1362039070.0,-1341902554.0,
Interest Expense,2309559074.0,1876047206.0,1912283743.0,1894165054.0,1688301633.0,
Interest Income,1019823206.0,894241526.0,681844405.0,819643306.0,638652106.0,
Normalized Income,1792759302.25,10946633804.938665,3963507275.5,-3585762650.967112,11721572681.0,
Net Income From Continuing And Discontinued Operation,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Total Expenses,24740803997.0,27291561931.0,21310854477.0,19018330370.0,17474633459.0,
Rent Expense Supplemental,884349278.0,1096735506.0,887892344.0,752533962.0,2526560581.0,
Total Operating Income As Reported,4901569174.0,11966995371.0,5264342447.0,-1325686017.0,836604645.0,
Diluted Average Shares,,500000000.0,237780027.0,499999996.0,,499999997.0
Basic Average Shares,,500000000.0,237780027.0,499999996.0,,499999997.0
Diluted EPS,,21.65,16.81,-7.001392,,15.439072
Basic EPS,,21.65,16.81,-7.001392,,15.439072
Diluted NI Availto Com Stockholders,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Net Income Common Stockholders,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Net Income Including Noncontrolling Interests,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Net Income Continuous Operations,1965156673.0,10824093347.0,3997161991.0,-3500974334.0,11861362031.0,
Tax Provision,-1790860128.0,1194408715.0,-640858861.0,-125669472.0,-11090977268.0,
Pretax Income,174296545.0,12018502062.0,3356303130.0,-3626643806.0,770384763.0,
Special Income Charges,-20303086.0,0.0,-31246788.0,85982116.0,126286753.0,
Other Special Charges,20303086.0,,31465931.0,-268428713.0,,
Write Off,0.0,0.0,-219143.0,182446597.0,668565.0,
Net Non Operating Interest Income Expense,-1653767468.0,-1610614029.0,-1581778261.0,-1362039070.0,-1341902554.0,
Total Other Finance Cost,364031600.0,628808349.0,351338923.0,287517322.0,292253027.0,
Interest Expense Non Operating,2309559074.0,1876047206.0,1912283743.0,1894165054.0,1688301633.0,
Interest Income Non Operating,1019823206.0,894241526.0,681844405.0,819643306.0,638652106.0,
Operating Income,3035330553.0,12790890502.0,5262279822.0,-1627529374.0,1081909171.0,
Operating Expense,1720370971.0,1724453590.0,1254259841.0,1065769302.0,823636566.0,
Other Operating Expenses,151184382.0,98262301.0,6635824.0,42174094.0,18534131.0,
Depreciation And Amortization In Income Statement,143060385.0,141272117.0,128804450.0,116306308.0,54212278.0,
Depreciation Income Statement,143060385.0,141272117.0,128804450.0,116306308.0,54212278.0,
Selling General And Administration,913750592.0,947498532.0,823631933.0,608730085.0,542132066.0,
Selling And Marketing Expense,332944664.0,547142363.0,466369587.0,364652872.0,270939756.0,
General And Administrative Expense,580805928.0,400356169.0,357262346.0,244077213.0,271192310.0,
Gross Profit,4755701524.0,14515344092.0,6516539663.0,-561760072.0,1905545737.0,
Cost Of Revenue,23020433026.0,25567108341.0,20056594636.0,17952561068.0,16650996893.0,
Total Revenue,27776134550.0,40082452433.0,26573134299.0,17390800996.0,18556542630.0,
Operating Revenue,27776134550.0,40082452433.0,26573134299.0,17390800996.0,18556542630.0,
