,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,,0.0,
Ordinary Shares Number,1106000000.0,1113000000.0,1116000000.0,1118000000.0,1118000000.0,
Share Issued,1106000000.0,1113000000.0,1116000000.0,1118000000.0,1118000000.0,
Net Debt,5864000000.0,6785000000.0,6784000000.0,6238000000.0,7347000000.0,
Total Debt,14577000000.0,14634000000.0,14554000000.0,15457000000.0,15480000000.0,
Tangible Book Value,14747000000.0,14231000000.0,12604000000.0,12378000000.0,10949000000.0,
Invested Capital,41457000000.0,40908000000.0,39224000000.0,39926000000.0,38538000000.0,
Working Capital,16111000000.0,14727000000.0,13585000000.0,15089000000.0,14270000000.0,
Net Tangible Assets,14747000000.0,14231000000.0,12604000000.0,12378000000.0,10949000000.0,
Common Stock Equity,26880000000.0,26274000000.0,24670000000.0,24469000000.0,23058000000.0,
Total Capitalization,40092000000.0,39544000000.0,37860000000.0,39012000000.0,37624000000.0,
Total Equity Gross Minority Interest,26880000000.0,26274000000.0,24670000000.0,24469000000.0,23058000000.0,
Stockholders Equity,26880000000.0,26274000000.0,24670000000.0,24469000000.0,23058000000.0,
Gains Losses Not Affecting Retained Earnings,273000000.0,587000000.0,397000000.0,438000000.0,493000000.0,
Other Equity Adjustments,273000000.0,587000000.0,397000000.0,438000000.0,493000000.0,
Retained Earnings,26607000000.0,25687000000.0,24273000000.0,23965000000.0,22565000000.0,
Capital Stock,0.0,0.0,0.0,66000000.0,0.0,
Common Stock,0.0,0.0,0.0,66000000.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,28695000000.0,28880000000.0,28071000000.0,28698000000.0,29077000000.0,
Total Non Current Liabilities Net Minority Interest,18741000000.0,18376000000.0,18324000000.0,19555000000.0,19908000000.0,
Other Non Current Liabilities,5452000000.0,5018000000.0,4500000000.0,4351000000.0,4150000000.0,
Liabilities Heldfor Sale Non Current,,0.0,0.0,0.0,43000000.0,38000000.0
Tradeand Other Payables Non Current,,,526000000.0,526000000.0,1056000000.0,1080000000.0
Non Current Deferred Liabilities,77000000.0,88000000.0,108000000.0,135000000.0,93000000.0,
Non Current Deferred Revenue,77000000.0,88000000.0,108000000.0,135000000.0,93000000.0,
Long Term Debt And Capital Lease Obligation,13212000000.0,13270000000.0,13190000000.0,14543000000.0,14566000000.0,
Long Term Debt,13212000000.0,13270000000.0,13190000000.0,14543000000.0,14566000000.0,
Current Liabilities,9954000000.0,10504000000.0,9747000000.0,9143000000.0,9169000000.0,
Other Current Liabilities,4372000000.0,3345000000.0,3053000000.0,3316000000.0,4141000000.0,
Current Deferred Liabilities,212000000.0,297000000.0,263000000.0,253000000.0,210000000.0,
Current Deferred Revenue,212000000.0,297000000.0,263000000.0,253000000.0,210000000.0,
Current Debt And Capital Lease Obligation,1365000000.0,1364000000.0,1364000000.0,914000000.0,914000000.0,
Current Debt,1365000000.0,1364000000.0,1364000000.0,914000000.0,914000000.0,
Other Current Borrowings,,1364000000.0,,,,914000000.0
Commercial Paper,,,,,,0.0
Payables And Accrued Expenses,4005000000.0,5498000000.0,5067000000.0,4660000000.0,3904000000.0,
Current Accrued Expenses,1424000000.0,1834000000.0,1780000000.0,1253000000.0,1757000000.0,
Payables,2581000000.0,3664000000.0,3287000000.0,3407000000.0,2147000000.0,
Total Tax Payable,,1080000000.0,701000000.0,1093000000.0,,1717000000.0
Income Tax Payable,,1080000000.0,701000000.0,1093000000.0,,1717000000.0
Accounts Payable,2581000000.0,2584000000.0,2586000000.0,2314000000.0,2147000000.0,
Total Assets,55575000000.0,55154000000.0,52741000000.0,53167000000.0,52135000000.0,
Total Non Current Assets,29510000000.0,29923000000.0,29409000000.0,28935000000.0,28696000000.0,
Other Non Current Assets,7508000000.0,8053000000.0,8179000000.0,8142000000.0,8101000000.0,
Non Current Deferred Assets,5409000000.0,5162000000.0,4420000000.0,3978000000.0,3579000000.0,
