,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,7670000.0,3360000.0,-4960000.0,9720000.0,-150000.0
Tax Rate For Calcs,0.13,0.21,0.08,0.09,0.05
Normalized EBITDA,4175000000.0,3199000000.0,2928000000.0,2973000000.0,3580000000.0
Total Unusual Items,59000000.0,16000000.0,-62000000.0,108000000.0,-3000000.0
Total Unusual Items Excluding Goodwill,59000000.0,16000000.0,-62000000.0,108000000.0,-3000000.0
Net Income From Continuing Operation Net Minority Interest,3180000000.0,2915000000.0,2108000000.0,2275000000.0,2811000000.0
Reconciled Depreciation,436000000.0,439000000.0,419000000.0,411000000.0,437000000.0
Reconciled Cost Of Revenue,5161000000.0,4467000000.0,4174000000.0,4106000000.0,4312000000.0
EBITDA,4234000000.0,3215000000.0,2866000000.0,3081000000.0,3577000000.0
EBIT,3798000000.0,2776000000.0,2447000000.0,2670000000.0,3140000000.0
Net Interest Income,6000000.0,5000000.0,14000000.0,-12000000.0,-29000000.0
Interest Expense,163000000.0,180000000.0,168000000.0,172000000.0,178000000.0
Interest Income,169000000.0,185000000.0,182000000.0,160000000.0,149000000.0
Normalized Income,3128670000.0,2902360000.0,2165040000.0,2176720000.0,2813850000.0
Net Income From Continuing And Discontinued Operation,3180000000.0,2920000000.0,2129000000.0,2326000000.0,2767000000.0
Total Expenses,8114000000.0,7709000000.0,7097000000.0,7049000000.0,7007000000.0
Total Operating Income As Reported,3555000000.0,2582000000.0,2221000000.0,2340000000.0,2928000000.0
Diluted Average Shares,1122000000.0,1129000000.0,1134000000.0,1130000000.0,1127000000.0
Basic Average Shares,1110000000.0,1115000000.0,1116000000.0,1117000000.0,1116000000.0
Diluted EPS,2.83,2.59,1.88,2.06,2.46
Basic EPS,2.86,2.62,1.91,2.08,2.48
Diluted NI Availto Com Stockholders,3180000000.0,2920000000.0,2129000000.0,2326000000.0,2767000000.0
Net Income Common Stockholders,3180000000.0,2920000000.0,2129000000.0,2326000000.0,2767000000.0
Net Income,3180000000.0,2920000000.0,2129000000.0,2326000000.0,2767000000.0
Net Income Including Noncontrolling Interests,3180000000.0,2920000000.0,2129000000.0,2326000000.0,2767000000.0
Net Income Discontinuous Operations,0.0,5000000.0,21000000.0,51000000.0,-44000000.0
Net Income Continuous Operations,3180000000.0,2915000000.0,2108000000.0,2275000000.0,2811000000.0
Tax Provision,455000000.0,-319000000.0,171000000.0,223000000.0,151000000.0
Pretax Income,3635000000.0,2596000000.0,2279000000.0,2498000000.0,2962000000.0
Other Income Expense,74000000.0,56000000.0,-31000000.0,170000000.0,63000000.0
Other Non Operating Income Expenses,15000000.0,40000000.0,31000000.0,62000000.0,66000000.0
Special Income Charges,-24000000.0,34000000.0,-80000000.0,-50000000.0,-12000000.0
Other Special Charges,,,75000000.0,,
Write Off,24000000.0,13000000.0,5000000.0,50000000.0,12000000.0
Gain On Sale Of Security,83000000.0,-18000000.0,18000000.0,158000000.0,9000000.0
Net Non Operating Interest Income Expense,6000000.0,5000000.0,14000000.0,-12000000.0,-29000000.0
Interest Expense Non Operating,163000000.0,180000000.0,168000000.0,172000000.0,178000000.0
Interest Income Non Operating,169000000.0,185000000.0,182000000.0,160000000.0,149000000.0
Operating Income,3555000000.0,2535000000.0,2296000000.0,2340000000.0,2928000000.0
Operating Expense,2953000000.0,3242000000.0,2923000000.0,2943000000.0,2695000000.0
Other Operating Expenses,,,,,-28000000.0
Research And Development,2230000000.0,2302000000.0,2259000000.0,2236000000.0,2096000000.0
Selling General And Administration,723000000.0,761000000.0,664000000.0,707000000.0,627000000.0
Gross Profit,6508000000.0,5777000000.0,5219000000.0,5283000000.0,5623000000.0
Cost Of Revenue,5161000000.0,4467000000.0,4174000000.0,4106000000.0,4312000000.0
Total Revenue,11669000000.0,10244000000.0,9393000000.0,9389000000.0,9935000000.0
Operating Revenue,11669000000.0,10244000000.0,9393000000.0,9389000000.0,9935000000.0
