,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,32541000.0,32541000.0,4850000.0,4850000.0,4850000.0,
Ordinary Shares Number,2067834969.0,2067834969.0,2095525969.0,2095525969.0,2035553931.0,
Share Issued,2100375969.0,2100375969.0,2100375969.0,2100375969.0,2040403931.0,
Total Debt,344370389000.0,302044211000.0,279195029000.0,256117768000.0,217387465000.0,
Tangible Book Value,221152910000.0,223841305000.0,211087877000.0,205492833000.0,181910823000.0,
Invested Capital,616881451000.0,566849081000.0,528509560000.0,497926801000.0,432034234000.0,
Net Tangible Assets,221152910000.0,223841305000.0,211087877000.0,205492833000.0,181910823000.0,
Common Stock Equity,283258410000.0,274743101000.0,257278681000.0,249217688000.0,220692266000.0,
Total Capitalization,616881451000.0,566849081000.0,528509560000.0,497926801000.0,432034234000.0,
Total Equity Gross Minority Interest,473310866000.0,461294428000.0,432893634000.0,417617458000.0,385155296000.0,
Minority Interest,190052456000.0,186551327000.0,175614953000.0,168399770000.0,164463030000.0,
Stockholders Equity,283258410000.0,274743101000.0,257278681000.0,249217688000.0,220692266000.0,
Other Equity Interest,123679138000.0,116259144000.0,106566094000.0,98140822000.0,85021168000.0,
Fixed Assets Revaluation Reserve,-4526455000.0,-2960892000.0,-2689824000.0,-1253715000.0,12449000.0,
Treasury Stock,1950519000.0,1826911000.0,1675428000.0,1541761000.0,316694000.0,
Retained Earnings,178588167000.0,171378580000.0,161190661000.0,156740006000.0,136564903000.0,
Additional Paid In Capital,510937000.0,480789000.0,441419000.0,407194000.0,353885000.0,
Capital Stock,2100376000.0,2100376000.0,2100376000.0,2100376000.0,2040404000.0,
Common Stock,2100376000.0,2100376000.0,2100376000.0,2100376000.0,2040404000.0,
Total Liabilities Net Minority Interest,2600368067000.0,2352926675000.0,2213550460000.0,1995864577000.0,1807175997000.0,
Derivative Product Liabilities,17714456000.0,17313166000.0,19277740000.0,16632989000.0,15041823000.0,
Long Term Debt And Capital Lease Obligation,344370389000.0,302044211000.0,279195029000.0,256117768000.0,217387465000.0,
Payables,138737158000.0,131995212000.0,117194673000.0,124127136000.0,116011870000.0,
Other Payable,49635505000.0,53383526000.0,45348639000.0,53688900000.0,47347007000.0,
Total Tax Payable,11667636000.0,10810613000.0,16556783000.0,16539381000.0,37165184000.0,
Accounts Payable,77434017000.0,67801073000.0,55289251000.0,53898855000.0,31499679000.0,
Total Assets,3073678933000.0,2814221103000.0,2646444094000.0,2413482035000.0,2192331293000.0,
Investments And Advances,554372310000.0,552486626000.0,747224967000.0,740040311000.0,640200083000.0,
Investmentin Financial Assets,443817766000.0,448863274000.0,652802845000.0,650848656000.0,563171256000.0,
Available For Sale Securities,347000714000.0,338800883000.0,551137179000.0,539250045000.0,470021425000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,37602652000.0,41722597000.0,38609101000.0,36587742000.0,26346947000.0,
Long Term Equity Investment,110554544000.0,103623352000.0,94422122000.0,89191655000.0,77028827000.0,
Investments In Other Ventures Under Equity Method,,,94422122000.0,89191655000.0,77028827000.0,27601629000.0
Investment Properties,3426996000.0,3303339000.0,3182771000.0,2985249000.0,2629144000.0,
Goodwill And Other Intangible Assets,62105500000.0,50901796000.0,46190804000.0,43724855000.0,38781443000.0,
Other Intangible Assets,45968665000.0,35816175000.0,33322459000.0,31572549000.0,28023853000.0,
Goodwill,16136835000.0,15085621000.0,12868345000.0,12152306000.0,10757590000.0,
Net PPE,113895632000.0,102080949000.0,91356379000.0,84022235000.0,72761981000.0,
Accumulated Depreciation,-107737800000.0,-100423616000.0,-90512081000.0,-82709895000.0,-70682477000.0,
Gross PPE,221633432000.0,202504565000.0,181868460000.0,166732130000.0,143444458000.0,
Construction In Progress,12884724000.0,12093405000.0,7351456000.0,16348756000.0,13307838000.0,
Other Properties,4537414000.0,4227397000.0,3587419000.0,3386627000.0,2943756000.0,
Machinery Furniture Equipment,129047060000.0,116239783000.0,107120102000.0,88286056000.0,76710184000.0,
Buildings And Improvements,70994102000.0,65991016000.0,60153232000.0,55269466000.0,47441316000.0,
Land And Improvements,4170132000.0,3952964000.0,3656251000.0,3441225000.0,3041364000.0,
Prepaid Assets,44341953000.0,47320236000.0,39170814000.0,34439809000.0,31131647000.0,
Receivables,41999590000.0,41558371000.0,13998008000.0,13614967000.0,11826276000.0,
Taxes Receivable,2234984000.0,4964573000.0,1338664000.0,1548659000.0,1313925000.0,
Cash And Cash Equivalents,552192943000.0,416466514000.0,445447610000.0,360896913000.0,372999955000.0,
Cash Equivalents,18550508000.0,6670161000.0,3573717000.0,3343667000.0,3832451000.0,
Cash Financial,22852495000.0,20450852000.0,19172236000.0,19682564000.0,16953050000.0,
Cash Cash Equivalents And Federal Funds Sold,799419121000.0,627731887000.0,446262124000.0,362508942000.0,374415505000.0,
