,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-554978750.0,-23003500.0,23816500.0,102500.0,-156953500.0,
Tax Rate For Calcs,0.25,0.25,0.25,0.25,0.25,
Total Unusual Items,-2219915000.0,-92014000.0,95266000.0,410000.0,-627814000.0,
Total Unusual Items Excluding Goodwill,-2219915000.0,-92014000.0,95266000.0,410000.0,-627814000.0,
Net Income From Continuing Operation Net Minority Interest,-4346024000.0,-2816291000.0,-1814078000.0,-5366161000.0,-21247298000.0,
Reconciled Depreciation,6072501000.0,5495386000.0,4451087000.0,4036996000.0,8158907000.0,
Net Interest Income,12377477000.0,5430899000.0,14230152000.0,22769475000.0,43729121000.0,
Interest Expense,163748179000.0,127259714000.0,105372517000.0,79109063000.0,95743334000.0,
Interest Income,176125656000.0,132690613000.0,119602669000.0,101878538000.0,139472455000.0,
Normalized Income,-2681087750.0,-2747280500.0,-1885527500.0,-5366468500.0,-20776437500.0,
Net Income From Continuing And Discontinued Operation,-4346088000.0,-2816498000.0,-1814078000.0,-5366161000.0,-21247151000.0,
Diluted Average Shares,,2070954412.0,2061452273.0,2063908077.0,,2038278781.0
Basic Average Shares,,2070954412.0,2061452273.0,2063908077.0,,2038278781.0
Diluted EPS,,-1.36,-0.88,-2.6,,-4.43
Basic EPS,,-1.36,-0.88,-2.6,,-4.43
Diluted NI Availto Com Stockholders,-4346088000.0,-2816498000.0,-1814078000.0,-5366161000.0,-21247151000.0,
Net Income Common Stockholders,-4346088000.0,-2816498000.0,-1814078000.0,-5366161000.0,-21247151000.0,
Net Income,-4346088000.0,-2816498000.0,-1814078000.0,-5366161000.0,-21247151000.0,
Minority Interests,3380375000.0,4144683000.0,1318893000.0,5321949000.0,29566660000.0,
Net Income Including Noncontrolling Interests,-7726463000.0,-6961181000.0,-3132971000.0,-10688110000.0,-50813811000.0,
Net Income Discontinuous Operations,-64000.0,-207000.0,0.0,0.0,147000.0,
Net Income Continuous Operations,-7726399000.0,-6960974000.0,-3132971000.0,-10688110000.0,-50813958000.0,
Tax Provision,3093034000.0,3299451000.0,1728581000.0,5669790000.0,9446014000.0,
Pretax Income,-4633365000.0,-3661523000.0,-1404390000.0,-5018320000.0,-41367944000.0,
Other Non Operating Income Expenses,-14951448000.0,-9003443000.0,-12630619000.0,-22370435000.0,,-50321326000.0
Special Income Charges,-2219915000.0,-92014000.0,95266000.0,410000.0,-627814000.0,
Other Special Charges,-28468000.0,1489000.0,-95266000.0,-410000.0,10199000.0,
Impairment Of Capital Assets,1406118000.0,90525000.0,,,,0.0
Gain On Sale Of Security,-165344000.0,73181000.0,226971000.0,236423000.0,416279000.0,
Operating Expense,93339826000.0,70376528000.0,65843919000.0,63562635000.0,95599109000.0,
Other Operating Expenses,54475130000.0,36167622000.0,33180681000.0,32628294000.0,54233402000.0,
Depreciation And Amortization In Income Statement,16476343000.0,1019707000.0,515109000.0,630686000.0,11292100000.0,
Depreciation Income Statement,16476343000.0,1019707000.0,515109000.0,630686000.0,11292100000.0,
Selling General And Administration,-45685699000.0,32623799000.0,31040257000.0,29181535000.0,-10473265000.0,
Selling And Marketing Expense,14715286000.0,5265865000.0,4923184000.0,4694288000.0,12146758000.0,
General And Administrative Expense,-60400985000.0,27357934000.0,26117073000.0,24487247000.0,-22620023000.0,
Total Revenue,105413909000.0,75466076000.0,76665599000.0,80878230000.0,127333459000.0,
Operating Revenue,105413909000.0,75466076000.0,76665599000.0,80878230000.0,127333459000.0,
