,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,49843241.037025,121116500.0,-14538750.0,-1666750.0,-73191000.0,
Tax Rate For Calcs,0.233258,0.25,0.25,0.25,0.25,
Normalized EBITDA,3157256000.0,12140786000.0,8368968000.0,7321236000.0,13987385000.0,
Total Unusual Items,213683000.0,484466000.0,-58155000.0,-6667000.0,-292764000.0,
Total Unusual Items Excluding Goodwill,213683000.0,484466000.0,-58155000.0,-6667000.0,-292764000.0,
Net Income From Continuing Operation Net Minority Interest,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Reconciled Depreciation,524301000.0,498561000.0,688466000.0,88228000.0,945443000.0,
Reconciled Cost Of Revenue,11616939000.0,42546950000.0,9116730000.0,8027366000.0,16545270000.0,
EBITDA,3370939000.0,12625252000.0,8310813000.0,7314569000.0,13694621000.0,
EBIT,2846638000.0,12126691000.0,7622347000.0,7226341000.0,12749178000.0,
Net Interest Income,-1741243000.0,-6704174000.0,-1835190000.0,-1223311000.0,-3878710000.0,
Interest Expense,1554210000.0,6075766000.0,1834924000.0,1060862000.0,3964788000.0,
Interest Income,155769000.0,308456000.0,29304000.0,16011000.0,60921000.0,
Normalized Income,827119241.037025,8425622500.0,2136567250.0,10731072250.0,13766405000.0,
Net Income From Continuing And Discontinued Operation,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Total Expenses,12932553000.0,43646334000.0,9692895000.0,8546663000.0,17067588000.0,
Rent Expense Supplemental,,,,,,244000.0
Total Operating Income As Reported,671282000.0,4102751000.0,1136132000.0,2340134000.0,2022039000.0,
Diluted Average Shares,,43280112945.0,43276319462.0,42573238352.0,,43282723638.0
Basic Average Shares,,43280112945.0,43276319462.0,42573238352.0,,43282723638.0
Diluted EPS,,0.2031,0.048363,0.25195,,0.2001
Basic EPS,,0.2031,0.048363,0.25195,,0.2001
Diluted NI Availto Com Stockholders,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Net Income Common Stockholders,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Minority Interests,,0.0,0.0,0.0,,0.0
Net Income Including Noncontrolling Interests,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Net Income Continuous Operations,990959000.0,8788972000.0,2092951000.0,10726072000.0,13546832000.0,
Tax Provision,301469000.0,-2738047000.0,3694472000.0,-4560593000.0,-4762442000.0,
Pretax Income,1292428000.0,6050925000.0,5787423000.0,6165479000.0,8784390000.0,
Other Non Operating Income Expenses,5231768000.0,26017825000.0,7090543000.0,8471339000.0,,15316668000.0
Special Income Charges,213683000.0,484466000.0,-58155000.0,-6667000.0,-292764000.0,
Other Special Charges,-233104000.0,-506881000.0,-2380000.0,565000.0,258826000.0,
Restructuring And Mergern Acquisition,19421000.0,22415000.0,60535000.0,6102000.0,33938000.0,
Net Non Operating Interest Income Expense,-1741243000.0,-6704174000.0,-1835190000.0,-1223311000.0,-3878710000.0,
Total Other Finance Cost,342802000.0,936864000.0,29570000.0,178460000.0,-25157000.0,
Interest Expense Non Operating,1554210000.0,6075766000.0,1834924000.0,1060862000.0,3964788000.0,
Interest Income Non Operating,155769000.0,308456000.0,29304000.0,16011000.0,60921000.0,
Operating Income,59857000.0,5563120000.0,1258257000.0,2120761000.0,2763692000.0,
Operating Expense,1315614000.0,1099384000.0,576165000.0,519297000.0,522318000.0,
Other Operating Expenses,530950000.0,594963000.0,163753000.0,440055000.0,157248000.0,
Depreciation And Amortization In Income Statement,21169000.0,21735000.0,27814000.0,4742000.0,47891000.0,
Depreciation Income Statement,21169000.0,21735000.0,27814000.0,4742000.0,47891000.0,
Research And Development,88092000.0,4523000.0,4973000.0,1160000.0,20658000.0,
Selling General And Administration,451859000.0,1417876000.0,377078000.0,421311000.0,727939000.0,
Selling And Marketing Expense,371736000.0,1150130000.0,338968000.0,342646000.0,668410000.0,
General And Administrative Expense,80123000.0,267746000.0,38110000.0,78665000.0,59529000.0,
Rent And Landing Fees,,,,,,244000.0
Gross Profit,1375471000.0,6662504000.0,1834422000.0,2640058000.0,3286010000.0,
Cost Of Revenue,11616939000.0,42546950000.0,9116730000.0,8027366000.0,16545270000.0,
Total Revenue,12992410000.0,49209454000.0,10951152000.0,10667424000.0,19831280000.0,
Operating Revenue,12992410000.0,49209454000.0,10951152000.0,10667424000.0,19831280000.0,
