,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,0.0,,
Ordinary Shares Number,3063214056.0,3063214056.0,3063214056.0,3063214056.0,3063214056.0,
Share Issued,3063214056.0,3063214056.0,3063214056.0,3063214056.0,3063214056.0,
Net Debt,74307670000.0,74293072000.0,63503676000.0,53524182000.0,65171214000.0,
Total Debt,130760758000.0,139399655000.0,133145449000.0,94644022000.0,123119731000.0,
Tangible Book Value,177537779000.0,172411447000.0,160842565000.0,151427567000.0,198649749000.0,
Invested Capital,314033394000.0,315127000000.0,296961043000.0,248544945000.0,324648656000.0,
Working Capital,54636609000.0,93124975000.0,86587128000.0,48089621000.0,66610978000.0,
Net Tangible Assets,177537779000.0,172411447000.0,160842565000.0,151427567000.0,198649749000.0,
Capital Lease Obligations,2794063000.0,2783564000.0,2751818000.0,2727071000.0,3431171000.0,
Common Stock Equity,186066699000.0,178510909000.0,166567412000.0,156627994000.0,204960096000.0,
Total Capitalization,281472066000.0,288165952000.0,264334834000.0,210443843000.0,269100840000.0,
Total Equity Gross Minority Interest,208110413000.0,206473466000.0,193574402000.0,183373584000.0,240724968000.0,
Minority Interest,22043714000.0,27962557000.0,27006990000.0,26745590000.0,35764872000.0,
Stockholders Equity,186066699000.0,178510909000.0,166567412000.0,156627994000.0,204960096000.0,
Other Equity Interest,40023297000.0,37481004000.0,34161009000.0,31274926000.0,40023297000.0,
Fixed Assets Revaluation Reserve,27097708000.0,21848641000.0,20340859000.0,18970368000.0,24346277000.0,
Treasury Stock,212424000.0,196120000.0,174681000.0,151026000.0,173761000.0,
Retained Earnings,152379044000.0,144836351000.0,132194606000.0,120010625000.0,150171215000.0,
Additional Paid In Capital,1290634000.0,1214481000.0,1115032000.0,1028581000.0,1290634000.0,
Capital Stock,3063214000.0,3063214000.0,3063214000.0,3063214000.0,3063214000.0,
Common Stock,3063214000.0,3063214000.0,3063214000.0,3063214000.0,3063214000.0,
Total Liabilities Net Minority Interest,190917120000.0,185071307000.0,175508080000.0,139723571000.0,179913319000.0,
Total Non Current Liabilities Net Minority Interest,111345412000.0,125590862000.0,112579732000.0,68949186000.0,83580951000.0,
Other Non Current Liabilities,4487000.0,221561000.0,213143000.0,209645000.0,142762000.0,
Derivative Product Liabilities,528316000.0,1058048000.0,918031000.0,33485000.0,164978000.0,
Tradeand Other Payables Non Current,207272000.0,122115000.0,116500000.0,114105000.0,276020000.0,
Non Current Deferred Revenue,331303000.0,360748000.0,350785000.0,360718000.0,499842000.0,
Non Current Deferred Taxes Liabilities,7452554000.0,6053052000.0,5143813000.0,7061026000.0,7645729000.0,
Long Term Debt And Capital Lease Obligation,97232161000.0,111485481000.0,99584865000.0,55649218000.0,66441130000.0,
Long Term Capital Lease Obligation,1826794000.0,1830438000.0,1817443000.0,1833369000.0,2300386000.0,
Long Term Debt,95405367000.0,109655043000.0,97767422000.0,53815849000.0,64140744000.0,
Long Term Provisions,5589319000.0,6289857000.0,6252595000.0,5520989000.0,8410490000.0,
Current Liabilities,79571708000.0,59480445000.0,62928348000.0,70774385000.0,96332368000.0,
Other Current Liabilities,466223000.0,3610378000.0,3351970000.0,3795148000.0,1291145000.0,
Current Debt And Capital Lease Obligation,33528597000.0,27914174000.0,33560584000.0,38994804000.0,56678601000.0,
Current Capital Lease Obligation,967269000.0,953126000.0,934375000.0,893702000.0,1130785000.0,
Current Debt,32561328000.0,26961048000.0,32626209000.0,38101102000.0,55547816000.0,
Pensionand Other Post Retirement Benefit Plans Current,1672206000.0,,,,1554042000.0,739543000.0
Current Provisions,3385027000.0,4330311000.0,3124362000.0,3431724000.0,2603828000.0,
Payables,37610211000.0,20737171000.0,19491019000.0,20862191000.0,28226231000.0,
Other Payable,11147368000.0,2191205000.0,2275101000.0,4244975000.0,1704941000.0,
Total Tax Payable,2173648000.0,199491000.0,130022000.0,85950000.0,2089110000.0,
Accounts Payable,24289195000.0,18346475000.0,17085896000.0,16531266000.0,24432180000.0,
Total Assets,399027533000.0,391544773000.0,369082482000.0,323097155000.0,420638287000.0,
Total Non Current Assets,264819216000.0,238939353000.0,219567006000.0,204233149000.0,257694941000.0,
Other Non Current Assets,859000.0,4486000.0,4167000.0,4138000.0,44821000.0,
Defined Pension Benefit,81294000.0,,,,0.0,
Non Current Prepaid Assets,706843000.0,568760000.0,530287000.0,354941000.0,736124000.0,
Non Current Deferred Taxes Assets,5300538000.0,3722666000.0,2426875000.0,1492128000.0,2354114000.0,
Financial Assets,1961415000.0,883074000.0,899099000.0,1570530000.0,1822467000.0,
Investmentin Financial Assets,1696078000.0,2742016000.0,2571394000.0,1149373000.0,1471023000.0,
Available For Sale Securities,1696078000.0,2742016000.0,2571394000.0,1149373000.0,1471023000.0,
Long Term Equity Investment,3888445000.0,4775312000.0,4015511000.0,4258016000.0,5564455000.0,
Investments In Other Ventures Under Equity Method,3888445000.0,,,,5564455000.0,206421000.0
Investmentsin Associatesat Cost,,,,,,2874291000.0
Investment Properties,15892022000.0,14882751000.0,13664066000.0,12604658000.0,15815963000.0,
Goodwill And Other Intangible Assets,8528920000.0,6099462000.0,5724847000.0,5200427000.0,6310347000.0,
Other Intangible Assets,7037060000.0,4630037000.0,4319203000.0,3815741000.0,4470450000.0,
Goodwill,1491860000.0,1469425000.0,1405644000.0,1384686000.0,1839897000.0,
Net PPE,226756735000.0,205207265000.0,189681881000.0,177565328000.0,223571069000.0,
Accumulated Depreciation,-159295597000.0,-152553374000.0,-139955910000.0,-128450015000.0,-160206334000.0,
Gross PPE,386052332000.0,357760639000.0,329637791000.0,306015343000.0,383777403000.0,
Construction In Progress,39984178000.0,33874451000.0,28623695000.0,28001861000.0,30069203000.0,
Other Properties,9164372000.0,9827079000.0,9067919000.0,13245645000.0,16930690000.0,
Machinery Furniture Equipment,204571476000.0,195315376000.0,180815077000.0,160573040000.0,202589278000.0,
Buildings And Improvements,44732927000.0,42229854000.0,39139111000.0,35479123000.0,45608448000.0,
Land And Improvements,43767806000.0,39045081000.0,35997157000.0,33382850000.0,42130082000.0,
Properties,43831573000.0,37468798000.0,35994832000.0,35332824000.0,46449702000.0,
Current Assets,134208317000.0,152605420000.0,149515476000.0,118864006000.0,162943346000.0,
