,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,464713000.0,-17665628.972269,168341250.0,118876500.0,46863405.274533,
Tax Rate For Calcs,0.25,0.056984,0.25,0.25,0.268432,
Normalized EBITDA,5799293000.0,11382080000.0,7655033000.0,11419254000.0,15534196000.0,
Total Unusual Items,1858852000.0,-310013000.0,673365000.0,475506000.0,174582000.0,
Total Unusual Items Excluding Goodwill,1858852000.0,-310013000.0,673365000.0,475506000.0,174582000.0,
Net Income From Continuing Operation Net Minority Interest,-1141028000.0,795387000.0,2375134000.0,2355355000.0,3761421000.0,
Reconciled Depreciation,3362267000.0,4491342000.0,3787057000.0,3450186000.0,5585345000.0,
Reconciled Cost Of Revenue,38836746000.0,32943067000.0,31969204000.0,31305324000.0,47604972000.0,
EBITDA,7658145000.0,11072067000.0,8328398000.0,11894760000.0,15708778000.0,
EBIT,4295878000.0,6580725000.0,4541341000.0,8444574000.0,10123433000.0,
Net Interest Income,-3130813000.0,-3842942000.0,-3181812000.0,-1676818000.0,-1442480000.0,
Interest Expense,6946273000.0,5471913000.0,5171169000.0,3824665000.0,4336911000.0,
Interest Income,3815460000.0,1628971000.0,1989357000.0,2147847000.0,2894431000.0,
Normalized Income,-2535167000.0,1087734371.027731,1870110250.0,1998725500.0,3633702405.274533,
Net Income From Continuing And Discontinued Operation,-1141028000.0,795387000.0,2375134000.0,2355355000.0,3761421000.0,
Total Expenses,51986886000.0,42636720000.0,42828805000.0,40978655000.0,59545653000.0,
Rent Expense Supplemental,,,,26212000.0,,
Total Operating Income As Reported,-2379452000.0,549558000.0,-891288000.0,822726000.0,-673837000.0,
Diluted Average Shares,,2822523066.0,2735699148.0,2469103000.0,,2900026420.0
Basic Average Shares,,2822523066.0,2735699148.0,2469103000.0,,2900026420.0
Diluted EPS,,0.2818,0.8682,0.9539,,-0.2271
Basic EPS,,0.2818,0.8682,0.9539,,-0.2271
Diluted NI Availto Com Stockholders,-1141028000.0,795387000.0,2375134000.0,2355355000.0,3761421000.0,
Net Income Common Stockholders,-1141028000.0,795387000.0,2375134000.0,2355355000.0,3761421000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-1141028000.0,795387000.0,2375134000.0,2355355000.0,3761421000.0,
Minority Interests,140585000.0,-250241000.0,-29276000.0,-66808000.0,-471813000.0,
Net Income Including Noncontrolling Interests,-1281613000.0,1045628000.0,2404410000.0,2422163000.0,4233234000.0,
Net Income Continuous Operations,-1281613000.0,1045628000.0,2404410000.0,2422163000.0,4233234000.0,
Tax Provision,-1368782000.0,63184000.0,-3034238000.0,2197746000.0,1553288000.0,
Pretax Income,-2650395000.0,1108812000.0,-629828000.0,4619909000.0,5786522000.0,
Other Non Operating Income Expenses,3636195000.0,4067107000.0,2606302000.0,4496311000.0,,2735514000.0
Special Income Charges,-465687000.0,-10417000.0,-71169000.0,147204000.0,-210431000.0,
Other Special Charges,336729000.0,39499000.0,-14108000.0,-132092000.0,124199000.0,
Write Off,-38645000.0,-29082000.0,85128000.0,-15112000.0,18411000.0,
Impairment Of Capital Assets,,,149000.0,,67821000.0,7855000.0
Restructuring And Mergern Acquisition,,,,,0.0,0.0
Net Non Operating Interest Income Expense,-3130813000.0,-3842942000.0,-3181812000.0,-1676818000.0,-1442480000.0,
Interest Expense Non Operating,6946273000.0,5471913000.0,5171169000.0,3824665000.0,4336911000.0,
Interest Income Non Operating,3815460000.0,1628971000.0,1989357000.0,2147847000.0,2894431000.0,
Operating Income,-2709774000.0,230213000.0,-1031712000.0,-394368000.0,-2391980000.0,
Operating Expense,13150140000.0,9693653000.0,10859601000.0,9673331000.0,11940681000.0,
Other Operating Expenses,821244000.0,682349000.0,464850000.0,596621000.0,909645000.0,
Research And Development,229494000.0,450244000.0,157001000.0,181267000.0,221939000.0,
Selling General And Administration,12994807000.0,9334004000.0,10818708000.0,9415075000.0,12544019000.0,
Selling And Marketing Expense,8256461000.0,6414673000.0,6867778000.0,6586684000.0,8255733000.0,
General And Administrative Expense,4738346000.0,2919331000.0,3950930000.0,2828391000.0,4288286000.0,
Rent And Landing Fees,,,,26212000.0,,
Gross Profit,10440366000.0,9923866000.0,9827889000.0,9278963000.0,9548701000.0,
Cost Of Revenue,38836746000.0,32943067000.0,31969204000.0,31305324000.0,47604972000.0,
Total Revenue,49277112000.0,42866933000.0,41797093000.0,40584287000.0,57153673000.0,
Operating Revenue,49277112000.0,42866933000.0,41797093000.0,40584287000.0,57153673000.0,
