,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Ordinary Shares Number,363281250.0,363281250.0,363281250.0,363281250.0,363281250.0
Share Issued,363281250.0,363281250.0,363281250.0,363281250.0,363281250.0
Net Debt,1669494000.0,1541528000.0,1625693000.0,1704191000.0,1621328000.0
Total Debt,2145397000.0,2265977000.0,2260760000.0,2263792000.0,2229077000.0
Tangible Book Value,-104411000.0,-157530000.0,-274989000.0,-366675000.0,-400166000.0
Invested Capital,3629737000.0,3736153000.0,3650528000.0,3594376000.0,3571456000.0
Working Capital,42518000.0,77433000.0,-55895000.0,87364000.0,143451000.0
Net Tangible Assets,-104411000.0,-157530000.0,-274989000.0,-366675000.0,-400166000.0
Capital Lease Obligations,123332000.0,120947000.0,121374000.0,109500000.0,68838000.0
Common Stock Equity,1607672000.0,1591123000.0,1511142000.0,1440084000.0,1411217000.0
Total Capitalization,3170271000.0,3078610000.0,2995710000.0,3096136000.0,3045400000.0
Total Equity Gross Minority Interest,1622855000.0,1608065000.0,1528875000.0,1457599000.0,1426440000.0
Minority Interest,15183000.0,16942000.0,17733000.0,17515000.0,15223000.0
Stockholders Equity,1607672000.0,1591123000.0,1511142000.0,1440084000.0,1411217000.0
Other Equity Interest,40064000.0,40064000.0,40064000.0,40064000.0,40064000.0
Retained Earnings,1175861000.0,1184017000.0,1076002000.0,1003813000.0,986349000.0
Additional Paid In Capital,220286000.0,220286000.0,220286000.0,220286000.0,220286000.0
Capital Stock,162384000.0,162384000.0,162384000.0,162384000.0,162384000.0
Common Stock,162384000.0,162384000.0,162384000.0,162384000.0,162384000.0
Total Liabilities Net Minority Interest,3240244000.0,3397582000.0,3369769000.0,3323012000.0,3326658000.0
Total Non Current Liabilities Net Minority Interest,2431666000.0,2335538000.0,2326854000.0,2469986000.0,2438437000.0
Other Non Current Liabilities,116996000.0,69906000.0,72782000.0,72716000.0,70280000.0
Derivative Product Liabilities,0.0,8648000.0,0.0,0.0,10511000.0
Non Current Pension And Other Postretirement Benefit Plans,38830000.0,22735000.0,22829000.0,22963000.0,23253000.0
Non Current Accrued Expenses,2357000.0,2157000.0,2072000.0,2031000.0,2108000.0
Tradeand Other Payables Non Current,482093000.0,518036000.0,512317000.0,499212000.0,520721000.0
Non Current Deferred Revenue,16603000.0,16191000.0,16078000.0,13862000.0,14563000.0
Non Current Deferred Taxes Liabilities,88261000.0,80754000.0,85533000.0,82945000.0,77140000.0
Long Term Debt And Capital Lease Obligation,1671951000.0,1595044000.0,1593176000.0,1754190000.0,1696702000.0
Long Term Capital Lease Obligation,109352000.0,107557000.0,108608000.0,98138000.0,62519000.0
Long Term Debt,1562599000.0,1487487000.0,1484568000.0,1656052000.0,1634183000.0
Current Liabilities,808578000.0,1062044000.0,1042915000.0,853026000.0,888221000.0
Other Current Liabilities,27846000.0,61790000.0,47381000.0,39622000.0,28379000.0
Current Debt And Capital Lease Obligation,473446000.0,670933000.0,667584000.0,509602000.0,532375000.0
Current Capital Lease Obligation,13980000.0,13390000.0,12766000.0,11362000.0,6319000.0
Current Debt,459466000.0,657543000.0,654818000.0,498240000.0,526056000.0
Current Provisions,13023000.0,13804000.0,12371000.0,11046000.0,9631000.0
Payables,258786000.0,272079000.0,274238000.0,253662000.0,279000000.0
Other Payable,142468000.0,156653000.0,156952000.0,161778000.0,189072000.0
Total Tax Payable,42064000.0,40085000.0,36860000.0,32218000.0,34869000.0
Accounts Payable,74254000.0,75341000.0,80426000.0,59666000.0,55059000.0
Total Assets,4863099000.0,5005647000.0,4898644000.0,4780611000.0,4753098000.0
Total Non Current Assets,4012003000.0,3866170000.0,3911624000.0,3840221000.0,3721426000.0
Non Current Prepaid Assets,,118750000.0,,,
Non Current Deferred Taxes Assets,54948000.0,51268000.0,54443000.0,43469000.0,44187000.0
Financial Assets,57252000.0,37883000.0,54867000.0,53428000.0,42191000.0
Investmentin Financial Assets,87161000.0,80052000.0,81944000.0,78233000.0,76415000.0
Available For Sale Securities,87161000.0,80052000.0,81944000.0,78233000.0,76415000.0
Long Term Equity Investment,725507000.0,717574000.0,738013000.0,727693000.0,754398000.0
Investmentsin Joint Venturesat Cost,724180000.0,715592000.0,736334000.0,726313000.0,751195000.0
Investmentsin Associatesat Cost,1327000.0,1982000.0,1679000.0,1380000.0,3203000.0
Goodwill And Other Intangible Assets,1712083000.0,1748653000.0,1786131000.0,1806759000.0,1811383000.0
Other Intangible Assets,1488643000.0,1531289000.0,1565548000.0,1585350000.0,1594972000.0
Goodwill,223440000.0,217364000.0,220583000.0,221409000.0,216411000.0
Net PPE,1084186000.0,971772000.0,930197000.0,853883000.0,746042000.0
Accumulated Depreciation,-393080000.0,,,,-321288000.0
Gross PPE,1477266000.0,971772000.0,930197000.0,853883000.0,1067330000.0
Construction In Progress,301682000.0,,,,280503000.0
Other Properties,1705000.0,971772000.0,930197000.0,853883000.0,1917000.0
Machinery Furniture Equipment,459522000.0,,,,313646000.0
Buildings And Improvements,666111000.0,,,,426483000.0
Land And Improvements,48246000.0,,,,44781000.0
Properties,0.0,,,,0.0
Current Assets,851096000.0,1139477000.0,987020000.0,940390000.0,1031672000.0
Assets Held For Sale Current,691000.0,950000.0,944000.0,964000.0,965000.0
Restricted Cash,88610000.0,97137000.0,33541000.0,51905000.0,99768000.0
Prepaid Assets,83655000.0,100512000.0,106748000.0,105451000.0,93105000.0
Inventory,44713000.0,43640000.0,48246000.0,40739000.0,33805000.0
Other Inventories,3705000.0,,,,3181000.0
Finished Goods,14933000.0,,,,11046000.0
Raw Materials,26075000.0,,,,19578000.0
Other Receivables,46856000.0,41293000.0,40292000.0,55311000.0,32487000.0
Taxes Receivable,41549000.0,39721000.0,34700000.0,39197000.0,37487000.0
Accounts Receivable,127103000.0,153642000.0,149146000.0,111749000.0,114256000.0
Allowance For Doubtful Accounts Receivable,-32448000.0,-29659000.0,-44320000.0,-44884000.0,-47901000.0
Gross Accounts Receivable,159551000.0,183301000.0,193466000.0,156633000.0,162157000.0
Cash Cash Equivalents And Short Term Investments,417919000.0,662582000.0,573403000.0,535074000.0,619799000.0
Other Short Term Investments,65348000.0,59080000.0,59710000.0,84973000.0,80888000.0
Cash And Cash Equivalents,352571000.0,603502000.0,513693000.0,450101000.0,538911000.0
Cash Equivalents,220674000.0,447348000.0,397563000.0,341245000.0,454628000.0
Cash Financial,131897000.0,156154000.0,116130000.0,108856000.0,84283000.0
