,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-12305000.0,0.0,0.0,0.0,-2627750.0,
Tax Rate For Calcs,0.25,0.177511,0.083749,0.25,0.25,
Normalized EBITDA,180615000.0,230064000.0,150613000.0,94854000.0,147547000.0,
Total Unusual Items,-49220000.0,0.0,0.0,0.0,-10511000.0,
Total Unusual Items Excluding Goodwill,-49220000.0,0.0,0.0,0.0,-10511000.0,
Net Income From Continuing Operation Net Minority Interest,-1812000.0,103913000.0,72079000.0,8921000.0,73035000.0,
Reconciled Depreciation,87409000.0,49046000.0,38885000.0,30330000.0,38334000.0,
Reconciled Cost Of Revenue,347003000.0,277054000.0,264791000.0,223302000.0,256085000.0,
EBITDA,131395000.0,230064000.0,150613000.0,94854000.0,137036000.0,
EBIT,43986000.0,181018000.0,111728000.0,64524000.0,98702000.0,
Net Interest Income,-9830000.0,-38256000.0,-19780000.0,-35255000.0,-24010000.0,
Interest Expense,38622000.0,48581000.0,28957000.0,45253000.0,36169000.0,
Interest Income,14830000.0,13131000.0,17094000.0,12804000.0,12087000.0,
Normalized Income,35103000.0,103913000.0,72079000.0,8921000.0,80918250.0,
Net Income From Continuing And Discontinued Operation,-1862000.0,103894000.0,72069000.0,8893000.0,72964000.0,
Total Expenses,388800000.0,352442000.0,320918000.0,265065000.0,292109000.0,
Rent Expense Supplemental,34800000.0,1053000.0,269000.0,218000.0,26741000.0,
Total Operating Income As Reported,7638000.0,183098000.0,102104000.0,50306000.0,98487000.0,
Diluted Average Shares,,363281250.0,363281250.0,363281250.0,,363281250.0
Basic Average Shares,,363281250.0,363281250.0,363281250.0,,363281250.0
Diluted EPS,,0.29,0.2,0.02,,0.51
Basic EPS,,0.29,0.2,0.02,,0.51
Diluted NI Availto Com Stockholders,-1862000.0,103894000.0,72069000.0,8893000.0,72964000.0,
Net Income Common Stockholders,-1862000.0,103894000.0,72069000.0,8893000.0,72964000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-1862000.0,103894000.0,72069000.0,8893000.0,72964000.0,
Minority Interests,-3276000.0,-5015000.0,-3760000.0,-1953000.0,-2012000.0,
Net Income Including Noncontrolling Interests,1414000.0,108909000.0,75829000.0,10846000.0,74976000.0,
Net Income Discontinuous Operations,-50000.0,-19000.0,-10000.0,-28000.0,-71000.0,
Net Income Continuous Operations,1464000.0,108928000.0,75839000.0,10874000.0,75047000.0,
Tax Provision,3900000.0,23509000.0,6932000.0,8397000.0,-12514000.0,
Pretax Income,5364000.0,132437000.0,82771000.0,19271000.0,62533000.0,
Other Non Operating Income Expenses,1912000.0,653000.0,2429000.0,3619000.0,-1608000.0,
Net Non Operating Interest Income Expense,-9830000.0,-38256000.0,-19780000.0,-35255000.0,-24010000.0,
Total Other Finance Cost,-13962000.0,2806000.0,7917000.0,2806000.0,-72000.0,
Interest Expense Non Operating,38622000.0,48581000.0,28957000.0,45253000.0,36169000.0,
Interest Income Non Operating,14830000.0,13131000.0,17094000.0,12804000.0,12087000.0,
Operating Income,39692000.0,146939000.0,90449000.0,55695000.0,35610000.0,
Operating Expense,41797000.0,75388000.0,56127000.0,41763000.0,36024000.0,
Other Operating Expenses,-35518000.0,78746000.0,56270000.0,46306000.0,-31273000.0,
Gross Profit,81489000.0,222327000.0,146576000.0,97458000.0,71634000.0,
Cost Of Revenue,347003000.0,277054000.0,264791000.0,223302000.0,256085000.0,
Total Revenue,428492000.0,499381000.0,411367000.0,320760000.0,327719000.0,
Operating Revenue,428492000.0,499381000.0,411367000.0,320760000.0,327719000.0,
