,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-35908750.0,-540713000.0,-711509446.446319,-1032486250.0,489893000.0
Tax Rate For Calcs,0.25,0.25,0.387346,0.25,0.25
Normalized EBITDA,21493276000.0,18764428000.0,17313905000.0,23782516000.0,19986891000.0
Total Unusual Items,-143635000.0,-2162852000.0,-1836882000.0,-4129945000.0,1959572000.0
Total Unusual Items Excluding Goodwill,-143635000.0,-2162852000.0,-1836882000.0,-4129945000.0,1959572000.0
Net Income From Continuing Operation Net Minority Interest,3065966000.0,2376276000.0,2093923000.0,-871915000.0,-4760883000.0
Reconciled Depreciation,11518031000.0,11727120000.0,9964253000.0,24404037000.0,12563765000.0
Reconciled Cost Of Revenue,29195526000.0,26526524000.0,24180016000.0,43985139000.0,28263141000.0
EBITDA,21349641000.0,16601576000.0,15477023000.0,19652571000.0,21946463000.0
EBIT,9831610000.0,4874456000.0,5512770000.0,-4751466000.0,9382698000.0
Net Interest Income,-2145775000.0,-896693000.0,-873762000.0,-925555000.0,-3057204000.0
Interest Expense,4476603000.0,2654567000.0,2103854000.0,2206054000.0,4382356000.0
Interest Income,1961401000.0,1623532000.0,1130625000.0,768749000.0,1083186000.0
Normalized Income,3173692250.0,3998415000.0,3219295553.553681,2225543750.0,-6230562000.0
Net Income From Continuing And Discontinued Operation,14280415000.0,2904335000.0,2634562000.0,1097759000.0,-4495100000.0
Total Expenses,33367484000.0,29980871000.0,27098984000.0,45859520000.0,31505885000.0
Total Operating Income As Reported,6372554000.0,4471206000.0,3304028000.0,-17810048000.0,2878569000.0
Diluted Average Shares,2180216031.0,2183710526.0,2177323967.0,,2182087379.0
Basic Average Shares,2180216031.0,2183710526.0,2177323967.0,,2182087379.0
Diluted EPS,6.55,1.33,1.21,,-2.06
Basic EPS,6.55,1.33,1.21,,-2.06
Diluted NI Availto Com Stockholders,14280415000.0,2904335000.0,2634562000.0,1097759000.0,-4495100000.0
Net Income Common Stockholders,14280415000.0,2904335000.0,2634562000.0,1097759000.0,-4495100000.0
Net Income,14280415000.0,2904335000.0,2634562000.0,1097759000.0,-4495100000.0
Minority Interests,704000.0,1320000.0,5438000.0,18845000.0,2280000.0
Net Income Including Noncontrolling Interests,14279711000.0,2903015000.0,2629124000.0,1078914000.0,-4497380000.0
Net Income Discontinuous Operations,11214449000.0,528059000.0,540639000.0,,265783000.0
Net Income Continuous Operations,3065262000.0,2374956000.0,2088485000.0,-890760000.0,-4763163000.0
Tax Provision,2289745000.0,-155067000.0,1320431000.0,-6066760000.0,9763505000.0
Pretax Income,5355007000.0,2219889000.0,3408916000.0,-6957520000.0,5000342000.0
Other Income Expense,696891000.0,-1816018000.0,559328000.0,-2368804000.0,1973381000.0
Other Non Operating Income Expenses,1512864000.0,1108717000.0,2452114000.0,,79281000.0
Special Income Charges,-418255000.0,-365928000.0,-223806000.0,-1399225000.0,-577062000.0
Gain On Sale Of Ppe,-4276000.0,-32730000.0,22178000.0,-166707000.0,81653000.0
Gain On Sale Of Business,-14556000.0,,,,0.0
Other Special Charges,148988000.0,78411000.0,30612000.0,502728000.0,115798000.0
Write Off,252073000.0,251374000.0,200938000.0,381155000.0,289527000.0
Impairment Of Capital Assets,,,,,14091000.0
Restructuring And Mergern Acquisition,-1638000.0,3413000.0,14434000.0,376140000.0,253390000.0
Earnings From Equity Interest,-672338000.0,-761883000.0,-55904000.0,1619502000.0,-65472000.0
Gain On Sale Of Security,274620000.0,-1796924000.0,-1613076000.0,-2730720000.0,2536634000.0
Net Non Operating Interest Income Expense,-2145775000.0,-896693000.0,-873762000.0,-925555000.0,-3057204000.0
Total Other Finance Cost,-369427000.0,-134342000.0,-99467000.0,-511750000.0,-241966000.0
Interest Expense Non Operating,4476603000.0,2654567000.0,2103854000.0,2206054000.0,4382356000.0
Interest Income Non Operating,1961401000.0,1623532000.0,1130625000.0,768749000.0,1083186000.0
Operating Income,6803891000.0,4932600000.0,3723350000.0,-3663161000.0,6084165000.0
Operating Expense,4171958000.0,3454347000.0,2918968000.0,1874381000.0,3242744000.0
Other Operating Expenses,,,,-1769918000.0,2000457000.0
Other Taxes,,,,300000.0,11000.0
Selling General And Administration,4171958000.0,3454347000.0,2918968000.0,3643999000.0,3242744000.0
Selling And Marketing Expense,2539317000.0,2256835000.0,1757911000.0,-861339000.0,2026184000.0
General And Administrative Expense,1632641000.0,1197512000.0,1161057000.0,4505338000.0,1216560000.0
Other Gand A,1632641000.0,1197512000.0,1161057000.0,-1079581000.0,1216560000.0
Gross Profit,10975849000.0,8386947000.0,6642318000.0,-1788780000.0,9326909000.0
Cost Of Revenue,29195526000.0,26526524000.0,24180016000.0,43985139000.0,28263141000.0
Total Revenue,40171375000.0,34913471000.0,30822334000.0,42196359000.0,37590050000.0
Operating Revenue,40171375000.0,33851340000.0,29826413000.0,42196359000.0,37590050000.0
