,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,4797045.0,,,4797045.0,4797045.0,4704045.0
Ordinary Shares Number,1375147544.0,1375147544.0,1375202955.0,1375202955.0,1375202955.0,
Share Issued,1379944589.0,1375147544.0,1375202955.0,1380000000.0,1380000000.0,
Net Debt,,3318508710.0,12966346800.0,28644795000.0,51705000000.0,51421780800.0
Total Debt,489939000000.0,495347294970.0,423796531900.0,431743413000.0,420172000000.0,
Tangible Book Value,675001000000.0,617037351480.0,553361770000.0,513987960000.0,453913000000.0,
Invested Capital,746902000000.0,687718165860.0,603491762300.0,573672708000.0,529077000000.0,
Working Capital,2377000000.0,-8518646070.0,-18958370700.0,-30554448000.0,-14913000000.0,
Net Tangible Assets,675001000000.0,617037351480.0,553361770000.0,513987960000.0,453913000000.0,
Capital Lease Obligations,422924000000.0,429216600780.0,377726708800.0,375877971000.0,348352000000.0,
Common Stock Equity,679887000000.0,621587471670.0,557421939200.0,517807266000.0,457257000000.0,
Total Capitalization,681063000000.0,622887506010.0,558633441300.0,522468114000.0,471184000000.0,
Total Equity Gross Minority Interest,680012000000.0,621690105960.0,557552912400.0,517936734000.0,457112000000.0,
Minority Interest,125000000.0,102634290.0,130973200.0,129468000.0,-145000000.0,
Stockholders Equity,679887000000.0,621587471670.0,557421939200.0,517807266000.0,457257000000.0,
Other Equity Interest,1124000000.0,,,,1124000000.0,
Treasury Stock,853000000.0,1128977190.0,1080528900.0,1068111000.0,655000000.0,
Retained Earnings,342245000000.0,575778366900.0,500546827100.0,464272248000.0,229086000000.0,
Capital Stock,1380000000.0,54635653710.0,52291050100.0,51690099000.0,1380000000.0,
Common Stock,1380000000.0,54635653710.0,52291050100.0,51690099000.0,1380000000.0,
Total Liabilities Net Minority Interest,719594000000.0,735579956430.0,673202248000.0,650932737000.0,592979000000.0,
Total Non Current Liabilities Net Minority Interest,380061000000.0,387273387600.0,343018810800.0,344125944000.0,325023000000.0,
Non Current Pension And Other Postretirement Benefit Plans,8725000000.0,8826548940.0,8349541500.0,6894171000.0,6752000000.0,
Tradeand Other Payables Non Current,1115000000.0,1402668630.0,1342475300.0,1197579000.0,749000000.0,
Non Current Deferred Revenue,4629000000.0,4994868780.0,5238928000.0,5470023000.0,3185000000.0,
Non Current Deferred Taxes Liabilities,2285000000.0,1778994360.0,1669908300.0,2200956000.0,1477000000.0,
Long Term Debt And Capital Lease Obligation,359529000000.0,367464969630.0,323798493700.0,325709121000.0,310362000000.0,
Long Term Capital Lease Obligation,358353000000.0,366164935290.0,322586991600.0,321048273000.0,296435000000.0,
Long Term Debt,1176000000.0,1300034340.0,1211502100.0,4660848000.0,13927000000.0,
Long Term Provisions,3778000000.0,2805337260.0,2619464000.0,2654094000.0,2498000000.0,
Current Liabilities,339533000000.0,348306568830.0,330183437200.0,306806793000.0,267956000000.0,
Other Current Liabilities,298000000.0,21484778040.0,21545091400.0,14273847000.0,203000000.0,
Current Deferred Taxes Liabilities,,547382880.0,0.0,1165212000.0,,439502400.0
Current Debt And Capital Lease Obligation,130410000000.0,127882325340.0,99998038200.0,106034292000.0,109810000000.0,
Current Capital Lease Obligation,64571000000.0,63051665490.0,55139717200.0,54829698000.0,51917000000.0,
Current Debt,65839000000.0,64830659850.0,44858321000.0,51204594000.0,57893000000.0,
Pensionand Other Post Retirement Benefit Plans Current,3571000000.0,3660623010.0,3012383600.0,2751195000.0,1467000000.0,
Current Provisions,478000000.0,410537160.0,229203100.0,226569000.0,173000000.0,
Payables,66711000000.0,75436203150.0,68826416600.0,63892458000.0,48282000000.0,
Other Payable,4412000000.0,27403355430.0,19384033600.0,19938072000.0,3618000000.0,
Total Tax Payable,9507000000.0,,,,6604000000.0,
Accounts Payable,52792000000.0,48032847720.0,49442383000.0,43954386000.0,38060000000.0,
Total Assets,1399606000000.0,1357270062390.0,1230755160400.0,1168869471000.0,1050091000000.0,
Total Non Current Assets,1057696000000.0,1017482139630.0,919530093900.0,892617126000.0,797048000000.0,
Non Current Prepaid Assets,80932000000.0,57304145250.0,50817601600.0,45702204000.0,36577000000.0,
Non Current Deferred Taxes Assets,14198000000.0,17242560720.0,13031833400.0,11198982000.0,9763000000.0,
Investmentin Financial Assets,39253000000.0,38898395910.0,19613236700.0,17510547000.0,11724000000.0,
Available For Sale Securities,39253000000.0,38898395910.0,19613236700.0,17510547000.0,11724000000.0,
Long Term Equity Investment,22707000000.0,21142663740.0,16240676800.0,16604271000.0,14626000000.0,
Investmentsin Joint Venturesat Cost,,21142663740.0,16240676800.0,,14626000000.0,9586646100.0
Investment Properties,1523000000.0,1471091490.0,1407961900.0,1391781000.0,1271000000.0,
Goodwill And Other Intangible Assets,4886000000.0,4550120190.0,4060169200.0,3819306000.0,3344000000.0,
Other Intangible Assets,3943000000.0,3626411580.0,3176100100.0,2945397000.0,2557000000.0,
Goodwill,943000000.0,923708610.0,884069100.0,873909000.0,787000000.0,
Net PPE,872208000000.0,834793103430.0,771137458300.0,753665595000.0,678667000000.0,
Accumulated Depreciation,-499830000000.0,-463872779370.0,-434077928100.0,-417793236000.0,-369028000000.0,
Gross PPE,1372038000000.0,1298665882800.0,1205215386400.0,1171458831000.0,1047695000000.0,
Construction In Progress,16767000000.0,15737257800.0,11001748800.0,10745844000.0,11006000000.0,
Other Properties,45372000000.0,30550806990.0,28388441100.0,28126923000.0,34356000000.0,
Machinery Furniture Equipment,1214785000000.0,1160622762750.0,1078236869000.0,1051377261000.0,929595000000.0,
Buildings And Improvements,37786000000.0,36948344400.0,35460993900.0,29745273000.0,26994000000.0,
Land And Improvements,57328000000.0,54806710860.0,52127333600.0,51463530000.0,45744000000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,341910000000.0,339787922760.0,311225066500.0,276252345000.0,253043000000.0,
Other Current Assets,,4994868780.0,2881410400.0,3236700000.0,,2362325400.0
Hedging Assets Current,38608000000.0,513171450.0,2324774300.0,2265690000.0,531000000.0,
Restricted Cash,5124000000.0,6055423110.0,6024767200.0,5793693000.0,6629000000.0,
Prepaid Assets,41544000000.0,43448516100.0,41125584800.0,23886846000.0,16198000000.0,
Inventory,23661000000.0,15634623510.0,16338906700.0,14694618000.0,12311000000.0,
Inventories Adjustments Allowances,-302000000.0,,,,-300000000.0,
Other Inventories,5339000000.0,,,,3096000000.0,
Finished Goods,6692000000.0,,,,1109000000.0,
Raw Materials,11932000000.0,,,,8406000000.0,
Other Receivables,11888000000.0,13684572000.0,11591128200.0,10098504000.0,8548000000.0,
Taxes Receivable,9550000000.0,2463222960.0,2881410400.0,841542000.0,6208000000.0,
Accounts Receivable,31908000000.0,39651047370.0,38178687800.0,32043330000.0,25192000000.0,
Allowance For Doubtful Accounts Receivable,-3709000000.0,,,,-3112000000.0,
Gross Accounts Receivable,35617000000.0,39651047370.0,38178687800.0,32043330000.0,28304000000.0,
Cash Cash Equivalents And Short Term Investments,179627000000.0,213342477480.0,189878396700.0,183391422000.0,177426000000.0,
