,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,1402845366.553394,-128852961.132743,-1719023250.0,-194202000.0,-2228027575.0,
Tax Rate For Calcs,0.27376,0.089676,0.25,0.25,0.25,
Normalized EBITDA,45719935600.0,85086872250.0,58417402700.0,28580061000.0,16585375700.0,
Total Unusual Items,5124354680.0,-1436880060.0,-6876093000.0,-776808000.0,-8912110300.0,
Total Unusual Items Excluding Goodwill,5124354680.0,-1436880060.0,-6876093000.0,-776808000.0,-8912110300.0,
Net Income From Continuing Operation Net Minority Interest,20562390410.0,52822447920.0,30876931900.0,7314942000.0,86419706800.0,
Reconciled Depreciation,16575580530.0,20564115270.0,17979427200.0,17186877000.0,8424343800.0,
Reconciled Cost Of Revenue,136391266250.0,164556978300.0,149636881000.0,137397915000.0,62137487200.0,
EBITDA,50844290280.0,83649992190.0,51541309700.0,27803253000.0,7673265400.0,
EBIT,34268709750.0,63085876920.0,33561882500.0,10616376000.0,-751078400.0,
Net Interest Income,10796021310.0,18747863640.0,10543342600.0,6894171000.0,2634090800.0,
Interest Expense,5937010780.0,5097503070.0,5468131100.0,5178720000.0,2487406500.0,
Interest Income,15812158420.0,15737257800.0,11853074600.0,9904302000.0,-1226474000.0,
Normalized Income,16840881096.553394,54130475018.867256,36034001650.0,7897548000.0,93103789525.0,
Net Income From Continuing And Discontinued Operation,20562390410.0,52822447920.0,30876931900.0,7314942000.0,86419706800.0,
Total Expenses,151498835750.0,178036281720.0,165648354700.0,152545671000.0,67203046300.0,
Rent Expense Supplemental,35257650960.0,3352720140.0,4027425900.0,3689838000.0,53228033400.0,
Total Operating Income As Reported,-34488981940.0,66951768510.0,19351290300.0,1359414000.0,-24880963400.0,
Diluted Average Shares,,1378571429.0,1386764706.0,1379963489.0,,1381294964.0
Basic Average Shares,,1378571429.0,1386764706.0,1379963489.0,,1381294964.0
Diluted EPS,,1.12,0.68,0.16,,1.39
Basic EPS,,1.12,0.68,0.16,,1.39
Diluted NI Availto Com Stockholders,20562390410.0,52822447920.0,30876931900.0,7314942000.0,86419706800.0,
Net Income Common Stockholders,20562390410.0,52822447920.0,30876931900.0,7314942000.0,86419706800.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,20562390410.0,52822447920.0,30876931900.0,7314942000.0,86419706800.0,
Minority Interests,-13211430.0,34211430.0,,,,
Net Income Including Noncontrolling Interests,20575601840.0,52788236490.0,30876931900.0,7314942000.0,86414706800.0,
Net Income Continuous Operations,20575601840.0,52788236490.0,30876931900.0,7314942000.0,86414706800.0,
Tax Provision,7756097130.0,5200137360.0,-2783180500.0,-1877286000.0,-89653191700.0,
Pretax Income,28331698970.0,57988373850.0,28093751400.0,5437656000.0,-3238484900.0,
Other Non Operating Income Expenses,258542800.0,342114300.0,654866000.0,323670000.0,186808600.0,
Special Income Charges,71542800.0,-376325730.0,949555700.0,712074000.0,-844679500.0,
Other Special Charges,-71542800.0,376325730.0,-949555700.0,-712074000.0,844679500.0,
Net Non Operating Interest Income Expense,10796021310.0,18747863640.0,10543342600.0,6894171000.0,2634090800.0,
Total Other Finance Cost,-920873670.0,-8108108910.0,-4158399100.0,-2168589000.0,-6347971300.0,
Interest Expense Non Operating,5937010780.0,5097503070.0,5468131100.0,5178720000.0,2487406500.0,
Interest Income Non Operating,15812158420.0,15737257800.0,11853074600.0,9904302000.0,-1226474000.0,
Operating Income,10284168450.0,48785499180.0,19711466600.0,1812552000.0,2554549000.0,
Operating Expense,15107569500.0,13479303420.0,16011473700.0,15147756000.0,5065559100.0,
Other Operating Expenses,779948490.0,821074320.0,425662900.0,712074000.0,2374009500.0,
Depreciation And Amortization In Income Statement,576948490.0,684228600.0,589379400.0,614973000.0,276210500.0,
Depreciation Income Statement,576948490.0,684228600.0,589379400.0,614973000.0,276210500.0,
Selling General And Administration,10025712750.0,12487171950.0,12311480800.0,10551642000.0,3505683700.0,
Selling And Marketing Expense,8308872920.0,10605543300.0,11263695200.0,9548265000.0,3486324900.0,
General And Administrative Expense,1716839830.0,1881628650.0,1047785600.0,1003377000.0,19358800.0,
Rent And Landing Fees,443885700.0,136845720.0,98229900.0,323670000.0,248966500.0,
Gross Profit,25391737950.0,62264802600.0,35722940300.0,16960308000.0,7620108100.0,
Cost Of Revenue,136391266250.0,164556978300.0,149636881000.0,137397915000.0,62137487200.0,
Total Revenue,161783004200.0,226821780900.0,185359821300.0,154358223000.0,69757595300.0,
Operating Revenue,161783004200.0,226821780900.0,185359821300.0,154358223000.0,69757595300.0,
