,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30
Tax Effect Of Unusual Items,-8608695.652174,31742980.561555,-3945722.713864,-53000000.0,-6500000.0,
Tax Rate For Calcs,0.043478,0.230022,0.089676,0.25,0.25,
Normalized EBITDA,844000000.0,1561000000.0,2443000000.0,1780000000.0,885000000.0,
Total Unusual Items,-198000000.0,138000000.0,-44000000.0,-212000000.0,-26000000.0,
Total Unusual Items Excluding Goodwill,-198000000.0,138000000.0,-44000000.0,-212000000.0,-26000000.0,
Net Income From Continuing Operation Net Minority Interest,-44000000.0,712000000.0,1544000000.0,943000000.0,226000000.0,
Reconciled Depreciation,565000000.0,574000000.0,555000000.0,543000000.0,531000000.0,
Reconciled Cost Of Revenue,4558000000.0,4722000000.0,4810000000.0,4570000000.0,4245000000.0,
EBITDA,646000000.0,1699000000.0,2399000000.0,1568000000.0,859000000.0,
EBIT,81000000.0,1125000000.0,1844000000.0,1025000000.0,328000000.0,
Net Interest Income,278000000.0,368000000.0,548000000.0,322000000.0,213000000.0,
Interest Expense,127000000.0,199000000.0,149000000.0,167000000.0,160000000.0,
Interest Income,390000000.0,518000000.0,460000000.0,362000000.0,306000000.0,
Normalized Income,145391304.347826,605742980.561555,1584054277.286136,1102000000.0,245500000.0,
Net Income From Continuing And Discontinued Operation,-44000000.0,712000000.0,1544000000.0,943000000.0,226000000.0,
Total Expenses,5027000000.0,4986000000.0,5354000000.0,5108000000.0,4761000000.0,
Rent Expense Supplemental,98000000.0,151000000.0,98000000.0,123000000.0,107000000.0,
Total Operating Income As Reported,-76000000.0,824000000.0,1957000000.0,591000000.0,42000000.0,
Diluted Average Shares,1379944530.0,,1378571429.0,1386764706.0,1379952030.0,1381294964.0
Basic Average Shares,1379944530.0,,1378571429.0,1386764706.0,1379952030.0,1381294964.0
Diluted EPS,-0.03,,1.12,0.68,0.16,1.39
Basic EPS,-0.03,,1.12,0.68,0.16,1.39
Diluted NI Availto Com Stockholders,-44000000.0,712000000.0,1544000000.0,943000000.0,226000000.0,
Net Income Common Stockholders,-44000000.0,712000000.0,1544000000.0,943000000.0,226000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-44000000.0,712000000.0,1544000000.0,943000000.0,226000000.0,
Minority Interests,,-13211430.0,1000000.0,,,
Net Income Including Noncontrolling Interests,-44000000.0,713000000.0,1543000000.0,943000000.0,226000000.0,
Net Income Continuous Operations,-44000000.0,713000000.0,1543000000.0,943000000.0,226000000.0,
Tax Provision,-2000000.0,213000000.0,152000000.0,-85000000.0,-58000000.0,
Pretax Income,-46000000.0,926000000.0,1695000000.0,858000000.0,168000000.0,
Other Non Operating Income Expenses,13000000.0,9000000.0,10000000.0,20000000.0,10000000.0,
Special Income Charges,6000000.0,2000000.0,-13000000.0,27000000.0,20000000.0,
Other Special Charges,-6000000.0,-2000000.0,13000000.0,-27000000.0,-20000000.0,
Net Non Operating Interest Income Expense,278000000.0,368000000.0,548000000.0,322000000.0,213000000.0,
Total Other Finance Cost,-15000000.0,-49000000.0,-237000000.0,-127000000.0,-67000000.0,
Interest Expense Non Operating,127000000.0,199000000.0,149000000.0,167000000.0,160000000.0,
Interest Income Non Operating,390000000.0,518000000.0,460000000.0,362000000.0,306000000.0,
Operating Income,-140000000.0,623000000.0,1276000000.0,553000000.0,8000000.0,
Operating Expense,469000000.0,264000000.0,544000000.0,538000000.0,516000000.0,
Other Operating Expenses,7000000.0,17000000.0,24000000.0,13000000.0,20000000.0,
Depreciation And Amortization In Income Statement,21000000.0,20000000.0,20000000.0,18000000.0,19000000.0,
Depreciation Income Statement,21000000.0,20000000.0,20000000.0,18000000.0,19000000.0,
Selling General And Administration,351000000.0,357000000.0,363000000.0,374000000.0,332000000.0,
Selling And Marketing Expense,298000000.0,296000000.0,310000000.0,344000000.0,302000000.0,
General And Administrative Expense,53000000.0,61000000.0,53000000.0,30000000.0,30000000.0,
Rent And Landing Fees,6000000.0,14000000.0,4000000.0,3000000.0,3000000.0,
Gross Profit,329000000.0,887000000.0,1820000000.0,1091000000.0,524000000.0,
Cost Of Revenue,4558000000.0,4722000000.0,4810000000.0,4570000000.0,4245000000.0,
Total Revenue,4887000000.0,5609000000.0,6630000000.0,5661000000.0,4769000000.0,
Operating Revenue,4887000000.0,5609000000.0,6630000000.0,5661000000.0,4769000000.0,
