,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-52957500.0,-56302000.0,-24809500.0,2894750.0,338973940.690468,
Tax Rate For Calcs,0.25,0.25,0.25,0.25,0.38136,
Normalized EBITDA,1359295000.0,1445714000.0,878991000.0,756881000.0,-1830691000.0,
Total Unusual Items,-211830000.0,-225208000.0,-99238000.0,11579000.0,946040000.0,
Total Unusual Items Excluding Goodwill,-211830000.0,-225208000.0,-99238000.0,11579000.0,888856000.0,
Net Income From Continuing Operation Net Minority Interest,381009000.0,18242000.0,579713000.0,-530671000.0,-1622023000.0,
Reconciled Depreciation,666246000.0,561838000.0,581519000.0,409595000.0,927014000.0,
Reconciled Cost Of Revenue,14238683000.0,10859142000.0,9575694000.0,14130693000.0,18253848000.0,
EBITDA,1147465000.0,1220506000.0,779753000.0,768460000.0,-884651000.0,
EBIT,481219000.0,658668000.0,198234000.0,358865000.0,-1811665000.0,
Net Interest Income,-500433000.0,-269354000.0,-206849000.0,-229829000.0,-581219000.0,
Interest Expense,483393000.0,365290000.0,248426000.0,265957000.0,718822000.0,
Interest Income,251905000.0,149918000.0,130267000.0,116804000.0,182722000.0,
Normalized Income,539881500.0,187148000.0,654141500.0,-539355250.0,-2171905059.309532,
Net Income From Continuing And Discontinued Operation,381009000.0,18242000.0,579713000.0,-530671000.0,-1622023000.0,
Total Expenses,15237549000.0,11531605000.0,10464538000.0,15560368000.0,19265159000.0,
Total Operating Income As Reported,-304745000.0,35087000.0,60566000.0,36396000.0,-3623524000.0,
Diluted Average Shares,,369004502.0,369179592.0,369246350.0,,370000000.0
Basic Average Shares,,369004502.0,369179592.0,369246350.0,,370000000.0
Diluted EPS,,0.049,1.567,-1.437,,-2.066
Basic EPS,,0.049,1.567,-1.437,,-2.066
Diluted NI Availto Com Stockholders,381009000.0,18242000.0,579713000.0,-530671000.0,-1622023000.0,
Net Income Common Stockholders,381009000.0,18242000.0,579713000.0,-530671000.0,-1622023000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,381009000.0,18242000.0,579713000.0,-530671000.0,-1622023000.0,
Minority Interests,16157000.0,-4363000.0,-22394000.0,2509000.0,-56562000.0,
Net Income Including Noncontrolling Interests,364852000.0,22605000.0,602107000.0,-533180000.0,-1565461000.0,
Net Income Continuous Operations,364852000.0,22605000.0,602107000.0,-533180000.0,-1565461000.0,
Tax Provision,-367026000.0,270773000.0,-652299000.0,626088000.0,-965026000.0,
Pretax Income,-2174000.0,293378000.0,-50192000.0,92908000.0,-2530487000.0,
Other Non Operating Income Expenses,292886000.0,397057000.0,378939000.0,291760000.0,475428000.0,
Special Income Charges,50020000.0,-3720000.0,-487000.0,866000.0,659729000.0,
Other Special Charges,-183185000.0,3720000.0,487000.0,-866000.0,-703749000.0,
Net Non Operating Interest Income Expense,-500433000.0,-269354000.0,-206849000.0,-229829000.0,-581219000.0,
Total Other Finance Cost,268945000.0,53982000.0,88690000.0,80676000.0,45119000.0,
Interest Expense Non Operating,483393000.0,365290000.0,248426000.0,265957000.0,718822000.0,
Interest Income Non Operating,251905000.0,149918000.0,130267000.0,116804000.0,182722000.0,
Operating Income,291896000.0,316740000.0,406006000.0,507722000.0,-2901563000.0,
Operating Expense,998866000.0,672463000.0,888844000.0,1429675000.0,1011311000.0,
Other Operating Expenses,143915000.0,55526000.0,74618000.0,159957000.0,140865000.0,
Research And Development,11334000.0,13184000.0,7383000.0,20479000.0,18653000.0,
Selling General And Administration,-541768000.0,843449000.0,1021907000.0,1570659000.0,37772000.0,
Selling And Marketing Expense,301395000.0,408651000.0,504333000.0,996878000.0,527341000.0,
General And Administrative Expense,-843163000.0,434798000.0,517574000.0,573781000.0,-489569000.0,
Gross Profit,1290762000.0,989203000.0,1294850000.0,1937397000.0,-1890252000.0,
Cost Of Revenue,14238683000.0,10859142000.0,9575694000.0,14130693000.0,18253848000.0,
Total Revenue,15529445000.0,11848345000.0,10870544000.0,16068090000.0,16363596000.0,
Operating Revenue,15529445000.0,11848345000.0,10870544000.0,16068090000.0,16363596000.0,
