,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-15996908.809892,-2565000.0,-5544000.0,-2610000.0,-6114942.528736,
Tax Rate For Calcs,0.07728,0.057,0.072,0.09,0.076437,
Normalized EBITDA,3207000000.0,2882000000.0,2987000000.0,2817000000.0,3049000000.0,
Total Unusual Items,-207000000.0,-45000000.0,-77000000.0,-29000000.0,-80000000.0,
Total Unusual Items Excluding Goodwill,-207000000.0,-45000000.0,-77000000.0,-29000000.0,-80000000.0,
Net Income From Continuing Operation Net Minority Interest,1830000000.0,1630000000.0,1548000000.0,1328000000.0,1630000000.0,
Reconciled Depreciation,742000000.0,739000000.0,791000000.0,836000000.0,839000000.0,
Reconciled Cost Of Revenue,6573000000.0,6270000000.0,6194000000.0,6140000000.0,6493000000.0,
EBITDA,3000000000.0,2837000000.0,2910000000.0,2788000000.0,2969000000.0,
EBIT,2258000000.0,2098000000.0,2119000000.0,1952000000.0,2130000000.0,
Net Interest Income,-90000000.0,-79000000.0,-59000000.0,-84000000.0,-81000000.0,
Interest Expense,317000000.0,356000000.0,354000000.0,363000000.0,390000000.0,
Interest Income,227000000.0,277000000.0,295000000.0,279000000.0,309000000.0,
Normalized Income,2021003091.190108,1672435000.0,1619456000.0,1354390000.0,1703885057.471264,
Net Income From Continuing And Discontinued Operation,1830000000.0,1630000000.0,1548000000.0,1328000000.0,1630000000.0,
Total Expenses,9150000000.0,8714000000.0,8644000000.0,8654000000.0,8952000000.0,
Total Operating Income As Reported,2016000000.0,1838000000.0,1820000000.0,1663000000.0,1854000000.0,
Diluted Average Shares,,384000000.0,383000000.0,384000000.0,388000000.0,388000000.0
Basic Average Shares,,382000000.0,382000000.0,382000000.0,387000000.0,386000000.0
Diluted EPS,,4.25,4.04,3.46,4.2,4.42
Basic EPS,,4.26,4.05,3.47,4.22,4.44
Diluted NI Availto Com Stockholders,1830000000.0,1630000000.0,1548000000.0,1328000000.0,1630000000.0,
Net Income Common Stockholders,1830000000.0,1630000000.0,1548000000.0,1328000000.0,1630000000.0,
Net Income,1830000000.0,1630000000.0,1548000000.0,1328000000.0,1630000000.0,
Minority Interests,6000000.0,0.0,-6000000.0,-4000000.0,24000000.0,
Net Income Including Noncontrolling Interests,1824000000.0,1629000000.0,1553000000.0,1331000000.0,1606000000.0,
Net Income Continuous Operations,1824000000.0,1629000000.0,1553000000.0,1331000000.0,1606000000.0,
Earnings From Equity Interest Net Of Tax,33000000.0,-14000000.0,-84000000.0,23000000.0,-1000000.0,
Tax Provision,150000000.0,99000000.0,128000000.0,281000000.0,133000000.0,
Pretax Income,1941000000.0,1742000000.0,1765000000.0,1589000000.0,1740000000.0,
Other Income Expense,-214000000.0,-61000000.0,-72000000.0,-19000000.0,-113000000.0,
Other Non Operating Income Expenses,-7000000.0,-16000000.0,5000000.0,10000000.0,-33000000.0,
Special Income Charges,-228000000.0,-45000000.0,-77000000.0,-29000000.0,-80000000.0,
Restructuring And Mergern Acquisition,228000000.0,45000000.0,77000000.0,29000000.0,80000000.0,
Net Non Operating Interest Income Expense,-90000000.0,-79000000.0,-59000000.0,-84000000.0,-81000000.0,
Interest Expense Non Operating,317000000.0,356000000.0,354000000.0,363000000.0,390000000.0,
Interest Income Non Operating,227000000.0,277000000.0,295000000.0,279000000.0,309000000.0,
Operating Income,2245000000.0,1884000000.0,1897000000.0,1691000000.0,1934000000.0,
Operating Expense,2577000000.0,2444000000.0,2450000000.0,2514000000.0,2459000000.0,
Research And Development,374000000.0,346000000.0,339000000.0,331000000.0,327000000.0,
Selling General And Administration,2203000000.0,2098000000.0,2111000000.0,2183000000.0,2132000000.0,
Gross Profit,4822000000.0,4328000000.0,4347000000.0,4205000000.0,4393000000.0,
Cost Of Revenue,6573000000.0,6270000000.0,6194000000.0,6140000000.0,6493000000.0,
Total Revenue,11395000000.0,10598000000.0,10541000000.0,10345000000.0,10886000000.0,
Operating Revenue,11395000000.0,10598000000.0,10541000000.0,10345000000.0,10886000000.0,
