,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,0.0,0.0,
Ordinary Shares Number,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,
Share Issued,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,
Net Debt,8968058000.0,,47821000.0,,,
Total Debt,27900959000.0,18924909000.0,17839303000.0,16277054000.0,11830789000.0,
Tangible Book Value,42938650000.0,40272627000.0,35950275000.0,31557665000.0,32617438000.0,
Invested Capital,74964595000.0,63008069000.0,57779853000.0,51989732000.0,48679043000.0,
Working Capital,36200149000.0,24410946000.0,22856679000.0,22034639000.0,24937811000.0,
Net Tangible Assets,42938650000.0,40272627000.0,35950275000.0,31557665000.0,32617438000.0,
Capital Lease Obligations,37976000.0,33531000.0,29566000.0,27843000.0,31330000.0,
Common Stock Equity,47101612000.0,44116691000.0,39970116000.0,35740521000.0,36879584000.0,
Total Capitalization,64044887000.0,51193869000.0,46399938000.0,43237872000.0,41954047000.0,
Total Equity Gross Minority Interest,47101612000.0,44116691000.0,39970116000.0,35740521000.0,36879584000.0,
Stockholders Equity,47101612000.0,44116691000.0,39970116000.0,35740521000.0,36879584000.0,
Other Equity Interest,19469934000.0,18291696000.0,16752823000.0,15415171000.0,13331627000.0,
Retained Earnings,22354192000.0,21817005000.0,20258534000.0,17899050000.0,22997526000.0,
Capital Stock,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,
Common Stock,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,
Total Liabilities Net Minority Interest,44558368000.0,42483203000.0,48587273000.0,58834773000.0,41787711000.0,
Total Non Current Liabilities Net Minority Interest,18042385000.0,8349838000.0,7818438000.0,8635425000.0,6221592000.0,
Non Current Pension And Other Postretirement Benefit Plans,1078535000.0,1255279000.0,1374641000.0,1125328000.0,1129061000.0,
Non Current Deferred Revenue,,,,,0.0,267000.0
Long Term Debt And Capital Lease Obligation,16963850000.0,7094559000.0,6443797000.0,7510097000.0,5092531000.0,
Long Term Capital Lease Obligation,20575000.0,17381000.0,13975000.0,12746000.0,18068000.0,
Long Term Debt,16943275000.0,7077178000.0,6429822000.0,7497351000.0,5074463000.0,
Current Liabilities,26515983000.0,34133365000.0,40768835000.0,50199348000.0,35566119000.0,
Other Current Liabilities,62356000.0,180803000.0,530409000.0,298109000.0,465601000.0,
Current Debt And Capital Lease Obligation,10937109000.0,11830350000.0,11395506000.0,8766957000.0,6738258000.0,
Current Capital Lease Obligation,17401000.0,16150000.0,15591000.0,15097000.0,13262000.0,
Current Debt,10919708000.0,11814200000.0,11379915000.0,8751860000.0,6724996000.0,
Pensionand Other Post Retirement Benefit Plans Current,917385000.0,,,,36411000.0,557842000.0
Current Provisions,2574012000.0,2260836000.0,2120073000.0,2212225000.0,2032770000.0,
Payables,11437331000.0,19195954000.0,26108754000.0,38301505000.0,24621226000.0,
Other Payable,95478000.0,1296391000.0,1195473000.0,1035686000.0,804530000.0,
Dividends Payable,,,,10000000000.0,,
Total Tax Payable,0.0,785533000.0,660552000.0,2374187000.0,255818000.0,
Accounts Payable,11341853000.0,17114030000.0,24252729000.0,24891632000.0,23560878000.0,
Total Assets,91659980000.0,86599894000.0,88557389000.0,94575294000.0,78667295000.0,
Total Non Current Assets,28943848000.0,28055583000.0,24931875000.0,22341307000.0,18163365000.0,
Non Current Prepaid Assets,13755000.0,11604000.0,797000.0,4172000.0,13416000.0,
Non Current Deferred Taxes Assets,3611640000.0,4443752000.0,4101748000.0,2957749000.0,1729649000.0,
Investment Properties,234960000.0,201997000.0,185455000.0,171077000.0,148680000.0,
Goodwill And Other Intangible Assets,4162962000.0,3844064000.0,4019841000.0,4182856000.0,4262146000.0,
Other Intangible Assets,4162962000.0,3844064000.0,4019841000.0,4182856000.0,4262146000.0,
Net PPE,16307239000.0,15051555000.0,12510120000.0,10766229000.0,9466083000.0,
Accumulated Depreciation,-90929723000.0,-85473016000.0,-78734461000.0,-72181773000.0,-62369768000.0,
Gross PPE,107236962000.0,100524571000.0,91244581000.0,82948002000.0,71835851000.0,
Construction In Progress,2647210000.0,5168883000.0,3259324000.0,1775487000.0,1184595000.0,
Other Properties,37795000.0,36047000.0,33597000.0,34992000.0,29854000.0,
Machinery Furniture Equipment,95077404000.0,86449729000.0,79813420000.0,73636499000.0,64108126000.0,
Buildings And Improvements,245337000.0,228532000.0,209818000.0,193551000.0,168211000.0,
Land And Improvements,9229216000.0,8641380000.0,7928422000.0,7307473000.0,6345065000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,62716132000.0,58544311000.0,63625514000.0,72233987000.0,60503930000.0,
Other Current Assets,223097000.0,334810000.0,105867000.0,445910000.0,43558000.0,
