,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,-98089747.52034,0.0,
Tax Rate For Calcs,0.25,0.397392,0.25,0.049718,0.25,
Normalized EBITDA,3258641000.0,2182308000.0,2405479000.0,6408878000.0,9206212000.0,
Total Unusual Items,,,,-1972929000.0,,
Total Unusual Items Excluding Goodwill,,,,-1972929000.0,,
Net Income From Continuing Operation Net Minority Interest,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Reconciled Depreciation,1560235000.0,1597554000.0,1576461000.0,1465345000.0,3241761000.0,
Reconciled Cost Of Revenue,33556782000.0,22236268000.0,22849194000.0,29867210000.0,52077300000.0,
EBITDA,3258641000.0,2182308000.0,2405479000.0,4435949000.0,9206212000.0,
EBIT,1698406000.0,584754000.0,829018000.0,2970604000.0,5964451000.0,
Net Interest Income,3865065000.0,823868000.0,1409273000.0,1573777000.0,2551810000.0,
Interest Expense,1682534000.0,66981000.0,30446000.0,17780000.0,1285903000.0,
Interest Income,5547019000.0,891547000.0,1440485000.0,1592336000.0,3839026000.0,
Normalized Income,194251000.0,312014000.0,1287185000.0,4680855252.47966,2617930000.0,
Net Income From Continuing And Discontinued Operation,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Total Expenses,38684112000.0,24186063000.0,24116334000.0,31622821000.0,55585144000.0,
Total Operating Income As Reported,-373926000.0,-1084455000.0,1608935000.0,3242295000.0,3829855000.0,
Diluted Average Shares,,503248387.0,500850195.0,500000000.0,,500283333.0
Basic Average Shares,,503248387.0,500850195.0,500000000.0,,500283333.0
Diluted EPS,,0.62,2.57,5.61,,5.88
Basic EPS,,0.62,2.57,5.61,,5.88
Diluted NI Availto Com Stockholders,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Net Income Common Stockholders,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Minority Interests,,,0.0,,0.0,0.0
Net Income Including Noncontrolling Interests,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Net Income Continuous Operations,194251000.0,312014000.0,1287185000.0,2806016000.0,2617930000.0,
Tax Provision,-178379000.0,205759000.0,-488613000.0,146808000.0,2060618000.0,
Pretax Income,15872000.0,517773000.0,798572000.0,2952824000.0,4678548000.0,
Other Non Operating Income Expenses,-855566000.0,428138000.0,-1891655000.0,,,-1748908000.0
Special Income Charges,,,,-1972929000.0,,
Other Special Charges,,,,1972929000.0,,
Net Non Operating Interest Income Expense,3865065000.0,823868000.0,1409273000.0,1573777000.0,2551810000.0,
Total Other Finance Cost,-580000.0,698000.0,766000.0,779000.0,1313000.0,
Interest Expense Non Operating,1682534000.0,66981000.0,30446000.0,17780000.0,1285903000.0,
Interest Income Non Operating,5547019000.0,891547000.0,1440485000.0,1592336000.0,3839026000.0,
Operating Income,-2985035000.0,-610665000.0,1774672000.0,3648131000.0,4265092000.0,
Operating Expense,5127330000.0,1949795000.0,1267140000.0,1755611000.0,3507844000.0,
Other Operating Expenses,-1047177000.0,488657000.0,703159000.0,954314000.0,432327000.0,
Depreciation And Amortization In Income Statement,332343000.0,282703000.0,218927000.0,67979000.0,420318000.0,
Depreciation Income Statement,332343000.0,282703000.0,218927000.0,67979000.0,420318000.0,
Research And Development,678619000.0,478547000.0,391849000.0,419586000.0,505018000.0,
Selling General And Administration,1417967000.0,1002439000.0,639617000.0,1069241000.0,1953379000.0,
Selling And Marketing Expense,834788000.0,498778000.0,241565000.0,570372000.0,1056547000.0,
General And Administrative Expense,583179000.0,503661000.0,398052000.0,498869000.0,896832000.0,
Gross Profit,2142295000.0,1339130000.0,3041812000.0,5403742000.0,7772936000.0,
Cost Of Revenue,33556782000.0,22236268000.0,22849194000.0,29867210000.0,52077300000.0,
Total Revenue,35699077000.0,23575398000.0,25891006000.0,35270952000.0,59850236000.0,
Operating Revenue,35699077000.0,23575398000.0,25891006000.0,35270952000.0,59850236000.0,
