,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-27260000.0,-1098336.948662,-12100000.0,-130620000.0,0.0,,
Tax Rate For Calcs,0.29,0.156905,0.22,0.21,0.26,,
Normalized EBITDA,2221000000.0,4365000000.0,4279000000.0,3873000000.0,3210000000.0,,
Total Unusual Items,-94000000.0,-7000000.0,-55000000.0,-622000000.0,0.0,,
Total Unusual Items Excluding Goodwill,-94000000.0,-7000000.0,-55000000.0,-622000000.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,409000000.0,2356000000.0,2167000000.0,1478000000.0,1390000000.0,,
Reconciled Depreciation,1447000000.0,1496000000.0,1348000000.0,1278000000.0,1246000000.0,,
Reconciled Cost Of Revenue,16182000000.0,21528000000.0,20185000000.0,20922000000.0,17605000000.0,,
EBITDA,2127000000.0,4358000000.0,4224000000.0,3251000000.0,3210000000.0,,
EBIT,680000000.0,2862000000.0,2876000000.0,1973000000.0,1964000000.0,,
Net Interest Income,309000000.0,346000000.0,337000000.0,262000000.0,274000000.0,,
Interest Expense,91000000.0,96000000.0,92000000.0,86000000.0,76000000.0,,
Interest Income,400000000.0,442000000.0,429000000.0,348000000.0,350000000.0,,
Normalized Income,475740000.0,2361901663.051338,2209900000.0,1969380000.0,1390000000.0,,
Net Income From Continuing And Discontinued Operation,409000000.0,2356000000.0,2167000000.0,1478000000.0,1390000000.0,,
Total Expenses,18842000000.0,24117000000.0,22410000000.0,23273000000.0,20130000000.0,,
Rent Expense Supplemental,239000000.0,242000000.0,247000000.0,245000000.0,269000000.0,,
Total Operating Income As Reported,399000000.0,1583000000.0,2717000000.0,1605000000.0,1171000000.0,,
Diluted Average Shares,3521000000.0,3517000000.0,3497000000.0,3481000000.0,3484000000.0,,
Basic Average Shares,3218000000.0,3213000000.0,3198000000.0,3191000000.0,3186000000.0,,
Diluted EPS,0.12,0.66,0.62,0.42,0.41,,
Basic EPS,0.13,0.72,0.68,0.46,0.45,,
Diluted NI Availto Com Stockholders,409000000.0,2314000000.0,2167000000.0,1478000000.0,1432000000.0,,
Average Dilution Earnings,,,,,,0.0,0.0
Net Income Common Stockholders,409000000.0,2314000000.0,2167000000.0,1478000000.0,1432000000.0,,
Otherunder Preferred Stock Dividend,0.0,,0.0,,-42000000.0,,2000000.0
Net Income,409000000.0,2356000000.0,2167000000.0,1478000000.0,1390000000.0,,
Minority Interests,-11000000.0,24000000.0,-16000000.0,-16000000.0,-15000000.0,,
Net Income Including Noncontrolling Interests,420000000.0,2332000000.0,2183000000.0,1494000000.0,1405000000.0,,
Net Income Continuous Operations,420000000.0,2332000000.0,2183000000.0,1494000000.0,1405000000.0,,
Tax Provision,169000000.0,434000000.0,601000000.0,393000000.0,483000000.0,,
Pretax Income,589000000.0,2766000000.0,2784000000.0,1887000000.0,1888000000.0,,
Other Income Expense,-213000000.0,830000000.0,-325000000.0,-602000000.0,443000000.0,,
Other Non Operating Income Expenses,-119000000.0,837000000.0,-270000000.0,20000000.0,443000000.0,,
Special Income Charges,-94000000.0,-7000000.0,-55000000.0,-622000000.0,0.0,,
Restructuring And Mergern Acquisition,94000000.0,7000000.0,55000000.0,622000000.0,0.0,,
Net Non Operating Interest Income Expense,309000000.0,346000000.0,337000000.0,262000000.0,274000000.0,,
Interest Expense Non Operating,91000000.0,96000000.0,92000000.0,86000000.0,76000000.0,,
Interest Income Non Operating,400000000.0,442000000.0,429000000.0,348000000.0,350000000.0,,
Operating Income,493000000.0,1590000000.0,2772000000.0,2227000000.0,1171000000.0,,
Operating Expense,2660000000.0,2589000000.0,2225000000.0,2351000000.0,2525000000.0,,
Research And Development,1409000000.0,1276000000.0,1039000000.0,1074000000.0,1151000000.0,,
Selling General And Administration,1251000000.0,1313000000.0,1186000000.0,1277000000.0,1374000000.0,,
Gross Profit,3153000000.0,4179000000.0,4997000000.0,4578000000.0,3696000000.0,,
Cost Of Revenue,16182000000.0,21528000000.0,20185000000.0,20922000000.0,17605000000.0,,
Total Revenue,19335000000.0,25707000000.0,25182000000.0,25500000000.0,21301000000.0,,
Operating Revenue,19335000000.0,25707000000.0,25182000000.0,25500000000.0,21301000000.0,,
