,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,3500000000.0,3500000000.0,3500000000.0,3500000000.0,3500000000.0,
Share Issued,3500000000.0,3500000000.0,3500000000.0,3500000000.0,3500000000.0,
Net Debt,58836134000.0,59465704000.0,56142966000.0,56590913000.0,50406727000.0,
Total Debt,70527567000.0,71656436000.0,67309371000.0,73779729000.0,65879457000.0,
Tangible Book Value,61898902000.0,68977369000.0,60790917000.0,52972490000.0,42940395000.0,
Invested Capital,212459954000.0,202623991000.0,186458464000.0,183999675000.0,162287950000.0,
Working Capital,-5124272000.0,3048580000.0,-1957689000.0,-18186047000.0,-8337222000.0,
Net Tangible Assets,61898902000.0,68977369000.0,60790917000.0,52972490000.0,42940395000.0,
Capital Lease Obligations,4159186000.0,4096417000.0,4151000000.0,3322581000.0,1881721000.0,
Common Stock Equity,146091573000.0,135063972000.0,123300093000.0,113542527000.0,98290214000.0,
Total Capitalization,187430711000.0,179197111000.0,161397878000.0,135197091000.0,129788339000.0,
Total Equity Gross Minority Interest,146091573000.0,135063972000.0,123300093000.0,113542527000.0,98290214000.0,
Stockholders Equity,146091573000.0,135063972000.0,123300093000.0,113542527000.0,98290214000.0,
Other Equity Interest,73151539000.0,65230068000.0,59413202000.0,49112477000.0,41984920000.0,
Fixed Assets Revaluation Reserve,7189197000.0,7881170000.0,7235772000.0,6674766000.0,5800935000.0,
Treasury Stock,21069000.0,19826000.0,18203000.0,16791000.0,14593000.0,
Retained Earnings,68696172000.0,62657481000.0,56508757000.0,53573661000.0,45653388000.0,
Capital Stock,3500000000.0,3500000000.0,3500000000.0,3500000000.0,3500000000.0,
Common Stock,3500000000.0,3500000000.0,3500000000.0,3500000000.0,3500000000.0,
Total Liabilities Net Minority Interest,124165325000.0,108201966000.0,101899586000.0,104644342000.0,96430664000.0,
Total Non Current Liabilities Net Minority Interest,59569909000.0,56621410000.0,50447969000.0,32256613000.0,39855675000.0,
Non Current Pension And Other Postretirement Benefit Plans,7195556000.0,6537958000.0,6180501000.0,4715349000.0,4057307000.0,
Tradeand Other Payables Non Current,159629000.0,93125000.0,102416000.0,96957000.0,95922000.0,
Non Current Deferred Revenue,2961397000.0,3164830000.0,3025179000.0,3095490000.0,2964683000.0,
Non Current Deferred Taxes Liabilities,5337181000.0,184462000.0,464909000.0,627274000.0,226386000.0,
Long Term Debt And Capital Lease Obligation,43905519000.0,46630408000.0,40664337000.0,23710916000.0,32500749000.0,
Long Term Capital Lease Obligation,2566381000.0,2497269000.0,2566552000.0,2056352000.0,1002624000.0,
Long Term Debt,41339138000.0,44133139000.0,38097785000.0,21654564000.0,31498125000.0,
Long Term Provisions,10627000.0,10627000.0,10627000.0,10627000.0,10628000.0,
Current Liabilities,64595416000.0,51580556000.0,51451617000.0,72387729000.0,56574989000.0,
Other Current Liabilities,720149000.0,882483000.0,665308000.0,603029000.0,484386000.0,
Current Deferred Taxes Liabilities,,,,,,91102000.0
Current Debt And Capital Lease Obligation,26622048000.0,25026028000.0,26645034000.0,50068813000.0,33378708000.0,
Current Capital Lease Obligation,1592805000.0,1599148000.0,1584448000.0,1266229000.0,879097000.0,
Current Debt,25029243000.0,23426880000.0,25060586000.0,48802584000.0,32499611000.0,
Pensionand Other Post Retirement Benefit Plans Current,2556395000.0,3679078000.0,3299894000.0,2657020000.0,1267909000.0,
Current Provisions,256428000.0,281192000.0,250878000.0,261572000.0,336749000.0,
Payables,24144579000.0,14310441000.0,13578452000.0,13155777000.0,16944085000.0,
Other Payable,3731188000.0,4928337000.0,4334547000.0,3986815000.0,2576270000.0,
Total Tax Payable,3460890000.0,115637000.0,75985000.0,7037000.0,1615756000.0,
Accounts Payable,16952501000.0,9266467000.0,9167920000.0,9161925000.0,12752059000.0,
Total Assets,270256898000.0,243265938000.0,225199679000.0,218186869000.0,194720878000.0,
Total Non Current Assets,210785754000.0,188636802000.0,175705751000.0,163985187000.0,146483111000.0,
Other Non Current Assets,65000.0,393000.0,,34000.0,116000.0,393000.0
Non Current Prepaid Assets,151940000.0,213865000.0,197941000.0,195933000.0,143866000.0,
Non Current Deferred Taxes Assets,3034531000.0,7420070000.0,9019051000.0,8488448000.0,8797176000.0,
Financial Assets,,,,,0.0,0.0
Investmentin Financial Assets,401643000.0,358439000.0,337351000.0,189716000.0,174914000.0,
Available For Sale Securities,401643000.0,358439000.0,337351000.0,189716000.0,174914000.0,
Investment Properties,145673000.0,137556000.0,126699000.0,111704000.0,102229000.0,
Goodwill And Other Intangible Assets,84192671000.0,66086603000.0,62509176000.0,60570037000.0,55349819000.0,
Other Intangible Assets,83490146000.0,65425527000.0,61902236000.0,60010155000.0,54863234000.0,
Goodwill,702525000.0,661076000.0,606940000.0,559882000.0,486585000.0,
Net PPE,122465733000.0,114199422000.0,103280359000.0,94145505000.0,81571115000.0,
Accumulated Depreciation,-607312319000.0,,,,-414462743000.0,
Gross PPE,729778052000.0,114199422000.0,103280359000.0,94145505000.0,496033858000.0,
Construction In Progress,11643981000.0,,,,3867316000.0,
Other Properties,626867055000.0,22593354000.0,18932936000.0,15206347000.0,429092763000.0,
Machinery Furniture Equipment,18791285000.0,51933508000.0,47857317000.0,45254977000.0,11403455000.0,
Buildings And Improvements,30585097000.0,3538526000.0,3314644000.0,3077822000.0,20956276000.0,
Land And Improvements,41890634000.0,36134034000.0,33175462000.0,30606359000.0,30714048000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,59471144000.0,54629136000.0,49493928000.0,54201682000.0,48237767000.0,
Other Current Assets,13157000.0,2201330000.0,2699915000.0,1593803000.0,22933000.0,
Hedging Assets Current,1176434000.0,1638290000.0,1327017000.0,4637138000.0,4576314000.0,
Assets Held For Sale Current,662171000.0,623102000.0,572075000.0,527721000.0,458634000.0,
Prepaid Assets,3069825000.0,1938257000.0,2329174000.0,2430496000.0,1851415000.0,
Inventory,2746982000.0,2995427000.0,3213149000.0,2308400000.0,1323732000.0,
Other Receivables,10571048000.0,7313409000.0,6145518000.0,5233672000.0,3845396000.0,
Taxes Receivable,1302800000.0,151844000.0,125346000.0,131271000.0,1398212000.0,
Accounts Receivable,21857559000.0,19972158000.0,16773422000.0,14730596000.0,13341841000.0,
Allowance For Doubtful Accounts Receivable,-3740401000.0,-3460918000.0,-3278596000.0,-3158432000.0,-3080022000.0,
Gross Accounts Receivable,25597960000.0,23433076000.0,20052018000.0,17889028000.0,16421863000.0,
Cash Cash Equivalents And Short Term Investments,18071168000.0,17795319000.0,16308312000.0,22608585000.0,21419290000.0,
Other Short Term Investments,10538921000.0,9701004000.0,9292907000.0,8742350000.0,7828281000.0,
Cash And Cash Equivalents,7532247000.0,8094315000.0,7015405000.0,13866235000.0,13591009000.0,
Cash Equivalents,5319659000.0,4630119000.0,5095175000.0,12104034000.0,12125296000.0,
Cash Financial,2212588000.0,3464196000.0,1920230000.0,1762201000.0,1465713000.0,
