,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-106344500.0,-45541000.0,-17283975.856431,-22807250.0,-38432000.0,
Tax Rate For Calcs,0.25,0.25,0.183706,0.25,0.25,
Normalized EBITDA,7962572000.0,22754983000.0,20881131000.0,19291886000.0,18538446000.0,
Total Unusual Items,-425378000.0,-182164000.0,-94085000.0,-91229000.0,-153728000.0,
Total Unusual Items Excluding Goodwill,-425378000.0,-182164000.0,-94085000.0,-91229000.0,-153728000.0,
Net Income From Continuing Operation Net Minority Interest,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Reconciled Depreciation,3255989000.0,12616667000.0,10950432000.0,9197026000.0,27382911000.0,
Reconciled Cost Of Revenue,27286072000.0,26548032000.0,22982356000.0,19869930000.0,44188673000.0,
EBITDA,7537194000.0,22572819000.0,20787046000.0,19200657000.0,18384718000.0,
EBIT,4281205000.0,9956152000.0,9836614000.0,10003631000.0,-8998193000.0,
Net Interest Income,10849900000.0,-6405455000.0,-6556447000.0,-5994691000.0,6449132000.0,
Interest Expense,-11483373000.0,6622097000.0,8097683000.0,6905670000.0,-11812944000.0,
Interest Income,627082000.0,216642000.0,1541236000.0,910979000.0,-4939206000.0,
Normalized Income,4853895500.0,1281186000.0,1496280024.143569,1111639750.0,11988527000.0,
Net Income From Continuing And Discontinued Operation,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Total Expenses,33859350000.0,35202190000.0,30506016000.0,27563422000.0,55701438000.0,
Total Operating Income As Reported,16894022000.0,5150956000.0,2470844000.0,460332000.0,-13511145000.0,
Diluted Average Shares,,3499122592.0,3499701677.0,3500000000.0,,3500041422.0
Basic Average Shares,,3499122592.0,3499701677.0,3500000000.0,,3500041422.0
Diluted EPS,,0.3271,0.4056,0.2981,,0.8691
Basic EPS,,0.3271,0.4056,0.2981,,0.8691
Diluted NI Availto Com Stockholders,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Net Income Common Stockholders,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Net Income Including Noncontrolling Interests,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Net Income Continuous Operations,4534862000.0,1144563000.0,1419479000.0,1043218000.0,11873231000.0,
Tax Provision,11229716000.0,2189492000.0,319452000.0,2054743000.0,-9058480000.0,
Pretax Income,15764578000.0,3334055000.0,1738931000.0,3097961000.0,2814751000.0,
Other Non Operating Income Expenses,5361313000.0,3946446000.0,5138727000.0,7679069000.0,,13534201000.0
Special Income Charges,-464844000.0,-182164000.0,-94085000.0,-91229000.0,-153728000.0,
Write Off,283218000.0,182164000.0,94085000.0,91229000.0,149594000.0,
Net Non Operating Interest Income Expense,10849900000.0,-6405455000.0,-6556447000.0,-5994691000.0,6449132000.0,
Interest Expense Non Operating,-11483373000.0,6622097000.0,8097683000.0,6905670000.0,-11812944000.0,
Interest Income Non Operating,627082000.0,216642000.0,1541236000.0,910979000.0,-4939206000.0,
Operating Income,18565871000.0,5150956000.0,2470844000.0,460332000.0,-11079064000.0,
Operating Expense,6573278000.0,8654158000.0,7523660000.0,7693492000.0,11512765000.0,
Other Operating Expenses,-2211132000.0,1100731000.0,486788000.0,917208000.0,-1356360000.0,
Research And Development,348614000.0,452719000.0,547245000.0,489782000.0,640594000.0,
Selling General And Administration,10518972000.0,7876830000.0,6894034000.0,7254309000.0,12431050000.0,
Selling And Marketing Expense,3805370000.0,3348897000.0,3194801000.0,3438328000.0,5420565000.0,
General And Administrative Expense,6713602000.0,4527933000.0,3699233000.0,3815981000.0,7010485000.0,
Gross Profit,25139149000.0,13805114000.0,9994504000.0,8153824000.0,433701000.0,
Cost Of Revenue,27286072000.0,26548032000.0,22982356000.0,19869930000.0,44188673000.0,
Total Revenue,52425221000.0,40353146000.0,32976860000.0,28023754000.0,44622374000.0,
Operating Revenue,52425221000.0,40353146000.0,32976860000.0,28023754000.0,44622374000.0,
