,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,0.0,,0.0,
Ordinary Shares Number,1926795598.0,1926795598.0,1926795598.0,1926795598.0,1926795598.0,
Share Issued,1926795598.0,1926795598.0,1926795598.0,1926795598.0,1926795598.0,
Total Debt,18988635000.0,45383870000.0,32802064000.0,38939791000.0,35326117000.0,
Tangible Book Value,276125433000.0,236121038000.0,227155499000.0,222705272000.0,196508036000.0,
Invested Capital,300612045000.0,286483231000.0,264558914000.0,265973643000.0,235567544000.0,
Working Capital,36822597000.0,40168328000.0,35447726000.0,47054133000.0,45878447000.0,
Net Tangible Assets,276125433000.0,236121038000.0,227155499000.0,222705272000.0,196508036000.0,
Capital Lease Obligations,591879000.0,609253000.0,553646000.0,535046000.0,521826000.0,
Common Stock Equity,282215289000.0,241708614000.0,232310496000.0,227568898000.0,200763253000.0,
Total Capitalization,291683723000.0,254173668000.0,234716177000.0,231474595000.0,205686139000.0,
Total Equity Gross Minority Interest,286247721000.0,245109097000.0,235292313000.0,230216956000.0,202940767000.0,
Minority Interest,4032432000.0,3400483000.0,2981817000.0,2648058000.0,2177514000.0,
Stockholders Equity,282215289000.0,241708614000.0,232310496000.0,227568898000.0,200763253000.0,
Other Equity Interest,36402965000.0,34141340000.0,31187874000.0,28620416000.0,24621222000.0,
Fixed Assets Revaluation Reserve,24714463000.0,155951000.0,143181000.0,132080000.0,,12578617000.0
Retained Earnings,203699298000.0,188018173000.0,188740545000.0,190803619000.0,165545500000.0,
Additional Paid In Capital,,,,,,1000699000.0
Capital Stock,1926796000.0,1926796000.0,1926796000.0,1926796000.0,1926796000.0,
Common Stock,1926796000.0,1926796000.0,1926796000.0,1926796000.0,1926796000.0,
Total Liabilities Net Minority Interest,167879806000.0,207477585000.0,182844424000.0,173267467000.0,163852906000.0,
Total Non Current Liabilities Net Minority Interest,19111355000.0,16766659000.0,6443225000.0,7976464000.0,8581932000.0,
Other Non Current Liabilities,13264000.0,13455000.0,12150000.0,11824000.0,11664000.0,
Derivative Product Liabilities,447667000.0,444070000.0,469447000.0,464979000.0,469247000.0,
Non Current Pension And Other Postretirement Benefit Plans,1664669000.0,1901620000.0,1832373000.0,2214175000.0,2074068000.0,
Non Current Deferred Revenue,38197000.0,39083000.0,40896000.0,38351000.0,13762000.0,
Non Current Deferred Taxes Liabilities,7012860000.0,1396981000.0,1216458000.0,888984000.0,655110000.0,
Long Term Debt And Capital Lease Obligation,9934698000.0,12971450000.0,2871901000.0,4358151000.0,5358081000.0,
Long Term Capital Lease Obligation,466264000.0,506396000.0,466220000.0,452454000.0,435195000.0,
Long Term Debt,9468434000.0,12465054000.0,2405681000.0,3905697000.0,4922886000.0,
Current Liabilities,148768451000.0,190710926000.0,176401199000.0,165291003000.0,155270974000.0,
