,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-364497846.296009,-531642672.710758,-659644500.0,-23085250.0,-234200500.0,
Tax Rate For Calcs,0.374237,0.314843,0.25,0.25,0.25,
Normalized EBITDA,16185164000.0,19299622000.0,15855311000.0,6925339000.0,25801935000.0,
Total Unusual Items,-973977000.0,-1688597000.0,-2638578000.0,-92341000.0,-936802000.0,
Total Unusual Items Excluding Goodwill,-973977000.0,-1688597000.0,-2638578000.0,-92341000.0,-936802000.0,
Net Income From Continuing Operation Net Minority Interest,4742426000.0,7744044000.0,5004075000.0,320345000.0,18305771000.0,
Reconciled Depreciation,2417703000.0,2631985000.0,2426580000.0,2139842000.0,5216990000.0,
Reconciled Cost Of Revenue,196350769000.0,177437979000.0,173283800000.0,152298317000.0,258701496000.0,
EBITDA,15211187000.0,17611025000.0,13216733000.0,6832998000.0,24865133000.0,
EBIT,12793484000.0,14979040000.0,10790153000.0,4693156000.0,19648143000.0,
Net Interest Income,4159556000.0,5564818000.0,4654710000.0,6087787000.0,5971617000.0,
Interest Expense,4538578000.0,3515889000.0,1798822000.0,2801059000.0,6192341000.0,
Interest Income,8753318000.0,9272801000.0,5557324000.0,8921417000.0,12443049000.0,
Normalized Income,5351905153.703991,8900998327.289242,6983008500.0,389600750.0,19008372500.0,
Net Income From Continuing And Discontinued Operation,4742426000.0,7744044000.0,5004075000.0,320345000.0,18305771000.0,
Total Expenses,202601446000.0,183748378000.0,180462647000.0,158233842000.0,269005892000.0,
Total Operating Income As Reported,7904953000.0,11583377000.0,10579447000.0,4260867000.0,27144313000.0,
Diluted Average Shares,,1926795598.0,1926795598.0,1926795598.0,,1926795598.0
Basic Average Shares,,1926795598.0,1926795598.0,1926795598.0,,1926795598.0
Diluted EPS,,4.02,2.6,0.17,,5.14
Basic EPS,,4.02,2.6,0.17,,5.14
Diluted NI Availto Com Stockholders,4742426000.0,7744044000.0,5004075000.0,320345000.0,18305771000.0,
Net Income Common Stockholders,4742426000.0,7744044000.0,5004075000.0,320345000.0,18305771000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,4742426000.0,7744044000.0,5004075000.0,320345000.0,18305771000.0,
Minority Interests,-423192000.0,-110016000.0,-67228000.0,-94898000.0,-16834000.0,
Net Income Including Noncontrolling Interests,5165618000.0,7854060000.0,5071303000.0,415243000.0,18322605000.0,
Net Income Continuous Operations,5165618000.0,7854060000.0,5071303000.0,415243000.0,18322605000.0,
Tax Provision,3089288000.0,3609091000.0,3920028000.0,1476854000.0,-4866803000.0,
Pretax Income,8254906000.0,11463151000.0,8991331000.0,1892097000.0,13455802000.0,
Other Non Operating Income Expenses,-1971499000.0,-3040788000.0,-2676554000.0,-5600727000.0,-11734224000.0,
Special Income Charges,-161139000.0,-86238000.0,-90694000.0,-84213000.0,-149156000.0,
Other Special Charges,150001000.0,86238000.0,90694000.0,84213000.0,149156000.0,
Net Non Operating Interest Income Expense,4159556000.0,5564818000.0,4654710000.0,6087787000.0,5971617000.0,
Total Other Finance Cost,55184000.0,192094000.0,-896208000.0,32571000.0,279091000.0,
Interest Expense Non Operating,4538578000.0,3515889000.0,1798822000.0,2801059000.0,6192341000.0,
Interest Income Non Operating,8753318000.0,9272801000.0,5557324000.0,8921417000.0,12443049000.0,
Operating Income,8452141000.0,12474272000.0,10253025000.0,7239200000.0,35153899000.0,
Operating Expense,6250677000.0,6310399000.0,7178847000.0,5935525000.0,10304396000.0,
Other Operating Expenses,820069000.0,770103000.0,698264000.0,486908000.0,837464000.0,
Depreciation And Amortization In Income Statement,-837926000.0,1009756000.0,1012732000.0,916628000.0,1660040000.0,
Depreciation Income Statement,-837926000.0,1009756000.0,1012732000.0,916628000.0,1660040000.0,
Research And Development,678000.0,115003000.0,80296000.0,99606000.0,177915000.0,
Selling General And Administration,4084555000.0,2411421000.0,3680323000.0,2685948000.0,5767130000.0,
Selling And Marketing Expense,-4071313000.0,1229145000.0,2390224000.0,1721711000.0,-1386181000.0,
General And Administrative Expense,8155868000.0,1182276000.0,1290099000.0,964237000.0,7153311000.0,
Gross Profit,14702818000.0,18784671000.0,17431872000.0,13174725000.0,45458295000.0,
Cost Of Revenue,196350769000.0,177437979000.0,173283800000.0,152298317000.0,258701496000.0,
Total Revenue,211053587000.0,196222650000.0,190715672000.0,165473042000.0,304159791000.0,
Operating Revenue,211053587000.0,196222650000.0,190715672000.0,165473042000.0,304159791000.0,
