,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,444853148.0,446348901.0,450513074.0,450713156.0,470685237.0,
Preferred Shares Number,138000000.0,118000000.0,118000000.0,118000000.0,118000000.0,
Ordinary Shares Number,7175895450.0,7174399697.0,7170235524.0,7170035442.0,7150063361.0,
Share Issued,7620748598.0,7620748598.0,7620748598.0,7620748598.0,7620748598.0,
Net Debt,120234000000.0,126426000000.0,127511000000.0,129244000000.0,130609000000.0,
Total Debt,140923000000.0,146343000000.0,147778000000.0,150055000000.0,154899000000.0,
Tangible Book Value,-91350000000.0,-93471000000.0,-95100000000.0,-96018000000.0,-97059000000.0,
Invested Capital,227904000000.0,231363000000.0,235914000000.0,237304000000.0,240628000000.0,
Working Capital,-15704000000.0,-10859000000.0,-12561000000.0,-14389000000.0,-14669000000.0,
Net Tangible Assets,-91350000000.0,-93471000000.0,-95100000000.0,-96018000000.0,-97059000000.0,
Capital Lease Obligations,17391000000.0,17331000000.0,17174000000.0,17291000000.0,17568000000.0,
Common Stock Equity,104372000000.0,102351000000.0,105310000000.0,104540000000.0,103297000000.0,
Total Capitalization,222815000000.0,228726000000.0,230665000000.0,230244000000.0,231151000000.0,
Total Equity Gross Minority Interest,120225000000.0,118260000000.0,121324000000.0,120595000000.0,119415000000.0,
Minority Interest,15853000000.0,15909000000.0,16014000000.0,16055000000.0,16118000000.0,
Stockholders Equity,104372000000.0,102351000000.0,105310000000.0,104540000000.0,103297000000.0,
Gains Losses Not Affecting Retained Earnings,795000000.0,648000000.0,1440000000.0,2167000000.0,2300000000.0,
Other Equity Adjustments,-604000000.0,648000000.0,1440000000.0,2167000000.0,-1029000000.0,
Foreign Currency Translation Adjustments,-1755000000.0,,,,-1337000000.0,
Minimum Pension Liabilities,3200000000.0,,,,4723000000.0,
Unrealized Gain Loss,-46000000.0,,,,-57000000.0,
Treasury Stock,15023000000.0,15087000000.0,15268000000.0,15277000000.0,16128000000.0,
Retained Earnings,1871000000.0,-185000000.0,2000000.0,-1570000000.0,-5015000000.0,
Additional Paid In Capital,109108000000.0,109354000000.0,111515000000.0,111599000000.0,114519000000.0,
Capital Stock,7621000000.0,7621000000.0,7621000000.0,7621000000.0,7621000000.0,
Common Stock,7621000000.0,7621000000.0,7621000000.0,7621000000.0,7621000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,274570000000.0,275459000000.0,276702000000.0,278833000000.0,287645000000.0,
Total Non Current Liabilities Net Minority Interest,227698000000.0,234801000000.0,234273000000.0,233999000000.0,236518000000.0,
Other Non Current Liabilities,23900000000.0,23884000000.0,24082000000.0,23441000000.0,23696000000.0,
Employee Benefits,9025000000.0,8750000000.0,8744000000.0,8743000000.0,8734000000.0,
Non Current Pension And Other Postretirement Benefit Plans,9025000000.0,8750000000.0,8744000000.0,8743000000.0,8734000000.0,
Non Current Deferred Liabilities,58939000000.0,58461000000.0,58918000000.0,58820000000.0,58666000000.0,
Non Current Deferred Taxes Liabilities,58939000000.0,58461000000.0,58918000000.0,58820000000.0,58666000000.0,
Long Term Debt And Capital Lease Obligation,135834000000.0,143706000000.0,142529000000.0,142995000000.0,145422000000.0,
Long Term Capital Lease Obligation,17391000000.0,17331000000.0,17174000000.0,17291000000.0,17568000000.0,
Long Term Debt,118443000000.0,126375000000.0,125355000000.0,125704000000.0,127854000000.0,
Current Liabilities,46872000000.0,40658000000.0,42429000000.0,44834000000.0,51127000000.0,
Current Deferred Liabilities,4099000000.0,4059000000.0,3981000000.0,3713000000.0,3778000000.0,
Current Deferred Revenue,4099000000.0,4059000000.0,3981000000.0,3713000000.0,3778000000.0,
Current Debt And Capital Lease Obligation,5089000000.0,2637000000.0,5249000000.0,7060000000.0,9477000000.0,
