,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-2373775.433308,-928620000.0,-107520000.0,-36570000.0,-71017029.972752,
Tax Rate For Calcs,0.169555,0.21,0.224,0.23,0.120572,
Normalized EBITDA,12357000000.0,12614000000.0,12342000000.0,11799000000.0,10017000000.0,
Total Unusual Items,-14000000.0,-4422000000.0,-480000000.0,-159000000.0,-589000000.0,
Total Unusual Items Excluding Goodwill,-14000000.0,-4422000000.0,-480000000.0,-159000000.0,-589000000.0,
Net Income From Continuing Operation Net Minority Interest,4080000000.0,-174000000.0,3597000000.0,3445000000.0,2188000000.0,
Reconciled Depreciation,5374000000.0,5087000000.0,5072000000.0,5047000000.0,4766000000.0,
Reconciled Cost Of Revenue,14195000000.0,11630000000.0,11442000000.0,11954000000.0,13911000000.0,
EBITDA,12343000000.0,8192000000.0,11862000000.0,11640000000.0,9428000000.0,
EBIT,6969000000.0,3105000000.0,6790000000.0,6593000000.0,4662000000.0,
Net Interest Income,-1661000000.0,-1675000000.0,-1699000000.0,-1724000000.0,-1726000000.0,
Interest Expense,1661000000.0,1675000000.0,1699000000.0,1724000000.0,1726000000.0,
Normalized Income,4091626224.566692,3319380000.0,3969480000.0,3567430000.0,2705982970.027248,
Net Income From Continuing And Discontinued Operation,4080000000.0,-174000000.0,3597000000.0,3445000000.0,2188000000.0,
Total Expenses,26958000000.0,23675000000.0,23557000000.0,24022000000.0,26162000000.0,
Total Operating Income As Reported,5326000000.0,2116000000.0,5760000000.0,5847000000.0,5271000000.0,
Diluted Average Shares,,7208000000.0,7198000000.0,7193000000.0,7191000000.0,7185000000.0
Basic Average Shares,,7202000000.0,7196000000.0,7192000000.0,7190000000.0,7185000000.0
Diluted EPS,,-0.03,0.49,0.47,0.3,0.48
Basic EPS,,-0.03,0.49,0.47,0.3,0.48
Diluted NI Availto Com Stockholders,4031000000.0,-226000000.0,3546000000.0,3395000000.0,2138000000.0,
Average Dilution Earnings,0.0,0.0,0.0,0.0,3000000.0,
Net Income Common Stockholders,4031000000.0,-226000000.0,3546000000.0,3395000000.0,2135000000.0,
Preferred Stock Dividends,49000000.0,52000000.0,51000000.0,50000000.0,53000000.0,
Net Income,4080000000.0,-174000000.0,3597000000.0,3445000000.0,2188000000.0,
Minority Interests,-328000000.0,-319000000.0,-352000000.0,-306000000.0,-394000000.0,
Net Income Including Noncontrolling Interests,4408000000.0,145000000.0,3949000000.0,3751000000.0,2582000000.0,
Net Income Discontinuous Operations,,,,,0.0,0.0
Net Income Continuous Operations,4408000000.0,145000000.0,3949000000.0,3751000000.0,2582000000.0,
Tax Provision,900000000.0,1285000000.0,1142000000.0,1118000000.0,354000000.0,
Pretax Income,5308000000.0,1430000000.0,5091000000.0,4869000000.0,2936000000.0,
Other Income Expense,1629000000.0,-3433000000.0,550000000.0,587000000.0,-1198000000.0,
Other Non Operating Income Expenses,569000000.0,717000000.0,682000000.0,451000000.0,-946000000.0,
Special Income Charges,-14000000.0,-4422000000.0,-480000000.0,-159000000.0,-589000000.0,
Write Off,14000000.0,4422000000.0,480000000.0,159000000.0,589000000.0,
Impairment Of Capital Assets,,,,,,604000000.0
Earnings From Equity Interest,1074000000.0,272000000.0,348000000.0,295000000.0,337000000.0,
Net Non Operating Interest Income Expense,-1661000000.0,-1675000000.0,-1699000000.0,-1724000000.0,-1726000000.0,
Interest Expense Non Operating,1661000000.0,1675000000.0,1699000000.0,1724000000.0,1726000000.0,
Operating Income,5340000000.0,6538000000.0,6240000000.0,6006000000.0,5860000000.0,
Operating Expense,12763000000.0,12045000000.0,12115000000.0,12068000000.0,12251000000.0,
Depreciation Amortization Depletion Income Statement,5374000000.0,5087000000.0,5072000000.0,5047000000.0,4766000000.0,
Depreciation And Amortization In Income Statement,5374000000.0,5087000000.0,5072000000.0,5047000000.0,4766000000.0,
Selling General And Administration,7389000000.0,6958000000.0,7043000000.0,7021000000.0,7485000000.0,
Gross Profit,18103000000.0,18583000000.0,18355000000.0,18074000000.0,18111000000.0,
Cost Of Revenue,14195000000.0,11630000000.0,11442000000.0,11954000000.0,13911000000.0,
Total Revenue,32298000000.0,30213000000.0,29797000000.0,30028000000.0,32022000000.0,
Operating Revenue,32298000000.0,30213000000.0,29797000000.0,30028000000.0,32022000000.0,
