,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Ordinary Shares Number,369276000.0,369276000.0,369276000.0,369276000.0,369276000.0,
Share Issued,369276000.0,369276000.0,369276000.0,369276000.0,369276000.0,
Net Debt,21699826000.0,24208521000.0,21019314000.0,21649538000.0,27292502000.0,
Total Debt,48009366000.0,47539604000.0,37746229000.0,34314388000.0,44126832000.0,
Tangible Book Value,27380437000.0,23084056000.0,20479044000.0,17821816000.0,21199915000.0,
Invested Capital,79290737000.0,74553266000.0,61872125000.0,55719361000.0,70069989000.0,
Working Capital,36665958000.0,41170022000.0,31419359000.0,26421712000.0,31098837000.0,
Net Tangible Assets,27380437000.0,23084056000.0,20479044000.0,17821816000.0,21199915000.0,
Capital Lease Obligations,1396000.0,1752000.0,2070000.0,2357000.0,3776000.0,
Common Stock Equity,31282767000.0,27015414000.0,24127966000.0,21407330000.0,25946933000.0,
Total Capitalization,64017712000.0,66901327000.0,55606341000.0,49282345000.0,62187731000.0,
Total Equity Gross Minority Interest,33476099000.0,29046912000.0,26009650000.0,23486439000.0,28589846000.0,
Minority Interest,2193332000.0,2031498000.0,1881684000.0,2079109000.0,2642913000.0,
Stockholders Equity,31282767000.0,27015414000.0,24127966000.0,21407330000.0,25946933000.0,
Other Equity Interest,4463155000.0,-14096772000.0,-11141593000.0,-11995446000.0,-14957485000.0,
Fixed Assets Revaluation Reserve,3419109000.0,2944385000.0,2751742000.0,2436955000.0,2932277000.0,
Retained Earnings,20189898000.0,32387333000.0,29303146000.0,25868573000.0,32660093000.0,
Additional Paid In Capital,4815119000.0,4531024000.0,4159973000.0,3837441000.0,4815119000.0,
Capital Stock,369276000.0,369276000.0,369276000.0,369276000.0,369276000.0,
Common Stock,369276000.0,369276000.0,369276000.0,369276000.0,369276000.0,
Total Liabilities Net Minority Interest,63961338000.0,60830871000.0,50242918000.0,46767219000.0,60332525000.0,
Total Non Current Liabilities Net Minority Interest,35516935000.0,43137967000.0,33776513000.0,29664747000.0,38029627000.0,
Non Current Pension And Other Postretirement Benefit Plans,1677003000.0,1540129000.0,1454045000.0,1281941000.0,1490659000.0,
Non Current Deferred Taxes Liabilities,1104987000.0,1711870000.0,843541000.0,506796000.0,296154000.0,
Long Term Debt And Capital Lease Obligation,32734945000.0,39885968000.0,31478927000.0,27876010000.0,36242814000.0,
Long Term Capital Lease Obligation,0.0,55000.0,552000.0,995000.0,2016000.0,
Long Term Debt,32734945000.0,39885913000.0,31478375000.0,27875015000.0,36240798000.0,
Current Liabilities,28444403000.0,17692904000.0,16466405000.0,17102472000.0,22302898000.0,
Other Current Liabilities,125520000.0,494270000.0,382374000.0,547914000.0,138922000.0,
Current Debt And Capital Lease Obligation,15274421000.0,7653636000.0,6267302000.0,6438378000.0,7884018000.0,
Current Capital Lease Obligation,1396000.0,1697000.0,1518000.0,1362000.0,1760000.0,
Current Debt,15273025000.0,7651939000.0,6265784000.0,6437016000.0,7882258000.0,
Pensionand Other Post Retirement Benefit Plans Current,858991000.0,636521000.0,500574000.0,532785000.0,753205000.0,
Current Provisions,593595000.0,1011257000.0,1132645000.0,1199525000.0,777587000.0,
Payables,11490926000.0,7818410000.0,8115460000.0,8281383000.0,12632400000.0,
Other Payable,532620000.0,511564000.0,414601000.0,670968000.0,419083000.0,
Total Tax Payable,689817000.0,274723000.0,447954000.0,663934000.0,1189914000.0,
Accounts Payable,10268489000.0,7032123000.0,7252905000.0,6946481000.0,11023403000.0,
Total Assets,97437437000.0,89877783000.0,76252568000.0,70253658000.0,88922371000.0,
Total Non Current Assets,32327076000.0,31014857000.0,28366804000.0,26729474000.0,35520636000.0,
Other Non Current Assets,,,,,,4023442000.0
Non Current Prepaid Assets,107126000.0,211090000.0,252456000.0,195314000.0,319761000.0,
Non Current Deferred Taxes Assets,154058000.0,756229000.0,407308000.0,245128000.0,1168117000.0,
Investmentin Financial Assets,4906454000.0,4677269000.0,4468086000.0,4396115000.0,5789065000.0,
Available For Sale Securities,4906454000.0,4677269000.0,4468086000.0,4396115000.0,5789065000.0,
Goodwill And Other Intangible Assets,3902330000.0,3931358000.0,3648922000.0,3585514000.0,4747018000.0,
