,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.117978,0.25,0.229321,0.316223,0.216296,
Normalized EBITDA,5177917000.0,2807592000.0,3328660000.0,5088375000.0,6205110000.0,
Net Income From Continuing Operation Net Minority Interest,2998242000.0,470480000.0,1260349000.0,2167307000.0,2719573000.0,
Reconciled Depreciation,596355000.0,448928000.0,398341000.0,377002000.0,826828000.0,
Reconciled Cost Of Revenue,18439423000.0,13265473000.0,10632082000.0,13335894000.0,18281557000.0,
EBITDA,5177917000.0,2807592000.0,3328660000.0,5088375000.0,6205110000.0,
EBIT,4581562000.0,2358664000.0,2930319000.0,4711373000.0,5378282000.0,
Net Interest Income,1258276000.0,-1182119000.0,-1332949000.0,-1158312000.0,-692722000.0,
Interest Expense,1039573000.0,1105794000.0,1198761000.0,1082878000.0,1774810000.0,
Interest Income,2652419000.0,1170000.0,1123000.0,1109000.0,1211610000.0,
Normalized Income,2998242000.0,470480000.0,1260349000.0,2167307000.0,2719573000.0,
Net Income From Continuing And Discontinued Operation,2998242000.0,470480000.0,1260349000.0,2167307000.0,2719573000.0,
Total Expenses,22642411000.0,15755033000.0,12739642000.0,15411629000.0,22041910000.0,
Rent Expense Supplemental,22276000.0,37070000.0,33853000.0,43780000.0,107891000.0,
Total Operating Income As Reported,4091458000.0,2441372000.0,2569687000.0,4189307000.0,3461591000.0,
Diluted Average Shares,,370456693.0,36927600.0,369276000.0,,369093470.0
Basic Average Shares,,370456693.0,36927600.0,369276000.0,,369093470.0
Diluted EPS,,1.27,34.1,5.87,,8.27
Basic EPS,,1.27,34.1,5.87,,8.27
Diluted NI Availto Com Stockholders,2998242000.0,470480000.0,1260349000.0,2167307000.0,2719573000.0,
Net Income Common Stockholders,2998242000.0,470480000.0,1260349000.0,2167307000.0,2719573000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,2998242000.0,470480000.0,1260349000.0,2167307000.0,2719573000.0,
Minority Interests,-125870000.0,-38492000.0,-74126000.0,-313776000.0,-104481000.0,
Net Income Including Noncontrolling Interests,3124112000.0,508972000.0,1334475000.0,2481083000.0,2824054000.0,
Net Income Continuous Operations,3124112000.0,508972000.0,1334475000.0,2481083000.0,2824054000.0,
Tax Provision,417877000.0,743898000.0,397083000.0,1147412000.0,779418000.0,
Pretax Income,3541989000.0,1252870000.0,1731558000.0,3628495000.0,3603472000.0,
Other Non Operating Income Expenses,635515000.0,630206000.0,853582000.0,1316188000.0,,3265006000.0
Net Non Operating Interest Income Expense,1258276000.0,-1182119000.0,-1332949000.0,-1158312000.0,-692722000.0,
Total Other Finance Cost,354570000.0,77495000.0,135311000.0,76543000.0,129522000.0,
Interest Expense Non Operating,1039573000.0,1105794000.0,1198761000.0,1082878000.0,1774810000.0,
Interest Income Non Operating,2652419000.0,1170000.0,1123000.0,1109000.0,1211610000.0,
Operating Income,3440612000.0,2441372000.0,2569687000.0,4189307000.0,1762043000.0,
Operating Expense,4202988000.0,2489560000.0,2107560000.0,2075735000.0,3760353000.0,
Other Operating Expenses,-607071000.0,437194000.0,184400000.0,1009808000.0,-197823000.0,
Depreciation And Amortization In Income Statement,20023000.0,11931000.0,16791000.0,13036000.0,26097000.0,
Depreciation Income Statement,20023000.0,11931000.0,16791000.0,13036000.0,26097000.0,
Research And Development,169335000.0,79388000.0,20173000.0,77614000.0,106124000.0,
Selling General And Administration,2471939000.0,1436889000.0,1575860000.0,1804271000.0,1765600000.0,
Selling And Marketing Expense,2290549000.0,1325828000.0,1465762000.0,1710058000.0,1638288000.0,
General And Administrative Expense,181390000.0,111061000.0,110098000.0,94213000.0,127312000.0,
Rent And Landing Fees,22276000.0,37070000.0,33853000.0,43780000.0,107891000.0,
Gross Profit,7643600000.0,4930932000.0,4677247000.0,6265042000.0,5522396000.0,
Cost Of Revenue,18439423000.0,13265473000.0,10632082000.0,13335894000.0,18281557000.0,
Total Revenue,26083023000.0,18196405000.0,15309329000.0,19600936000.0,23803953000.0,
Operating Revenue,26083023000.0,18196405000.0,15309329000.0,19600936000.0,23803953000.0,
