,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Ordinary Shares Number,915000000.0,923000000.0,921000000.0,920000000.0,924000000.0
Share Issued,915000000.0,923000000.0,921000000.0,920000000.0,924000000.0
Net Debt,51592000000.0,45610000000.0,48812000000.0,45223000000.0,37110000000.0
Total Debt,76904000000.0,78010000000.0,75098000000.0,73637000000.0,62537000000.0
Tangible Book Value,-37344000000.0,-35037000000.0,-30806000000.0,-34519000000.0,-30170000000.0
Invested Capital,169562000000.0,172545000000.0,164457000000.0,160325000000.0,151293000000.0
Working Capital,-17990000000.0,-9307000000.0,-12632000000.0,-15489000000.0,-20617000000.0
Net Tangible Assets,-37344000000.0,-35037000000.0,-30806000000.0,-34519000000.0,-30170000000.0
Common Stock Equity,92658000000.0,94535000000.0,89359000000.0,86688000000.0,88756000000.0
Total Capitalization,165017000000.0,168636000000.0,153086000000.0,150538000000.0,147019000000.0
Total Equity Gross Minority Interest,102591000000.0,104455000000.0,99234000000.0,96918000000.0,98919000000.0
Minority Interest,9933000000.0,9920000000.0,9875000000.0,10230000000.0,10163000000.0
Stockholders Equity,92658000000.0,94535000000.0,89359000000.0,86688000000.0,88756000000.0
Gains Losses Not Affecting Retained Earnings,-3387000000.0,-2453000000.0,-3423000000.0,-3439000000.0,-7027000000.0
Other Equity Adjustments,-3387000000.0,-2453000000.0,-3423000000.0,-3439000000.0,-7027000000.0
Retained Earnings,96036000000.0,96518000000.0,92400000000.0,90118000000.0,95774000000.0
Additional Paid In Capital,,461000000.0,373000000.0,,
Capital Stock,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,195687000000.0,194854000000.0,186822000000.0,187292000000.0,174801000000.0
Total Non Current Liabilities Net Minority Interest,91918000000.0,93289000000.0,82152000000.0,82861000000.0,75747000000.0
Other Non Current Liabilities,15939000000.0,15174000000.0,14794000000.0,14844000000.0,14463000000.0
Non Current Deferred Liabilities,3620000000.0,4014000000.0,3631000000.0,4167000000.0,3021000000.0
Non Current Deferred Taxes Liabilities,3620000000.0,4014000000.0,3631000000.0,4167000000.0,3021000000.0
Long Term Debt And Capital Lease Obligation,72359000000.0,74101000000.0,63727000000.0,63850000000.0,58263000000.0
Long Term Debt,72359000000.0,74101000000.0,63727000000.0,63850000000.0,58263000000.0
Current Liabilities,103769000000.0,101565000000.0,104670000000.0,104431000000.0,99054000000.0
Other Current Liabilities,27346000000.0,27305000000.0,27294000000.0,26668000000.0,27072000000.0
Current Deferred Liabilities,3317000000.0,3320000000.0,2572000000.0,3206000000.0,3355000000.0
Current Deferred Revenue,3317000000.0,3320000000.0,2572000000.0,3206000000.0,3355000000.0
Current Debt And Capital Lease Obligation,4545000000.0,3909000000.0,11371000000.0,9787000000.0,4274000000.0
Current Debt,4545000000.0,3909000000.0,11371000000.0,9787000000.0,4274000000.0
Payables And Accrued Expenses,68561000000.0,67031000000.0,63433000000.0,64770000000.0,64353000000.0
Payables,68561000000.0,67031000000.0,63433000000.0,64770000000.0,64353000000.0
Accounts Payable,68561000000.0,67031000000.0,63433000000.0,64770000000.0,64353000000.0
Total Assets,298278000000.0,299309000000.0,286056000000.0,284210000000.0,273720000000.0
Total Non Current Assets,212499000000.0,207051000000.0,194018000000.0,195268000000.0,195283000000.0
Other Non Current Assets,19590000000.0,18651000000.0,17939000000.0,17704000000.0,17298000000.0
Investments And Advances,52354000000.0,48689000000.0,46113000000.0,45928000000.0,47609000000.0
Goodwill And Other Intangible Assets,130002000000.0,129572000000.0,120165000000.0,121207000000.0,118926000000.0
Other Intangible Assets,23268000000.0,23594000000.0,14729000000.0,15543000000.0,15194000000.0
Goodwill,106734000000.0,105978000000.0,105436000000.0,105664000000.0,103732000000.0
Net PPE,10553000000.0,10139000000.0,9801000000.0,10429000000.0,11450000000.0
Accumulated Depreciation,-6971000000.0,,,,-7039000000.0
Gross PPE,17524000000.0,,,,18489000000.0
Machinery Furniture Equipment,12945000000.0,,,,12204000000.0
Buildings And Improvements,4215000000.0,,,,5573000000.0
Land And Improvements,364000000.0,,,,712000000.0
Properties,0.0,,,,0.0
Current Assets,85779000000.0,92258000000.0,92038000000.0,88942000000.0,78437000000.0
Other Current Assets,8212000000.0,7639000000.0,10838000000.0,9751000000.0,9839000000.0
Receivables,48454000000.0,47485000000.0,49877000000.0,46481000000.0,38970000000.0
Other Receivables,26089000000.0,27461000000.0,26762000000.0,19284000000.0,17694000000.0
Accounts Receivable,22365000000.0,20024000000.0,23115000000.0,27197000000.0,21276000000.0
Allowance For Doubtful Accounts Receivable,-985000000.0,,,,-1000000000.0
Gross Accounts Receivable,23350000000.0,,,,22276000000.0
Cash Cash Equivalents And Short Term Investments,29113000000.0,37134000000.0,31323000000.0,32710000000.0,29628000000.0
Other Short Term Investments,3801000000.0,4734000000.0,5037000000.0,4296000000.0,4201000000.0
Cash And Cash Equivalents,25312000000.0,32400000000.0,26286000000.0,28414000000.0,25427000000.0
