,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,3113974.377853,-3560000.0,-269500000.0,-1488060000.0,0.0,
Tax Rate For Calcs,0.148284,0.178,0.22,0.21,0.17262,
Normalized EBITDA,8814000000.0,9749000000.0,8895000000.0,8928000000.0,8663000000.0,
Total Unusual Items,21000000.0,-20000000.0,-1225000000.0,-7086000000.0,1179000000.0,
Total Unusual Items Excluding Goodwill,21000000.0,-20000000.0,-1225000000.0,-7086000000.0,1179000000.0,
Net Income From Continuing Operation Net Minority Interest,5543000000.0,6055000000.0,4216000000.0,-1409000000.0,5455000000.0,
Reconciled Depreciation,1041000000.0,1041000000.0,1020000000.0,997000000.0,974000000.0,
Reconciled Cost Of Revenue,79499000000.0,77791000000.0,76798000000.0,76791000000.0,72425000000.0,
EBITDA,8835000000.0,9729000000.0,7670000000.0,1842000000.0,8663000000.0,
EBIT,7794000000.0,8688000000.0,6650000000.0,845000000.0,7689000000.0,
Net Interest Income,-1003000000.0,-1074000000.0,-985000000.0,-844000000.0,-830000000.0,
Interest Expense,1003000000.0,1074000000.0,985000000.0,844000000.0,830000000.0,
Normalized Income,5525113974.377853,6071440000.0,5171500000.0,4188940000.0,5455000000.0,
Net Income From Continuing And Discontinued Operation,5543000000.0,6055000000.0,4216000000.0,-1409000000.0,5455000000.0,
Total Expenses,93034000000.0,92112000000.0,90980000000.0,91865000000.0,86738000000.0,
Total Operating Income As Reported,7773000000.0,8708000000.0,7875000000.0,7931000000.0,7689000000.0,
Diluted Average Shares,927000000.0,930107527.0,928000000.0,922000000.0,935000000.0,
Basic Average Shares,915000000.0,930107527.0,921000000.0,920000000.0,924000000.0,
Diluted EPS,5.98,6.51,4.54,-1.531522,5.83,
Basic EPS,6.057923,6.51,4.577633,-1.531522,5.90368,
Diluted NI Availto Com Stockholders,5543000000.0,6055000000.0,4216000000.0,-1409000000.0,5455000000.0,
Net Income Common Stockholders,5543000000.0,6055000000.0,4216000000.0,-1409000000.0,5455000000.0,
Net Income,5543000000.0,6055000000.0,4216000000.0,-1409000000.0,5455000000.0,
Minority Interests,-241000000.0,-203000000.0,-205000000.0,-188000000.0,-220000000.0,
Net Income Including Noncontrolling Interests,5784000000.0,6258000000.0,4421000000.0,-1221000000.0,5675000000.0,
Net Income Continuous Operations,5784000000.0,6258000000.0,4421000000.0,-1221000000.0,5675000000.0,
Tax Provision,1007000000.0,1356000000.0,1244000000.0,1222000000.0,1184000000.0,
Pretax Income,6791000000.0,7614000000.0,5665000000.0,1000000.0,6859000000.0,
Other Income Expense,21000000.0,-20000000.0,-1225000000.0,-7086000000.0,1179000000.0,
Special Income Charges,21000000.0,-20000000.0,-1225000000.0,-7086000000.0,,0.0
Gain On Sale Of Business,21000000.0,-20000000.0,-1225000000.0,-7086000000.0,,0.0
Gain On Sale Of Security,,1643000000.0,997000000.0,1011000000.0,1179000000.0,997000000.0
Net Non Operating Interest Income Expense,-1003000000.0,-1074000000.0,-985000000.0,-844000000.0,-830000000.0,
Interest Expense Non Operating,1003000000.0,1074000000.0,985000000.0,844000000.0,830000000.0,
Operating Income,7773000000.0,8708000000.0,7875000000.0,7931000000.0,7689000000.0,
Operating Expense,13535000000.0,14321000000.0,14182000000.0,15074000000.0,14313000000.0,
Other Operating Expenses,12494000000.0,13280000000.0,13162000000.0,14077000000.0,13339000000.0,
Depreciation Amortization Depletion Income Statement,1041000000.0,1041000000.0,1020000000.0,997000000.0,974000000.0,
Depreciation And Amortization In Income Statement,1041000000.0,1041000000.0,1020000000.0,997000000.0,974000000.0,
Gross Profit,21308000000.0,23029000000.0,22057000000.0,23005000000.0,22002000000.0,
Cost Of Revenue,79499000000.0,77791000000.0,76798000000.0,76791000000.0,72425000000.0,
Total Revenue,100807000000.0,100820000000.0,98855000000.0,99796000000.0,94427000000.0,
Operating Revenue,100807000000.0,100820000000.0,98855000000.0,99796000000.0,94427000000.0,
