,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,0.0,0.0,0.0,
Ordinary Shares Number,335456275.0,335456275.0,335456275.0,335456275.0,335456275.0,
Share Issued,335456275.0,335456275.0,335456275.0,335456275.0,335456275.0,
Net Debt,57630615000.0,49644453000.0,44225583000.0,34225705000.0,37869734000.0,
Total Debt,61586167000.0,55348446000.0,48872977000.0,36956263000.0,42475976000.0,
Tangible Book Value,37965142000.0,37270619000.0,38018993000.0,36015747000.0,46389573000.0,
Invested Capital,105085216000.0,98409200000.0,91652563000.0,76584167000.0,93222991000.0,
Working Capital,-39961272000.0,-30097016000.0,-23800864000.0,-35004402000.0,-43360990000.0,
Net Tangible Assets,37965142000.0,37270619000.0,38018993000.0,36015747000.0,46389573000.0,
Capital Lease Obligations,1235543000.0,956560000.0,969300000.0,1023989000.0,1293239000.0,
Common Stock Equity,44734592000.0,44017314000.0,43748886000.0,40651893000.0,52040254000.0,
Total Capitalization,62857495000.0,61162728000.0,60040411000.0,42458126000.0,54736494000.0,
Total Equity Gross Minority Interest,52407171000.0,50478051000.0,49820051000.0,46467084000.0,58993468000.0,
Minority Interest,7672579000.0,6460737000.0,6071165000.0,5815191000.0,6953214000.0,
Stockholders Equity,44734592000.0,44017314000.0,43748886000.0,40651893000.0,52040254000.0,
Other Equity Interest,22548527000.0,21199309000.0,19434932000.0,17902087000.0,22548527000.0,
Fixed Assets Revaluation Reserve,16805105000.0,12188309000.0,11221812000.0,10370323000.0,13053398000.0,
Retained Earnings,3031223000.0,8936102000.0,10934997000.0,10955251000.0,13976380000.0,
Capital Stock,335456000.0,335456000.0,335456000.0,335456000.0,335456000.0,
Common Stock,335456000.0,335456000.0,335456000.0,335456000.0,335456000.0,
Total Liabilities Net Minority Interest,122086752000.0,117003521000.0,106260816000.0,93373704000.0,121741079000.0,
Total Non Current Liabilities Net Minority Interest,26186918000.0,23912511000.0,22173351000.0,7546748000.0,8926985000.0,
Other Non Current Liabilities,11850000.0,5991000.0,12802000.0,6046000.0,18533000.0,
Non Current Pension And Other Postretirement Benefit Plans,2189507000.0,1767401000.0,1707150000.0,1630800000.0,2282417000.0,
Tradeand Other Payables Non Current,122946000.0,173673000.0,160615000.0,191325000.0,257246000.0,
Non Current Deferred Taxes Liabilities,4023265000.0,3322790000.0,2570164000.0,2392933000.0,1837582000.0,
Long Term Debt And Capital Lease Obligation,19034203000.0,17837859000.0,16998842000.0,2548457000.0,3656019000.0,
Long Term Capital Lease Obligation,911300000.0,692445000.0,707317000.0,742224000.0,959779000.0,
Long Term Debt,18122903000.0,17145414000.0,16291525000.0,1806233000.0,2696240000.0,
Long Term Provisions,600155000.0,548576000.0,468023000.0,529420000.0,504113000.0,
Current Liabilities,95899834000.0,93091010000.0,84087465000.0,85826956000.0,112814094000.0,
Other Current Liabilities,1419491000.0,1174103000.0,895830000.0,1307877000.0,1692247000.0,
Current Debt And Capital Lease Obligation,42551964000.0,37510587000.0,31874135000.0,34407806000.0,38819957000.0,
Current Capital Lease Obligation,324243000.0,264115000.0,261983000.0,281765000.0,333460000.0,
Current Debt,42227721000.0,37246472000.0,31612152000.0,34126041000.0,38486497000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,511160000.0,550902000.0
Current Provisions,3689604000.0,3467487000.0,3626371000.0,3232483000.0,4291163000.0,
Payables,46348223000.0,47045151000.0,44163996000.0,43493005000.0,63738221000.0,
Other Payable,1406493000.0,1273748000.0,1573730000.0,1617258000.0,1337841000.0,
Total Tax Payable,1322668000.0,976851000.0,1014109000.0,1100776000.0,1810712000.0,
Accounts Payable,43619062000.0,44794552000.0,41576157000.0,40774971000.0,60589668000.0,
Total Assets,174493923000.0,167481572000.0,156080867000.0,139840788000.0,180734547000.0,
Total Non Current Assets,118555361000.0,104487578000.0,95794266000.0,89018234000.0,111281443000.0,
Non Current Prepaid Assets,1604735000.0,2957649000.0,3329128000.0,2554330000.0,3379798000.0,
Non Current Deferred Taxes Assets,,,,,,1887790000.0
Investmentin Financial Assets,508695000.0,286177000.0,298932000.0,304254000.0,417626000.0,
Available For Sale Securities,,,,,,52411000.0
Long Term Equity Investment,5055946000.0,6371052000.0,6479140000.0,6677836000.0,8456656000.0,
Investmentsin Joint Venturesat Cost,5055946000.0,6371052000.0,6479140000.0,6677836000.0,8456656000.0,
Investmentsin Associatesat Cost,,,6479140000.0,6677836000.0,5857271000.0,1344541000.0
Investmentsin Subsidiariesat Cost,,,,,0.0,56273000.0
Investment Properties,1598625000.0,,,,0.0,
Goodwill And Other Intangible Assets,6769450000.0,6746695000.0,5729893000.0,4636146000.0,5650681000.0,
Other Intangible Assets,6769450000.0,6746695000.0,5729893000.0,4636146000.0,5650681000.0,
Goodwill,,,,,,196568000.0
Net PPE,59052863000.0,49335757000.0,45185537000.0,41575572000.0,51792267000.0,
Accumulated Depreciation,-50169379000.0,-48054330000.0,-43784700000.0,-39586283000.0,-48398755000.0,
Gross PPE,109222242000.0,97390087000.0,88970237000.0,81161855000.0,100191022000.0,
Construction In Progress,510032000.0,4009637000.0,3516591000.0,2859626000.0,2563531000.0,
Other Properties,753377000.0,684190000.0,622126000.0,591602000.0,697985000.0,
Machinery Furniture Equipment,58479477000.0,54537508000.0,49516366000.0,45218700000.0,56628180000.0,
Buildings And Improvements,23086773000.0,18970193000.0,17711280000.0,16248348000.0,19897676000.0,
Land And Improvements,26392583000.0,19188559000.0,17603874000.0,16243579000.0,20403650000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,55938562000.0,62993994000.0,60286601000.0,50822554000.0,69453104000.0,
Other Current Assets,387483000.0,55214000.0,73673000.0,21214000.0,388883000.0,
Hedging Assets Current,554155000.0,68342000.0,314848000.0,77779000.0,270141000.0,
Restricted Cash,22000.0,22000.0,22000.0,22000.0,32000.0,
Prepaid Assets,1825491000.0,1487640000.0,1690868000.0,1124316000.0,2530284000.0,
Inventory,27467413000.0,32111904000.0,31427268000.0,26691386000.0,33944827000.0,
Inventories Adjustments Allowances,-362817000.0,-536536000.0,-439879000.0,-365729000.0,-510620000.0,
Other Inventories,47484000.0,74790000.0,49218000.0,59706000.0,44284000.0,
Finished Goods,13354604000.0,16147570000.0,13317282000.0,13148002000.0,16238966000.0,
Work In Process,693245000.0,663711000.0,896804000.0,622665000.0,833374000.0,
Raw Materials,13734897000.0,15762369000.0,17603843000.0,13226742000.0,17338823000.0,
Other Receivables,2415541000.0,2511122000.0,2169326000.0,2201657000.0,3129124000.0,
Taxes Receivable,265860000.0,271787000.0,112319000.0,214429000.0,88981000.0,
Accounts Receivable,20210352000.0,21683858000.0,20775635000.0,18743933000.0,25736818000.0,
Allowance For Doubtful Accounts Receivable,-717216000.0,-157492000.0,-284893000.0,-310227000.0,-387707000.0,
Gross Accounts Receivable,20927568000.0,21841350000.0,21060528000.0,19054160000.0,26124525000.0,
Cash Cash Equivalents And Short Term Investments,2812245000.0,4804105000.0,3722642000.0,1747818000.0,3364014000.0,
Other Short Term Investments,92236000.0,56672000.0,44548000.0,41249000.0,51011000.0,
Cash And Cash Equivalents,2720009000.0,4747433000.0,3678094000.0,1706569000.0,3313003000.0,
Cash Equivalents,351206000.0,372117000.0,48832000.0,124311000.0,290668000.0,
Cash Financial,2368803000.0,4375316000.0,3629262000.0,1582258000.0,3022335000.0,
