,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-53971602.136597,-112948750.0,-257363750.0,-97154250.0,-145115500.0,
Tax Rate For Calcs,0.153252,0.25,0.25,0.25,0.25,
Normalized EBITDA,-2684965000.0,2271242000.0,4100042000.0,4883420000.0,9956397000.0,
Total Unusual Items,-352175000.0,-451795000.0,-1029455000.0,-388617000.0,-580462000.0,
Total Unusual Items Excluding Goodwill,-352175000.0,-451795000.0,-1029455000.0,-388617000.0,-580462000.0,
Net Income From Continuing Operation Net Minority Interest,-6710098000.0,-3008680000.0,-961154000.0,-215988000.0,980220000.0,
Reconciled Depreciation,1084746000.0,1067823000.0,1348156000.0,1562707000.0,3160606000.0,
Reconciled Cost Of Revenue,37316045000.0,25294218000.0,23958129000.0,20514155000.0,42945759000.0,
EBITDA,-3037140000.0,1819447000.0,3070587000.0,4494803000.0,9375935000.0,
EBIT,-4121886000.0,751624000.0,1722431000.0,2932096000.0,6215329000.0,
Net Interest Income,-3147572000.0,-2340028000.0,-1881119000.0,-1397243000.0,-2749736000.0,
Interest Expense,3806795000.0,2949678000.0,2523718000.0,2140912000.0,3515520000.0,
Interest Income,1505595000.0,1206310000.0,1121970000.0,1141404000.0,1517578000.0,
Normalized Income,-6411894602.136597,-2669833750.0,-189062750.0,75474750.0,1415566500.0,
Net Income From Continuing And Discontinued Operation,-6710098000.0,-3008680000.0,-961154000.0,-215988000.0,980220000.0,
Total Expenses,46742457000.0,31467726000.0,29693196000.0,26010893000.0,51170143000.0,
Rent Expense Supplemental,,,,35018000.0,,
Total Operating Income As Reported,-3732789000.0,534818000.0,1016942000.0,-1943306000.0,-8840140000.0,
Diluted Average Shares,,335415831.0,334896864.0,335456000.0,,335623708.0
Basic Average Shares,,335415831.0,334896864.0,335456000.0,,335623708.0
Diluted EPS,,-8.97,-2.87,-0.64,,3.29
Basic EPS,,-8.97,-2.87,-0.64,,3.29
Diluted NI Availto Com Stockholders,-6710098000.0,-3008680000.0,-961154000.0,-215988000.0,980220000.0,
Net Income Common Stockholders,-6710098000.0,-3008680000.0,-961154000.0,-215988000.0,980220000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-6710098000.0,-3008680000.0,-961154000.0,-215988000.0,980220000.0,
Minority Interests,3495000.0,94763000.0,-138000.0,-230054000.0,-78053000.0,
Net Income Including Noncontrolling Interests,-6713593000.0,-3103443000.0,-961016000.0,14066000.0,1058273000.0,
Net Income Continuous Operations,-6713593000.0,-3103443000.0,-961016000.0,14066000.0,1058273000.0,
Tax Provision,-1215088000.0,905389000.0,159729000.0,777118000.0,1641536000.0,
Pretax Income,-7928681000.0,-2198054000.0,-801287000.0,791184000.0,2699809000.0,
Other Non Operating Income Expenses,633772000.0,1000929000.0,1696030000.0,3701394000.0,,5265337000.0
Net Non Operating Interest Income Expense,-3147572000.0,-2340028000.0,-1881119000.0,-1397243000.0,-2749736000.0,
Total Other Finance Cost,846372000.0,596660000.0,479371000.0,397735000.0,751794000.0,
Interest Expense Non Operating,3806795000.0,2949678000.0,2523718000.0,2140912000.0,3515520000.0,
Interest Income Non Operating,1505595000.0,1206310000.0,1121970000.0,1141404000.0,1517578000.0,
Operating Income,-3158944000.0,2067310000.0,1680119000.0,621772000.0,-756328000.0,
Operating Expense,9426412000.0,6173508000.0,5735067000.0,5496738000.0,8224384000.0,
Other Operating Expenses,2377199000.0,777338000.0,721780000.0,528721000.0,-115260000.0,
Depreciation And Amortization In Income Statement,,,,436468000.0,447041000.0,25905000.0
Depreciation Income Statement,,,,436468000.0,447041000.0,25905000.0
Research And Development,486446000.0,504572000.0,499660000.0,607616000.0,1235679000.0,
Selling General And Administration,162779000.0,5609220000.0,4877664000.0,3160120000.0,5083133000.0,
Selling And Marketing Expense,869722000.0,4583715000.0,4063033000.0,2794157000.0,4604836000.0,
General And Administrative Expense,-706943000.0,1025505000.0,814631000.0,365963000.0,478297000.0,
Rent And Landing Fees,,,,35018000.0,,
Gross Profit,6267468000.0,8240818000.0,7415186000.0,6118510000.0,7468056000.0,
Cost Of Revenue,37316045000.0,25294218000.0,23958129000.0,20514155000.0,42945759000.0,
Total Revenue,43583513000.0,33535036000.0,31373315000.0,26632665000.0,50413815000.0,
Operating Revenue,43583513000.0,33535036000.0,31373315000.0,26632665000.0,50413815000.0,
