,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,81753488.0,81807376.0,81913650.0,82178752.0,87172997.0
Ordinary Shares Number,4209680158.0,4209626270.0,4209519996.0,4209254894.0,4204260649.0
Share Issued,4291433646.0,4291433646.0,4291433646.0,4291433646.0,4291433646.0
Net Debt,139820000000.0,145654000000.0,146845000000.0,149333000000.0,148609000000.0
Total Debt,168357000000.0,174200000000.0,172980000000.0,175634000000.0,174942000000.0
Tangible Book Value,-91346000000.0,-93673000000.0,-93641000000.0,-95454000000.0,-97137000000.0
Invested Capital,243251000000.0,246967000000.0,245449000000.0,246032000000.0,243104000000.0
Working Capital,-24248000000.0,-21175000000.0,-22750000000.0,-15674000000.0,-16409000000.0
Net Tangible Assets,-91346000000.0,-93673000000.0,-93641000000.0,-95454000000.0,-97137000000.0
Capital Lease Obligations,24343000000.0,23559000000.0,23703000000.0,23936000000.0,24268000000.0
Common Stock Equity,99237000000.0,96326000000.0,96172000000.0,94334000000.0,92430000000.0
Total Capitalization,220618000000.0,225204000000.0,222194000000.0,230438000000.0,230131000000.0
Total Equity Gross Minority Interest,100575000000.0,97668000000.0,97539000000.0,95726000000.0,93799000000.0
Minority Interest,1338000000.0,1342000000.0,1367000000.0,1392000000.0,1369000000.0
Stockholders Equity,99237000000.0,96326000000.0,96172000000.0,94334000000.0,92430000000.0
Other Equity Interest,738000000.0,710000000.0,577000000.0,421000000.0,656000000.0
Gains Losses Not Affecting Retained Earnings,-923000000.0,-1665000000.0,-1287000000.0,-1199000000.0,-1380000000.0
Other Equity Adjustments,-923000000.0,-1665000000.0,-1287000000.0,-1199000000.0,-1380000000.0
Treasury Stock,3583000000.0,3585000000.0,3590000000.0,3602000000.0,3821000000.0
Retained Earnings,89110000000.0,86958000000.0,86504000000.0,84714000000.0,82915000000.0
Additional Paid In Capital,13466000000.0,13479000000.0,13539000000.0,13571000000.0,13631000000.0
Capital Stock,429000000.0,429000000.0,429000000.0,429000000.0,429000000.0
Common Stock,429000000.0,429000000.0,429000000.0,429000000.0,429000000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,284136000000.0,283496000000.0,281607000000.0,284432000000.0,286456000000.0
Total Non Current Liabilities Net Minority Interest,219365000000.0,221680000000.0,220801000000.0,230801000000.0,233233000000.0
Other Non Current Liabilities,19327000000.0,14946000000.0,16429000000.0,16258000000.0,16560000000.0
Employee Benefits,11997000000.0,12744000000.0,12812000000.0,12805000000.0,13189000000.0
Non Current Deferred Liabilities,46732000000.0,45865000000.0,46082000000.0,45980000000.0,45781000000.0
Non Current Deferred Taxes Liabilities,46732000000.0,45865000000.0,46082000000.0,45980000000.0,45781000000.0
Long Term Debt And Capital Lease Obligation,141309000000.0,148125000000.0,145478000000.0,155758000000.0,157703000000.0
Long Term Capital Lease Obligation,19928000000.0,19247000000.0,19456000000.0,19654000000.0,20002000000.0
Long Term Debt,121381000000.0,128878000000.0,126022000000.0,136104000000.0,137701000000.0
Current Liabilities,64771000000.0,61816000000.0,60806000000.0,53631000000.0,53223000000.0
Other Current Liabilities,3979000000.0,13519000000.0,13577000000.0,13616000000.0,2755000000.0
Current Deferred Liabilities,7492000000.0,,,,6955000000.0
Current Deferred Revenue,7492000000.0,,,,6955000000.0
Current Debt And Capital Lease Obligation,27048000000.0,26075000000.0,27502000000.0,19876000000.0,17239000000.0
Current Capital Lease Obligation,4415000000.0,4312000000.0,4247000000.0,4282000000.0,4266000000.0
Current Debt,22633000000.0,21763000000.0,23255000000.0,15594000000.0,12973000000.0
Other Current Borrowings,22633000000.0,21763000000.0,23255000000.0,15594000000.0,12973000000.0
Commercial Paper,,,,,0.0
Payables And Accrued Expenses,26252000000.0,22222000000.0,19727000000.0,20139000000.0,26274000000.0
Current Accrued Expenses,11047000000.0,,,,10820000000.0
Interest Payable,1553000000.0,,,,1570000000.0
Payables,15205000000.0,,,,15454000000.0
Dividends Payable,2878000000.0,,,,2821000000.0
Total Tax Payable,1902000000.0,,,,2612000000.0
Accounts Payable,10425000000.0,,,,10021000000.0
Total Assets,384711000000.0,381164000000.0,379146000000.0,380158000000.0,380255000000.0
Total Non Current Assets,344188000000.0,340523000000.0,341090000000.0,342201000000.0,343441000000.0
Other Non Current Assets,19769000000.0,18516000000.0,18415000000.0,19258000000.0,19885000000.0
Investments And Advances,842000000.0,867000000.0,908000000.0,941000000.0,953000000.0
Long Term Equity Investment,842000000.0,867000000.0,908000000.0,941000000.0,953000000.0
Goodwill And Other Intangible Assets,190583000000.0,189999000000.0,189813000000.0,189788000000.0,189567000000.0
Other Intangible Assets,167742000000.0,167155000000.0,166971000000.0,166946000000.0,166724000000.0
Goodwill,22841000000.0,22844000000.0,22842000000.0,22842000000.0,22843000000.0
Net PPE,132994000000.0,131141000000.0,131954000000.0,132214000000.0,133036000000.0
Accumulated Depreciation,-222884000000.0,-220027000000.0,-217088000000.0,-214403000000.0,-211798000000.0
Gross PPE,355878000000.0,351168000000.0,349042000000.0,346617000000.0,344834000000.0
Leases,10562000000.0,,,,10355000000.0
Construction In Progress,9424000000.0,,,,12092000000.0
Other Properties,107282000000.0,351168000000.0,349042000000.0,346617000000.0,103081000000.0
Machinery Furniture Equipment,188740000000.0,,,,181615000000.0
Buildings And Improvements,39130000000.0,,,,36940000000.0
Land And Improvements,740000000.0,,,,751000000.0
Properties,0.0,,,,0.0
Current Assets,40523000000.0,40641000000.0,38056000000.0,37957000000.0,36814000000.0
Other Current Assets,1793000000.0,7177000000.0,8176000000.0,8197000000.0,1651000000.0
Current Deferred Assets,2932000000.0,,,,2756000000.0
