,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,21252131.546894,18630000.0,19669000.0,24530000.0,-1208970000.0,
Tax Rate For Calcs,0.221376,0.207,0.221,0.223,0.21,
Normalized EBITDA,12622000000.0,10342000000.0,12126000000.0,12045000000.0,10055000000.0,
Total Unusual Items,96000000.0,90000000.0,89000000.0,110000000.0,-5757000000.0,
Total Unusual Items Excluding Goodwill,96000000.0,90000000.0,89000000.0,110000000.0,-5757000000.0,
Net Income From Continuing Operation Net Minority Interest,5005000000.0,3306000000.0,4593000000.0,4602000000.0,-2705000000.0,
Reconciled Depreciation,4506000000.0,4458000000.0,4483000000.0,4445000000.0,4516000000.0,
Reconciled Cost Of Revenue,15514000000.0,13240000000.0,12471000000.0,12872000000.0,15182000000.0,
EBITDA,12718000000.0,10432000000.0,12215000000.0,12155000000.0,4298000000.0,
EBIT,8212000000.0,5974000000.0,7732000000.0,7710000000.0,-218000000.0,
Net Interest Income,-1566000000.0,-1575000000.0,-1615000000.0,-1557000000.0,-1510000000.0,
Interest Expense,1644000000.0,1672000000.0,1698000000.0,1635000000.0,1599000000.0,
Interest Income,78000000.0,97000000.0,83000000.0,78000000.0,89000000.0,
Normalized Income,4930252131.546894,3234630000.0,4523669000.0,4516530000.0,1843030000.0,
Net Income From Continuing And Discontinued Operation,5005000000.0,3306000000.0,4593000000.0,4602000000.0,-2705000000.0,
Total Expenses,28260000000.0,27404000000.0,24978000000.0,25460000000.0,28689000000.0,
Total Operating Income As Reported,7421000000.0,5926000000.0,7818000000.0,7521000000.0,600000000.0,
Diluted Average Shares,,4225000000.0,4221000000.0,4219000000.0,4214000000.0,4216000000.0
Basic Average Shares,,4220000000.0,4215000000.0,4215000000.0,4214000000.0,4213000000.0
Diluted EPS,,0.78,1.09,1.09,-0.64,1.13
Basic EPS,,0.78,1.09,1.09,-0.64,1.13
Diluted NI Availto Com Stockholders,5005000000.0,3306000000.0,4593000000.0,4602000000.0,-2705000000.0,
Net Income Common Stockholders,5005000000.0,3306000000.0,4593000000.0,4602000000.0,-2705000000.0,
Net Income,5005000000.0,3306000000.0,4593000000.0,4602000000.0,-2705000000.0,
Minority Interests,-109000000.0,-105000000.0,-109000000.0,-120000000.0,-132000000.0,
Net Income Including Noncontrolling Interests,5114000000.0,3411000000.0,4702000000.0,4722000000.0,-2573000000.0,
Net Income Continuous Operations,5114000000.0,3411000000.0,4702000000.0,4722000000.0,-2573000000.0,
Tax Provision,1454000000.0,891000000.0,1332000000.0,1353000000.0,756000000.0,
Pretax Income,6568000000.0,4302000000.0,6034000000.0,6075000000.0,-1817000000.0,
Other Income Expense,713000000.0,-49000000.0,-169000000.0,111000000.0,-6748000000.0,
Other Non Operating Income Expenses,623000000.0,-115000000.0,-244000000.0,10000000.0,-980000000.0,
Special Income Charges,96000000.0,90000000.0,89000000.0,110000000.0,-5757000000.0,
Other Special Charges,-96000000.0,-90000000.0,-89000000.0,-110000000.0,-84000000.0,
Earnings From Equity Interest,-6000000.0,-24000000.0,-14000000.0,-9000000.0,-11000000.0,
Net Non Operating Interest Income Expense,-1566000000.0,-1575000000.0,-1615000000.0,-1557000000.0,-1510000000.0,
Interest Expense Non Operating,1644000000.0,1672000000.0,1698000000.0,1635000000.0,1599000000.0,
Interest Income Non Operating,78000000.0,97000000.0,83000000.0,78000000.0,89000000.0,
Operating Income,7421000000.0,5926000000.0,7818000000.0,7521000000.0,6441000000.0,
Operating Expense,12746000000.0,14164000000.0,12507000000.0,12588000000.0,13507000000.0,
Depreciation Amortization Depletion Income Statement,4506000000.0,4458000000.0,4483000000.0,4445000000.0,4516000000.0,
Depreciation And Amortization In Income Statement,4506000000.0,4458000000.0,4483000000.0,4445000000.0,4516000000.0,
Selling General And Administration,8240000000.0,9706000000.0,8024000000.0,8143000000.0,8991000000.0,
Gross Profit,20167000000.0,20090000000.0,20325000000.0,20109000000.0,19948000000.0,
Cost Of Revenue,15514000000.0,13240000000.0,12471000000.0,12872000000.0,15182000000.0,
Total Revenue,35681000000.0,33330000000.0,32796000000.0,32981000000.0,35130000000.0,
Operating Revenue,35681000000.0,33330000000.0,32796000000.0,32981000000.0,35130000000.0,
