,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Treasury Shares Number,,,,0.0,0.0,
Ordinary Shares Number,1931648651.0,1941686091.0,1954611500.0,2046476364.0,2054664216.0,
Share Issued,1931648651.0,1941686091.0,1954611500.0,2046476364.0,2054664216.0,
Net Debt,8242000000.0,8861000000.0,7655000000.0,7610000000.0,7112000000.0,
Total Debt,20609000000.0,20836000000.0,20602000000.0,20603000000.0,20703000000.0,
Tangible Book Value,-8045000000.0,-7724000000.0,-6755000000.0,-6329000000.0,-5126000000.0,
Invested Capital,58001000000.0,58942000000.0,58906000000.0,59486000000.0,60436000000.0,
Working Capital,3531000000.0,7516000000.0,8427000000.0,9332000000.0,10098000000.0,
Net Tangible Assets,-7141000000.0,-6693000000.0,-5330000000.0,-4727000000.0,-5126000000.0,
Common Stock Equity,37392000000.0,38106000000.0,38304000000.0,38883000000.0,39733000000.0,
Preferred Stock Equity,904000000.0,1031000000.0,1425000000.0,1602000000.0,,1698000000.0
Total Capitalization,54976000000.0,59973000000.0,60331000000.0,61088000000.0,60436000000.0,
Total Equity Gross Minority Interest,38296000000.0,39137000000.0,39729000000.0,40485000000.0,39733000000.0,
Stockholders Equity,38296000000.0,39137000000.0,39729000000.0,40485000000.0,39733000000.0,
Other Equity Interest,-123000000.0,-104000000.0,-46000000.0,-175000000.0,-139000000.0,
Gains Losses Not Affecting Retained Earnings,-1247000000.0,-308000000.0,-1060000000.0,-998000000.0,-655000000.0,
Other Equity Adjustments,-105000000.0,-213000000.0,-120000000.0,-162000000.0,-208000000.0,
Foreign Currency Translation Adjustments,-1139000000.0,-109000000.0,-776000000.0,-666000000.0,-276000000.0,
Minimum Pension Liabilities,-15000000.0,-16000000.0,-145000000.0,-145000000.0,-153000000.0,
Unrealized Gain Loss,12000000.0,30000000.0,-19000000.0,-25000000.0,-18000000.0,
Retained Earnings,17438000000.0,17289000000.0,18578000000.0,19347000000.0,18422000000.0,
Additional Paid In Capital,21324000000.0,21229000000.0,20832000000.0,20709000000.0,,20452000000.0
Capital Stock,904000000.0,1031000000.0,1425000000.0,1602000000.0,22105000000.0,
Common Stock,0.0,0.0,0.0,0.0,22105000000.0,
Preferred Stock,904000000.0,1031000000.0,1425000000.0,1602000000.0,,1698000000.0
Total Liabilities Net Minority Interest,53592000000.0,55374000000.0,51311000000.0,51914000000.0,51676000000.0,
Total Non Current Liabilities Net Minority Interest,24501000000.0,28857000000.0,28699000000.0,28471000000.0,29042000000.0,
Other Non Current Liabilities,2629000000.0,2720000000.0,2978000000.0,2723000000.0,3064000000.0,
Non Current Deferred Liabilities,5192000000.0,5301000000.0,5119000000.0,5145000000.0,5275000000.0,
Non Current Deferred Taxes Liabilities,5192000000.0,5301000000.0,5119000000.0,5145000000.0,5275000000.0,
Long Term Debt And Capital Lease Obligation,16680000000.0,20836000000.0,20602000000.0,20603000000.0,20703000000.0,
Long Term Debt,16680000000.0,20836000000.0,20602000000.0,20603000000.0,20703000000.0,
Current Liabilities,29091000000.0,26517000000.0,22612000000.0,23443000000.0,22634000000.0,
Other Current Liabilities,12767000000.0,12599000000.0,12034000000.0,11316000000.0,11198000000.0,
Current Debt And Capital Lease Obligation,3929000000.0,,,,,
Current Debt,3929000000.0,,,,,
Pensionand Other Post Retirement Benefit Plans Current,1226000000.0,1538000000.0,1251000000.0,1065000000.0,816000000.0,
Payables And Accrued Expenses,11169000000.0,12380000000.0,9327000000.0,11062000000.0,10620000000.0,
Current Accrued Expenses,6339000000.0,6636000000.0,6420000000.0,6239000000.0,6548000000.0,
Payables,4830000000.0,5744000000.0,2907000000.0,4823000000.0,4072000000.0,
Other Payable,4425000000.0,5265000000.0,2576000000.0,4485000000.0,3724000000.0,
Accounts Payable,405000000.0,479000000.0,331000000.0,338000000.0,348000000.0,
Total Assets,91888000000.0,94511000000.0,91040000000.0,92399000000.0,91409000000.0,
Total Non Current Assets,59266000000.0,60478000000.0,60001000000.0,59624000000.0,58677000000.0,
Other Non Current Assets,8098000000.0,8279000000.0,8139000000.0,7690000000.0,7537000000.0,
Investments And Advances,1757000000.0,2545000000.0,3037000000.0,3092000000.0,2809000000.0,
Investmentin Financial Assets,1757000000.0,2545000000.0,3037000000.0,3092000000.0,2809000000.0,
Goodwill And Other Intangible Assets,45437000000.0,45830000000.0,45059000000.0,45212000000.0,44859000000.0,
Other Intangible Assets,25889000000.0,26889000000.0,26243000000.0,26375000000.0,26739000000.0,
Goodwill,19548000000.0,18941000000.0,18816000000.0,18837000000.0,18120000000.0,
Net PPE,3974000000.0,3824000000.0,3766000000.0,3630000000.0,3472000000.0,
Accumulated Depreciation,,-5473000000.0,,,,-5355000000.0
Gross PPE,,9297000000.0,,,,8780000000.0
Construction In Progress,,222000000.0,,,,344000000.0
Machinery Furniture Equipment,,7961000000.0,,,,7343000000.0
Buildings And Improvements,,1042000000.0,,,,1022000000.0
Land And Improvements,,72000000.0,,,,71000000.0
Properties,,0.0,,,,0.0
Current Assets,32622000000.0,34033000000.0,31039000000.0,32775000000.0,32732000000.0,
Other Current Assets,5385000000.0,5230000000.0,4678000000.0,4291000000.0,4325000000.0,
Restricted Cash,6630000000.0,6613000000.0,5068000000.0,4951000000.0,4780000000.0,
Receivables,6273000000.0,7015000000.0,4649000000.0,5830000000.0,5031000000.0,
Other Receivables,3683000000.0,4454000000.0,2128000000.0,3558000000.0,2525000000.0,
Accounts Receivable,2590000000.0,2561000000.0,2521000000.0,2272000000.0,2506000000.0,
Cash Cash Equivalents And Short Term Investments,14334000000.0,15175000000.0,16644000000.0,17703000000.0,18596000000.0,
Other Short Term Investments,1967000000.0,3200000000.0,3697000000.0,4710000000.0,5005000000.0,
Cash And Cash Equivalents,12367000000.0,11975000000.0,12947000000.0,12993000000.0,13591000000.0,
