,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,18096000.0,31262711.864407,43524000.0,-29106000.0,50806000.0
Tax Rate For Calcs,0.174,0.165411,0.186,0.154,0.191
Normalized EBITDA,6560000000.0,6633000000.0,6215000000.0,6033000000.0,6210000000.0
Total Unusual Items,104000000.0,189000000.0,234000000.0,-189000000.0,266000000.0
Total Unusual Items Excluding Goodwill,104000000.0,189000000.0,234000000.0,-189000000.0,266000000.0
Net Income From Continuing Operation Net Minority Interest,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Reconciled Depreciation,282000000.0,274000000.0,264000000.0,249000000.0,247000000.0
Reconciled Cost Of Revenue,2020000000.0,1817000000.0,1773000000.0,1792000000.0,1660000000.0
EBITDA,6664000000.0,6822000000.0,6449000000.0,5844000000.0,6476000000.0
EBIT,6382000000.0,6548000000.0,6185000000.0,5595000000.0,6229000000.0
Net Interest Income,-182000000.0,-176000000.0,-196000000.0,-82000000.0,-187000000.0
Interest Expense,182000000.0,176000000.0,196000000.0,82000000.0,187000000.0
Normalized Income,5033096000.0,5160262711.864407,4681524000.0,4822894000.0,4674806000.0
Net Income From Continuing And Discontinued Operation,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Total Expenses,3232000000.0,3258000000.0,2949000000.0,2991000000.0,2671000000.0
Total Operating Income As Reported,6234000000.0,6349000000.0,5938000000.0,5354000000.0,5954000000.0
Diluted Average Shares,1985000000.0,2003000000.0,2029000000.0,2039000000.0,2045000000.0
Basic Average Shares,1729000000.0,1710000000.0,1610000000.0,1579000000.0,1584000000.0
Diluted EPS,2.58,2.65,2.4,2.29,2.39
Basic EPS,2.58,2.66,2.4,2.29,2.39
Diluted NI Availto Com Stockholders,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Net Income Common Stockholders,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Net Income,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Net Income Including Noncontrolling Interests,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Net Income Continuous Operations,5119000000.0,5318000000.0,4872000000.0,4663000000.0,4890000000.0
Tax Provision,1081000000.0,1054000000.0,1117000000.0,850000000.0,1152000000.0
Pretax Income,6200000000.0,6372000000.0,5989000000.0,5513000000.0,6042000000.0
Other Income Expense,104000000.0,189000000.0,234000000.0,-189000000.0,266000000.0
Special Income Charges,-44000000.0,-10000000.0,-13000000.0,-430000000.0,-9000000.0
Other Special Charges,44000000.0,10000000.0,13000000.0,430000000.0,9000000.0
Gain On Sale Of Security,148000000.0,199000000.0,247000000.0,241000000.0,275000000.0
Net Non Operating Interest Income Expense,-182000000.0,-176000000.0,-196000000.0,-82000000.0,-187000000.0
Interest Expense Non Operating,182000000.0,176000000.0,196000000.0,82000000.0,187000000.0
Operating Income,6278000000.0,6359000000.0,5951000000.0,5784000000.0,5963000000.0
Operating Expense,1212000000.0,1441000000.0,1176000000.0,1199000000.0,1011000000.0
Depreciation Amortization Depletion Income Statement,282000000.0,274000000.0,264000000.0,249000000.0,247000000.0
Depreciation And Amortization In Income Statement,282000000.0,274000000.0,264000000.0,249000000.0,247000000.0
Selling General And Administration,930000000.0,1167000000.0,912000000.0,950000000.0,764000000.0
Selling And Marketing Expense,306000000.0,551000000.0,378000000.0,338000000.0,293000000.0
General And Administrative Expense,624000000.0,616000000.0,534000000.0,612000000.0,471000000.0
Other Gand A,624000000.0,616000000.0,534000000.0,612000000.0,471000000.0
Gross Profit,7490000000.0,7800000000.0,7127000000.0,6983000000.0,6974000000.0
Cost Of Revenue,2020000000.0,1817000000.0,1773000000.0,1792000000.0,1660000000.0
Total Revenue,9510000000.0,9617000000.0,8900000000.0,8775000000.0,8634000000.0
Operating Revenue,12395000000.0,12277000000.0,11650000000.0,11276000000.0,11290000000.0
