,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31
Ordinary Shares Number,8024000000.0,8034000000.0,8035000000.0,8049000000.0,8054000001.0,,
Share Issued,8024000000.0,8034000000.0,8035000000.0,8049000000.0,8054000001.0,,
Net Debt,30030000000.0,30421000000.0,31243000000.0,33845000000.0,30590000000.0,,
Total Debt,60114000000.0,61749000000.0,61305000000.0,64463000000.0,61321000000.0,,
Tangible Book Value,62221000000.0,60166000000.0,56493000000.0,53294000000.0,55748000000.0,,
Invested Capital,130080000000.0,128578000000.0,124477000000.0,124543000000.0,124318000000.0,,
Working Capital,-17126000000.0,-15620000000.0,-18750000000.0,-18948000000.0,-15538000000.0,,
Net Tangible Assets,62221000000.0,60166000000.0,56493000000.0,53294000000.0,55748000000.0,,
Capital Lease Obligations,21047000000.0,21279000000.0,21251000000.0,21213000000.0,20864000000.0,,
Common Stock Equity,91013000000.0,88108000000.0,84423000000.0,81293000000.0,83861000000.0,,
Total Capitalization,124414000000.0,121753000000.0,119787000000.0,117221000000.0,119993000000.0,,
Total Equity Gross Minority Interest,97692000000.0,94465000000.0,90772000000.0,88290000000.0,90571000000.0,,
Minority Interest,6679000000.0,6357000000.0,6349000000.0,6997000000.0,6710000000.0,,
Stockholders Equity,91013000000.0,88108000000.0,84423000000.0,81293000000.0,83861000000.0,,
Gains Losses Not Affecting Retained Earnings,-13605000000.0,-12525000000.0,-12178000000.0,-11367000000.0,-11302000000.0,,
Other Equity Adjustments,-944000000.0,-861000000.0,-857000000.0,-867000000.0,-895000000.0,,
Foreign Currency Translation Adjustments,-12661000000.0,-11664000000.0,-11321000000.0,-10500000000.0,-10407000000.0,,
Minimum Pension Liabilities,,,,,-18000000.0,-5000000.0,-6000000.0
Retained Earnings,98313000000.0,94435000000.0,90788000000.0,87230000000.0,89814000000.0,,
Additional Paid In Capital,5503000000.0,5395000000.0,5010000000.0,4625000000.0,4544000000.0,,
Capital Stock,802000000.0,803000000.0,803000000.0,805000000.0,805000000.0,,
Common Stock,802000000.0,803000000.0,803000000.0,805000000.0,805000000.0,,
Total Liabilities Net Minority Interest,163131000000.0,168934000000.0,163668000000.0,165764000000.0,161828000000.0,,
Total Non Current Liabilities Net Minority Interest,66547000000.0,66376000000.0,68408000000.0,69664000000.0,69413000000.0,,
Other Non Current Liabilities,14398000000.0,13748000000.0,14072000000.0,14849000000.0,14629000000.0,,
Long Term Debt And Capital Lease Obligation,52149000000.0,52628000000.0,54336000000.0,54815000000.0,54784000000.0,,
Long Term Capital Lease Obligation,18748000000.0,18983000000.0,18972000000.0,18887000000.0,18652000000.0,,
Long Term Debt,33401000000.0,33645000000.0,35364000000.0,35928000000.0,36132000000.0,,
Current Liabilities,96584000000.0,102558000000.0,95260000000.0,96100000000.0,92415000000.0,,
Current Deferred Liabilities,2755000000.0,,,,2664000000.0,,
Current Deferred Revenue,2755000000.0,,,,2664000000.0,,
Current Debt And Capital Lease Obligation,7965000000.0,9121000000.0,6969000000.0,9648000000.0,6537000000.0,,
Current Capital Lease Obligation,2299000000.0,2296000000.0,2279000000.0,2326000000.0,2212000000.0,,
Current Debt,5666000000.0,6825000000.0,4690000000.0,7322000000.0,4325000000.0,,
Other Current Borrowings,5666000000.0,6825000000.0,4690000000.0,7322000000.0,4325000000.0,,
Payables And Accrued Expenses,85864000000.0,93437000000.0,88291000000.0,86452000000.0,83214000000.0,,
Current Accrued Expenses,23087000000.0,28117000000.0,27656000000.0,24092000000.0,22636000000.0,,
Payables,62777000000.0,65320000000.0,60635000000.0,62360000000.0,60578000000.0,,
Dividends Payable,,1674000000.0,3343000000.0,5013000000.0,,1533000000.0,3067000000.0
Total Tax Payable,4111000000.0,783000000.0,576000000.0,1276000000.0,3766000000.0,,
Income Tax Payable,608000000.0,783000000.0,576000000.0,1276000000.0,307000000.0,,
Accounts Payable,58666000000.0,62863000000.0,56716000000.0,56071000000.0,56812000000.0,,
Total Assets,260823000000.0,263399000000.0,254440000000.0,254054000000.0,252399000000.0,,
Total Non Current Assets,181365000000.0,176461000000.0,177930000000.0,176902000000.0,175522000000.0,,
Other Non Current Assets,12869000000.0,11993000000.0,16262000000.0,17558000000.0,17071000000.0,,
Goodwill And Other Intangible Assets,28792000000.0,27942000000.0,27930000000.0,27999000000.0,28113000000.0,,
Goodwill,28792000000.0,27942000000.0,27930000000.0,27999000000.0,28113000000.0,,
Net PPE,139704000000.0,136526000000.0,133738000000.0,131345000000.0,130338000000.0,,
Accumulated Depreciation,-111624000000.0,,,,-109049000000.0,,
Gross PPE,251328000000.0,136526000000.0,133738000000.0,131345000000.0,239387000000.0,,
Construction In Progress,15403000000.0,,,,13390000000.0,,
Other Properties,19711000000.0,136526000000.0,133738000000.0,131345000000.0,19528000000.0,,
Machinery Furniture Equipment,78899000000.0,,,,75140000000.0,,
Buildings And Improvements,117973000000.0,,,,111767000000.0,,
Land And Improvements,19342000000.0,,,,19562000000.0,,
Properties,0.0,,,,0.0,,
Current Assets,79458000000.0,86938000000.0,76510000000.0,77152000000.0,76877000000.0,,
Other Current Assets,4011000000.0,3548000000.0,3438000000.0,3290000000.0,3322000000.0,,
Inventory,56435000000.0,63302000000.0,55611000000.0,55382000000.0,54892000000.0,,
Receivables,9975000000.0,10039000000.0,8650000000.0,9075000000.0,8796000000.0,,
Accounts Receivable,9975000000.0,10039000000.0,8650000000.0,9075000000.0,8796000000.0,,
Cash Cash Equivalents And Short Term Investments,9037000000.0,10049000000.0,8811000000.0,9405000000.0,9867000000.0,,
Cash And Cash Equivalents,9037000000.0,10049000000.0,8811000000.0,9405000000.0,9867000000.0,,
