,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.220882,0.227,0.242,0.246,0.244746,
Normalized EBITDA,11054000000.0,9976000000.0,10103000000.0,10877000000.0,11330000000.0,
Net Income From Continuing Operation Net Minority Interest,5254000000.0,4577000000.0,4501000000.0,5104000000.0,5494000000.0,
Reconciled Depreciation,3374000000.0,3260000000.0,3211000000.0,3128000000.0,3117000000.0,
Reconciled Cost Of Revenue,136172000000.0,127340000000.0,126810000000.0,121431000000.0,131825000000.0,
EBITDA,11054000000.0,9976000000.0,10103000000.0,10877000000.0,11330000000.0,
EBIT,7680000000.0,6716000000.0,6892000000.0,7749000000.0,8213000000.0,
Net Interest Income,-602000000.0,-478000000.0,-565000000.0,-600000000.0,-549000000.0,
Interest Expense,717000000.0,618000000.0,679000000.0,714000000.0,695000000.0,
Interest Income,115000000.0,140000000.0,114000000.0,114000000.0,146000000.0,
Normalized Income,5254000000.0,4577000000.0,4501000000.0,5104000000.0,5494000000.0,
Net Income From Continuing And Discontinued Operation,5254000000.0,4577000000.0,4501000000.0,5104000000.0,5494000000.0,
Total Expenses,172695000000.0,162880000000.0,161395000000.0,154667000000.0,166134000000.0,
Total Operating Income As Reported,7859000000.0,6708000000.0,7940000000.0,6841000000.0,7254000000.0,
Diluted Average Shares,,8082000000.0,8081000000.0,8084000000.0,8103000000.0,8109000000.0
Basic Average Shares,,8038000000.0,8044000000.0,8053000000.0,8070000000.0,8079000000.0
Diluted EPS,,0.57,0.56,0.63,0.676667,0.056667
Basic EPS,,0.57,0.56,0.63,0.68,0.056667
Diluted NI Availto Com Stockholders,5254000000.0,4577000000.0,4501000000.0,5104000000.0,5494000000.0,
Net Income Common Stockholders,5254000000.0,4577000000.0,4501000000.0,5104000000.0,5494000000.0,
Net Income,5254000000.0,4577000000.0,4501000000.0,5104000000.0,5494000000.0,
Minority Interests,-171000000.0,-137000000.0,-210000000.0,-203000000.0,-184000000.0,
Net Income Including Noncontrolling Interests,5425000000.0,4714000000.0,4711000000.0,5307000000.0,5678000000.0,
Net Income Continuous Operations,5425000000.0,4714000000.0,4711000000.0,5307000000.0,5678000000.0,
Tax Provision,1538000000.0,1384000000.0,1502000000.0,1728000000.0,1840000000.0,
Pretax Income,6963000000.0,6098000000.0,6213000000.0,7035000000.0,7518000000.0,
Other Income Expense,-294000000.0,-132000000.0,-1162000000.0,794000000.0,813000000.0,
Other Non Operating Income Expenses,-294000000.0,-132000000.0,-1162000000.0,794000000.0,813000000.0,
Net Non Operating Interest Income Expense,-602000000.0,-478000000.0,-565000000.0,-600000000.0,-549000000.0,
Interest Expense Non Operating,717000000.0,618000000.0,679000000.0,714000000.0,695000000.0,
Interest Income Non Operating,115000000.0,140000000.0,114000000.0,114000000.0,146000000.0,
Operating Income,7859000000.0,6708000000.0,7940000000.0,6841000000.0,7254000000.0,
Operating Expense,36523000000.0,35540000000.0,34585000000.0,33236000000.0,34309000000.0,
Selling General And Administration,36523000000.0,35540000000.0,34585000000.0,33236000000.0,34309000000.0,
Gross Profit,44382000000.0,42248000000.0,42525000000.0,40077000000.0,41563000000.0,
Cost Of Revenue,136172000000.0,127340000000.0,126810000000.0,121431000000.0,131825000000.0,
Total Revenue,180554000000.0,169588000000.0,169335000000.0,161508000000.0,173388000000.0,
Operating Revenue,180554000000.0,169588000000.0,169335000000.0,161508000000.0,173388000000.0,
