,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Treasury Shares Number,3666000000.0,3624000000.0,3576000000.0,4076000000.0,4048000000.0
Ordinary Shares Number,4353094536.0,4395094536.0,4442826580.0,3943006866.0,3971000000.0
Share Issued,8019094536.0,8019094536.0,8018826580.0,8019006866.0,8019000000.0
Net Debt,14730000000.0,15624000000.0,16726000000.0,7120000000.0,6196000000.0
Total Debt,41710000000.0,42550000000.0,43186000000.0,40440000000.0,41573000000.0
Tangible Book Value,263705000000.0,268592000000.0,268405000000.0,205250000000.0,204802000000.0
Invested Capital,301464000000.0,311142000000.0,311591000000.0,245690000000.0,242537000000.0
Working Capital,21683000000.0,24356000000.0,25475000000.0,27456000000.0,31293000000.0
Net Tangible Assets,263705000000.0,268592000000.0,268405000000.0,205250000000.0,204802000000.0
Capital Lease Obligations,3951000000.0,,,,3838000000.0
Common Stock Equity,263705000000.0,268592000000.0,268405000000.0,205250000000.0,204802000000.0
Total Capitalization,296509000000.0,305510000000.0,304970000000.0,237463000000.0,238447000000.0
Total Equity Gross Minority Interest,270606000000.0,276400000000.0,276266000000.0,213052000000.0,212538000000.0
Minority Interest,6901000000.0,7808000000.0,7861000000.0,7802000000.0,7736000000.0
Stockholders Equity,263705000000.0,268592000000.0,268405000000.0,205250000000.0,204802000000.0
Gains Losses Not Affecting Retained Earnings,-14619000000.0,-11959000000.0,-13187000000.0,-13169000000.0,-11989000000.0
Other Equity Adjustments,-14619000000.0,-11959000000.0,-13187000000.0,-13169000000.0,-11989000000.0
Treasury Stock,238817000000.0,234049000000.0,228483000000.0,257891000000.0,254917000000.0
Retained Earnings,470903000000.0,467664000000.0,463294000000.0,458339000000.0,453927000000.0
Capital Stock,46238000000.0,46936000000.0,46781000000.0,17971000000.0,17781000000.0
Common Stock,46238000000.0,46936000000.0,46781000000.0,17971000000.0,17781000000.0
Total Liabilities Net Minority Interest,182869000000.0,185516000000.0,184441000000.0,164866000000.0,163779000000.0
Total Non Current Liabilities Net Minority Interest,112562000000.0,115523000000.0,113678000000.0,92945000000.0,98463000000.0
Other Non Current Liabilities,25719000000.0,26010000000.0,25023000000.0,24242000000.0,24228000000.0
Employee Benefits,9700000000.0,10677000000.0,10398000000.0,10475000000.0,10496000000.0
Non Current Pension And Other Postretirement Benefit Plans,9700000000.0,10677000000.0,10398000000.0,10475000000.0,10496000000.0
Dueto Related Parties Non Current,1346000000.0,1637000000.0,1612000000.0,1909000000.0,1804000000.0
Tradeand Other Payables Non Current,0.0,0.0,0.0,0.0,0.0
Non Current Deferred Liabilities,39042000000.0,40281000000.0,40080000000.0,24106000000.0,24452000000.0
Non Current Deferred Taxes Liabilities,39042000000.0,40281000000.0,40080000000.0,24106000000.0,24452000000.0
Long Term Debt And Capital Lease Obligation,36755000000.0,36918000000.0,36565000000.0,32213000000.0,37483000000.0
Long Term Capital Lease Obligation,3951000000.0,,,,3838000000.0
Long Term Debt,32804000000.0,36918000000.0,36565000000.0,32213000000.0,33645000000.0
Current Liabilities,70307000000.0,69993000000.0,70763000000.0,71921000000.0,65316000000.0
Current Debt And Capital Lease Obligation,4955000000.0,5632000000.0,6621000000.0,8227000000.0,4090000000.0
Current Debt,4955000000.0,5632000000.0,6621000000.0,8227000000.0,4090000000.0
Other Current Borrowings,4892000000.0,,,,4009000000.0
Line Of Credit,63000000.0,,,,6000000.0
Commercial Paper,0.0,,,,75000000.0
Payables And Accrued Expenses,65352000000.0,64361000000.0,64142000000.0,63694000000.0,61226000000.0
Payables,65352000000.0,64361000000.0,64142000000.0,63694000000.0,61226000000.0
Other Payable,11197000000.0,,,,11086000000.0
Dueto Related Parties Current,10378000000.0,,,,11885000000.0
Total Tax Payable,7632000000.0,3843000000.0,4035000000.0,4163000000.0,7006000000.0
Income Tax Payable,4055000000.0,3843000000.0,4035000000.0,4163000000.0,3189000000.0
Accounts Payable,36145000000.0,60518000000.0,60107000000.0,59531000000.0,31249000000.0
Total Assets,453475000000.0,461916000000.0,460707000000.0,377918000000.0,376317000000.0
Total Non Current Assets,361485000000.0,367567000000.0,364469000000.0,278541000000.0,279708000000.0
Other Non Current Assets,19967000000.0,19155000000.0,18238000000.0,17210000000.0,17138000000.0
Non Current Prepaid Assets,7084000000.0,,,,7527000000.0
Non Current Accounts Receivable,5763000000.0,,,,5846000000.0
Investments And Advances,34353000000.0,48869000000.0,47948000000.0,47608000000.0,34257000000.0
Investmentin Financial Assets,343000000.0,,,,177000000.0
Available For Sale Securities,343000000.0,,,,177000000.0
Long Term Equity Investment,34010000000.0,,,,34080000000.0
Net PPE,294318000000.0,299543000000.0,298283000000.0,213723000000.0,214940000000.0
Accumulated Depreciation,-259585000000.0,,,,-272445000000.0
Gross PPE,553903000000.0,,,,487385000000.0
Other Properties,23823000000.0,,,,22768000000.0
Current Assets,91990000000.0,94349000000.0,96238000000.0,99377000000.0,96609000000.0
Other Current Assets,1598000000.0,1997000000.0,2176000000.0,2171000000.0,1906000000.0
Restricted Cash,158000000.0,46000000.0,28000000.0,29000000.0,29000000.0
Inventory,23524000000.0,23875000000.0,24503000000.0,23491000000.0,25120000000.0
Finished Goods,19444000000.0,19183000000.0,19685000000.0,18891000000.0,20528000000.0
Raw Materials,4080000000.0,4692000000.0,4818000000.0,4600000000.0,4592000000.0
Receivables,43681000000.0,41505000000.0,43071000000.0,40366000000.0,38015000000.0
Other Receivables,8399000000.0,,,,7719000000.0
Accounts Receivable,35282000000.0,41505000000.0,43071000000.0,40366000000.0,30296000000.0
Allowance For Doubtful Accounts Receivable,-162000000.0,,,,-170000000.0
Gross Accounts Receivable,35444000000.0,,,,30466000000.0
Cash Cash Equivalents And Short Term Investments,23029000000.0,26926000000.0,26460000000.0,33320000000.0,31539000000.0
Cash And Cash Equivalents,23029000000.0,26926000000.0,26460000000.0,33320000000.0,31539000000.0
