,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.189341,0.35,0.34,0.36,0.245929,
Normalized EBITDA,16695000000.0,19491000000.0,19723000000.0,17402000000.0,18637000000.0,
Net Income From Continuing Operation Net Minority Interest,7610000000.0,8610000000.0,9240000000.0,8220000000.0,7630000000.0,
Reconciled Depreciation,6585000000.0,6258000000.0,5787000000.0,4812000000.0,7740000000.0,
Reconciled Cost Of Revenue,63811000000.0,67400000000.0,69790000000.0,61504000000.0,63985000000.0,
EBITDA,16695000000.0,19491000000.0,19723000000.0,17402000000.0,18637000000.0,
EBIT,10110000000.0,13233000000.0,13936000000.0,12590000000.0,10897000000.0,
Net Interest Income,-297000000.0,-207000000.0,-271000000.0,-221000000.0,-272000000.0,
Interest Expense,297000000.0,207000000.0,271000000.0,221000000.0,272000000.0,
Normalized Income,7610000000.0,8610000000.0,9240000000.0,8220000000.0,7630000000.0,
Net Income From Continuing And Discontinued Operation,7610000000.0,8610000000.0,9240000000.0,8220000000.0,7630000000.0,
Total Expenses,73285000000.0,76750000000.0,79090000000.0,70470000000.0,73230000000.0,
Diluted Average Shares,,4462000000.0,4317000000.0,3998000000.0,4010000000.0,4031111111.0
Basic Average Shares,,4462000000.0,4317000000.0,3998000000.0,3994764398.0,4031111111.0
Diluted EPS,,1.92,2.14,2.06,1.91,2.25
Basic EPS,,1.92,2.14,2.06,1.91,2.25
Diluted NI Availto Com Stockholders,7610000000.0,8610000000.0,9240000000.0,8220000000.0,7630000000.0,
Net Income Common Stockholders,7610000000.0,8610000000.0,9240000000.0,8220000000.0,7630000000.0,
Net Income,7610000000.0,8610000000.0,9240000000.0,8220000000.0,7630000000.0,
Minority Interests,-345000000.0,-361000000.0,-331000000.0,-346000000.0,-382000000.0,
Net Income Including Noncontrolling Interests,7955000000.0,8971000000.0,9571000000.0,8566000000.0,8012000000.0,
Net Income Continuous Operations,7955000000.0,8971000000.0,9571000000.0,8566000000.0,8012000000.0,
Tax Provision,1858000000.0,4055000000.0,4094000000.0,3803000000.0,2613000000.0,
Pretax Income,9813000000.0,13026000000.0,13665000000.0,12369000000.0,10625000000.0,
Other Income Expense,2337000000.0,2191000000.0,3040000000.0,2649000000.0,2439000000.0,
Other Non Operating Income Expenses,1210000000.0,710000000.0,1296000000.0,807000000.0,1274000000.0,
Earnings From Equity Interest,1127000000.0,1481000000.0,1744000000.0,1842000000.0,1165000000.0,
Net Non Operating Interest Income Expense,-297000000.0,-207000000.0,-271000000.0,-221000000.0,-272000000.0,
Interest Expense Non Operating,297000000.0,207000000.0,271000000.0,221000000.0,272000000.0,
Operating Income,7773000000.0,11042000000.0,10896000000.0,9941000000.0,8458000000.0,
Operating Expense,9474000000.0,9350000000.0,9300000000.0,8966000000.0,9245000000.0,
Other Operating Expenses,186000000.0,339000000.0,153000000.0,148000000.0,139000000.0,
Other Taxes,6671000000.0,6715000000.0,6579000000.0,6323000000.0,6515000000.0,
Selling General And Administration,2617000000.0,2296000000.0,2568000000.0,2495000000.0,2591000000.0,
General And Administrative Expense,2617000000.0,2296000000.0,2568000000.0,2495000000.0,2591000000.0,
Other Gand A,2617000000.0,2296000000.0,2568000000.0,2495000000.0,2591000000.0,
Salaries And Wages,,,34000000.0,23000000.0,217000000.0,166000000.0
Gross Profit,17247000000.0,20392000000.0,20196000000.0,18907000000.0,17703000000.0,
Cost Of Revenue,63811000000.0,67400000000.0,69790000000.0,61504000000.0,63985000000.0,
Total Revenue,81058000000.0,87792000000.0,89986000000.0,80411000000.0,81688000000.0,
Operating Revenue,81058000000.0,87792000000.0,89986000000.0,80411000000.0,81688000000.0,
