,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Ordinary Shares Number,8447051000.0,8447051000.0,8447051000.0,8447051284.0,8447051284.0
Share Issued,8447051000.0,8447051000.0,8447051000.0,8447051284.0,8447051284.0
Net Debt,227515079000.0,181958641000.0,188282657000.0,106670102000.0,23435208000.0
Total Debt,711842098000.0,665233352000.0,584602102000.0,477791875000.0,361704986000.0
Tangible Book Value,189405653000.0,188090539000.0,180483468000.0,178257326000.0,176841809000.0
Invested Capital,899251186000.0,851201122000.0,763087857000.0,654303605000.0,537181800000.0
Net Tangible Assets,189405653000.0,188090539000.0,180483468000.0,178257326000.0,176841809000.0
Common Stock Equity,192808874000.0,190975832000.0,183098192000.0,180588887000.0,178878319000.0
Total Capitalization,899251186000.0,851201122000.0,763087857000.0,654303605000.0,537181800000.0
Total Equity Gross Minority Interest,192813546000.0,190979933000.0,183101701000.0,180591882000.0,178880993000.0
Minority Interest,4672000.0,4101000.0,3509000.0,2995000.0,2674000.0
Stockholders Equity,192808874000.0,190975832000.0,183098192000.0,180588887000.0,178878319000.0
Retained Earnings,30656777000.0,24045368000.0,19044527000.0,11941842000.0,69648790000.0
Additional Paid In Capital,556937000.0,556937000.0,556937000.0,556937000.0,556937000.0
Capital Stock,8447051000.0,8447051000.0,8447051000.0,8447051000.0,8447051000.0
Common Stock,8447051000.0,8447051000.0,8447051000.0,8447051000.0,8447051000.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2361067238000.0,2298735030000.0,2136868339000.0,1963474543000.0,1684492407000.0
Derivative Product Liabilities,18966255000.0,16935713000.0,17904068000.0,16104966000.0,11666461000.0
Long Term Debt And Capital Lease Obligation,711842098000.0,665233352000.0,584602102000.0,477791875000.0,361704986000.0
Payables,9690229000.0,7775308000.0,10842174000.0,9906091000.0,8039209000.0
Total Tax Payable,9690229000.0,7775308000.0,10842174000.0,9906091000.0,8039209000.0
Total Assets,2553880784000.0,2489714963000.0,2319970040000.0,2144066425000.0,1863373400000.0
Investments And Advances,146972664000.0,141311238000.0,206980079000.0,205312451000.0,446130987000.0
Investmentin Financial Assets,137575214000.0,131895280000.0,198687006000.0,197558396000.0,438991049000.0
Available For Sale Securities,117876947000.0,107691056000.0,176583053000.0,166212222000.0,415131083000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2903362000.0,3344600000.0,3202952000.0,3470462000.0,2277485000.0
Long Term Equity Investment,9397450000.0,9415958000.0,8293073000.0,7754055000.0,7139938000.0
Investmentsin Joint Venturesat Cost,0.0,0.0,0.0,0.0,0.0
Investmentsin Associatesat Cost,9365134000.0,9383642000.0,8260757000.0,7721739000.0,7107622000.0
Investmentsin Subsidiariesat Cost,32316000.0,32316000.0,32316000.0,32316000.0,32316000.0
Investment Properties,0.0,0.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,3403221000.0,2885293000.0,2614724000.0,2331561000.0,2036510000.0
Other Intangible Assets,3403221000.0,2885293000.0,2614724000.0,2331561000.0,2036510000.0
Goodwill,0.0,0.0,0.0,0.0,0.0
Net PPE,30932539000.0,29704939000.0,24816954000.0,23826148000.0,18875665000.0
Accumulated Depreciation,,,,,-4428610000.0
Gross PPE,,,,,23304275000.0
Other Properties,,,,,9949800000.0
Properties,,,,,13354475000.0
Receivables,24382268000.0,15555333000.0,17161593000.0,14360929000.0,12801773000.0
Taxes Receivable,4228487000.0,4227681000.0,0.0,0.0,0.0
Cash And Cash Equivalents,478927233000.0,478266649000.0,391707008000.0,367044616000.0,334868273000.0
Cash Equivalents,27008884000.0,29310323000.0,19606990000.0,14871034000.0,14518142000.0
Cash Financial,21244328000.0,22544993000.0,23241632000.0,21824840000.0,22177269000.0
Cash Cash Equivalents And Federal Funds Sold,707805316000.0,734603080000.0,589769575000.0,495760193000.0,334868273000.0
