,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-54310.943478,
Tax Rate For Calcs,0.224403,0.048994,0.123953,0.127032,0.058462,
Total Unusual Items,0.0,0.0,0.0,0.0,-929000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0,-929000.0,
Net Income From Continuing Operation Net Minority Interest,6611409000.0,5000841000.0,7102685000.0,10301888000.0,19306632000.0,
Reconciled Depreciation,876187000.0,,,595873000.0,531799000.0,
Net Interest Income,25466154000.0,17707640000.0,20116532000.0,25356306000.0,25960536000.0,
Interest Expense,110947446000.0,112648405000.0,94531904000.0,71872540000.0,56363433000.0,
Interest Income,136413600000.0,130356045000.0,114648436000.0,97228846000.0,82323969000.0,
Normalized Income,6611409000.0,5000841000.0,7102685000.0,10301888000.0,19307506689.056522,
Net Income From Continuing And Discontinued Operation,6611409000.0,5000841000.0,7102685000.0,10301888000.0,19306632000.0,
Diluted Average Shares,,8447051000.0,8447051000.0,844705128000.0,,8447051000.0
Basic Average Shares,,8447051000.0,8447051000.0,844705128000.0,,8447051000.0
Diluted EPS,,0.0059,0.0084,0.0122,,0.0291
Basic EPS,,0.0059,0.0084,0.0122,,0.0291
Diluted NI Availto Com Stockholders,6611409000.0,5000841000.0,7102685000.0,10301888000.0,19306632000.0,
Net Income Common Stockholders,6611409000.0,5000841000.0,7102685000.0,10301888000.0,19306632000.0,
Net Income,6611409000.0,5000841000.0,7102685000.0,10301888000.0,19306632000.0,
Minority Interests,-571000.0,-592000.0,-514000.0,-492000.0,-340000.0,
Net Income Including Noncontrolling Interests,6611980000.0,5001433000.0,7103199000.0,10302380000.0,19306972000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,,0.0
Net Income Continuous Operations,6611980000.0,5001433000.0,7103199000.0,10302380000.0,19306972000.0,
Tax Provision,1913042000.0,257663000.0,1005038000.0,1499177000.0,1198803000.0,
Pretax Income,8525022000.0,5259096000.0,8108237000.0,11801557000.0,20505775000.0,
Special Income Charges,0.0,0.0,0.0,0.0,-929000.0,
Other Special Charges,,,,,929000.0,
Write Off,0.0,,,0.0,0.0,
Impairment Of Capital Assets,0.0,,,0.0,0.0,
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,0.0,
Operating Expense,24248680000.0,21236050000.0,18496646000.0,17430454000.0,16698288000.0,
Other Operating Expenses,13726757000.0,13659037000.0,12079687000.0,9404251000.0,8886188000.0,
Depreciation And Amortization In Income Statement,876187000.0,,,595873000.0,531799000.0,
Amortization,182083000.0,,,121324000.0,121678000.0,
Depreciation Income Statement,694104000.0,,,474549000.0,410121000.0,
Selling General And Administration,223229000.0,,,243913000.0,330450000.0,
Selling And Marketing Expense,223229000.0,,,243913000.0,330450000.0,
Rent And Landing Fees,102317000.0,,,75602000.0,67754000.0,
Total Revenue,42150997000.0,34872564000.0,31843813000.0,41144014000.0,39821908000.0,
Operating Revenue,42150997000.0,34872564000.0,31843813000.0,41144014000.0,39821908000.0,
